Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,83,19,99.7240618101545
1942,111,29,99.8620309050773
1943,49,12,99.8629385964912
1944,141,24,99.9724061810154
1945,86,18,58.0298013245033
1946,NaN,NaN,NaN
1947,NaN,NaN,NaN
1948,36,12,99.9724061810154
1949,71,17,100
1950,128,25,100
1951,47,11,100
1952,99,18,100
1953,109,23,100
1954,186,35,100
1955,51,17,100
1956,122,22,100
1957,136,23,100
1958,28,9,100
1959,18,7,99.9725877192982
1960,251,33,100
1961,286,35,99.9724061810154
1962,93,18,100
1963,275,34,100
1964,104,27,60.2649006622517
1965,60,26,33.3333333333333
1966,50,24,33.3609271523179
1967,27,16,33.4155701754386
1968,41,18,33.3333333333333
1969,12,10,33.3333333333333
1970,50,20,33.3333333333333
1971,54,18,33.3333333333333
1972,29,5,58.3609271523179
1973,77,23,98.0408388520971
1974,185,26,98.9238410596027
1975,52,6,98.2456140350877
1976,112,15,97.4337748344371
1977,115,28,98.0684326710817
1978,53,16,96.8543046357616
1979,109,16,97.0120614035088
1980,155,25,99.1169977924945
1981,114,21,99.8896247240618
1982,243,34,99.8620309050773
1983,70,21,99.4517543859649
1984,186,32,99.0342163355408
1985,337,36,98.9514348785872
1986,104,23,98.5927152317881
1987,85,24,99.2050438596491
1988,107,25,98.6754966887417
1989,130,14,98.9790286975717
1990,46,12,98.233995584989
1991,165,27,98.4923245614035
1992,55,16,98.2615894039735
1993,85,16,97.6545253863135
1994,92,21,91.8598233995585
1995,135,22,99.8629385964912
1996,87,25,100
1997,100,26,100
1998,108,26,99.9448123620309
1999,8,3,99.9451754385965
2000,52,16,99.8620309050773
2001,85,22,98.7582781456954
2002,164,31,97.985651214128
2003,52,13,98.1085526315789
2004,127,17,99.8068432671082
2005,26,11,99.7240618101545
2006,12,4,99.8068432671082
2007,9,6,99.9451754385965
2008,39,12,99.9448123620309
2009,43,14,100
2010,44,11,99.9448123620309
2011,12,6,100
2012,6,5,99.8896247240618
2013,0,0,99.9448123620309
2014,43,17,100
2015,7,5,100
