November,December,January,February,March,average,year
0.8,42.6,39.3,58.9,59.6,201.2,1940
12.5,38.6,11.9,5,15.2,83.2,1941
5.1,33.8,73.1,39.4,20.4,171.8,1942
2.3,35,18,29.7,19.6,104.6,1943
43.1,15.2,20.9,73.9,29.2,182.3,1944
7.2,37.7,11.7,20.9,25.7,103.2,1945
29.1,33.8,6.1,3.2,25.9,98.1,1946
0.3,16.7,0.3,12.5,32.4,62.2,1947
0,12.6,12,28,28.7,81.3,1948
13,14.5,44.4,26.3,13.1,111.3,1949
14.8,8.2,41,14,9.2,87.2,1950
8.4,44.7,62.7,5.3,62.3,183.4,1951
33.6,45.8,15.8,14.2,23.4,132.8,1952
20.3,4.6,47.2,6.4,31.5,110,1953
12.7,14.4,38.5,21.6,6.4,93.6,1954
13,12.8,22.8,16.6,0,65.2,1955
0,1.3,20.9,17.9,4.1,44.2,1956
14.5,26.1,23.7,39.4,52.1,155.8,1957
9.6,0.5,8.2,22.5,0.5,41.3,1958
0,8.9,36.1,35,8.8,88.8,1959
77.1,0,9.9,3,9.7,99.7,1960
17,8.6,15,112.6,7.9,161.1,1961
0,0,3,39.1,31.7,73.8,1962
23.8,2,6.8,7.1,15.8,55.5,1963
11.8,17.6,18.7,4.3,29.7,82.1,1964
26.7,40.6,17.8,29,7.3,121.4,1965
22.5,40.1,24.3,0.8,13.3,101,1966
44.6,13.7,12.4,14.2,25.6,110.5,1967
10.2,17.1,53.9,72.3,7.1,160.6,1968
10.7,4,14.5,39.7,12.2,81.1,1969
43.2,18.1,13.5,8.9,10.6,94.3,1970
3,29.8,0,6.9,0,39.7,1971
39.5,16.7,52.7,12.5,63.3,184.7,1972
16.2,20.1,29.4,3.3,38.9,107.9,1973
13,30.3,1.5,40.6,15.3,100.7,1974
6.3,3.3,1.3,39.2,13.7,63.8,1975
7.9,3.3,14.8,1.8,32.5,60.3,1976
2.3,45.9,30.8,118.8,50.7,248.5,1977
5.3,14.5,45.8,35.8,50.3,151.7,1978
4.1,5.6,66.2,26.4,33.5,135.8,1979
0,3.8,23.5,26.3,48.4,102,1980
10.5,5.8,19.6,15.3,54.2,105.4,1981
33,8.4,56.3,37.9,66.5,202.1,1982
33.3,29.1,1.3,1.3,7.6,72.6,1983
25.7,24.4,9.8,12.2,12.2,84.3,1984
41.8,7,28.8,20.4,49.4,147.4,1985
14.2,24.6,40.9,22.7,27.1,129.5,1986
35.6,21.1,20.7,7.3,12.4,97.1,1987
16.4,20.9,4.1,21.1,21.4,83.9,1988
1.8,0,21.6,23.7,11.5,58.6,1989
11.9,6.7,15.8,3.3,110,147.7,1990
0.3,26.5,39.7,54.5,43.6,164.6,1991
0,46.1,59.3,51.4,44.8,201.6,1992
20,15.7,14.5,34,24.6,108.8,1993
25,33.6,58.1,22.1,86.2,225,1994
0,51.6,27.4,64.6,19.9,163.5,1995
21.5,44.1,47.9,20.3,5.3,139.1,1996
43.1,24.7,33.5,136.4,63.7,301.4,1997
11.7,13.9,99.2,11.7,5.5,142,1998
9.2,3.6,23.8,39.1,35.1,110.8,1999
0,0,46,51.6,18.6,116.2,2000
27.4,16.9,13.3,6.6,10.9,75.1,2001
33,35.5,0.3,38.2,9.5,116.5,2002
8.2,32.6,14.4,41.5,13.5,110.2,2003
4.6,27.7,63.9,38.7,28.4,163.3,2004
5.9,28.3,19.1,7.7,48.5,109.5,2005
0.5,15.4,5.3,25.1,11.2,57.5,2006
1.5,9.2,16.7,20.8,0,48.2,2007
27,15.9,9.5,43.5,9.2,105.1,2008
2.6,42.2,46.3,45,6.5,142.6,2009
21.3,147.8,10.1,12.4,42.4,234,2010
19.2,0,11.1,7.3,32,69.6,2011
2.6,16.7,21.2,15.2,21.2,76.9,2012
23.9,2.5,3,8.2,9.2,46.8,2013
0.3,51.3,17.6,22.9,6.8,98.9,2014
15.6,14.8,25.9,NaN,NaN,NaN,2015
