Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,NaN,NaN,NaN
1942,NaN,NaN,NaN
1943,NaN,NaN,NaN
1944,NaN,NaN,NaN
1945,NaN,NaN,NaN
1946,NaN,NaN,NaN
1947,NaN,NaN,NaN
1948,NaN,NaN,NaN
1949,NaN,NaN,NaN
1950,NaN,NaN,NaN
1951,NaN,NaN,NaN
1952,NaN,NaN,NaN
1953,NaN,NaN,NaN
1954,NaN,NaN,NaN
1955,NaN,NaN,NaN
1956,NaN,NaN,NaN
1957,NaN,NaN,NaN
1958,NaN,NaN,NaN
1959,32,9,100
1960,229,31,100
1961,154,20,100
1962,266,33,100
1963,211,45,100
1964,119,23,100
1965,109,23,100
1966,96,21,100
1967,65,17,100
1968,105,26,100
1969,27,9,100
1970,14,9,40.1766004415011
1971,NaN,NaN,NaN
1972,19,8,59.8233995584989
1973,55,15,99.8896247240618
1974,217,25,99.9724061810154
1975,118,17,100
1976,156,25,100
1977,80,16,99.9724061810154
1978,73,16,100
1979,89,18,99.9451754385965
1980,198,29,100
1981,96,19,99.9724061810154
1982,209,31,100
1983,109,18,99.890350877193
1984,105,19,100
1985,378,33,100
1986,80,16,100
1987,17,8,100
1988,56,13,100
1989,223,25,100
1990,59,10,59.8233995584989
1991,226,29,98.1359649122807
1992,59,12,94.3708609271523
1993,50,14,96.3024282560706
1994,98,24,94.8399558498896
1995,76,17,93.2839912280702
1996,75,13,96.5507726269316
1997,36,12,91.6114790286976
1998,100,14,89.3763796909492
1999,13,6,87.3081140350877
2000,60,8,71.9370860927152
2001,44,11,90.3421633554084
2002,19,7,49.3377483443709
2003,2,1,47.2861842105263
2004,40,13,46.9646799116998
2005,4,3,46.6887417218543
2006,2,1,44.2880794701987
2007,5,5,96.1348684210526
2008,24,7,98.1236203090508
2009,9,7,98.6754966887417
2010,26,6,98.4547461368653
2011,30,7,99.0953947368421
2012,12,7,97.682119205298
2013,0,0,99.3377483443709
2014,72,17,98.7030905077263
2015,1,1,97.8070175438597
