Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,NaN,NaN,NaN
1942,314,44,61.0927152317881
1943,143,31,100
1944,254,45,85.2373068432671
1945,284,41,98.6754966887417
1946,8,2,9.93377483443709
1947,145,32,80.2357456140351
1948,76,18,100.027593818985
1949,210,40,100
1950,241,35,100
1951,138,26,100
1952,163,33,100
1953,277,48,100
1954,222,47,99.9448123620309
1955,135,23,99.9177631578947
1956,195,29,99.9724061810154
1957,202,33,100
1958,106,21,100
1959,72,22,100
1960,303,52,100
1961,318,36,100
1962,396,55,100
1963,324,43,100
1964,148,27,100
1965,192,36,100
1966,172,37,100
1967,286,53,100
1968,164,25,99.9724061810154
1969,186,31,99.9724061810154
1970,101,20,40.1766004415011
1971,NaN,NaN,NaN
1972,85,19,59.7682119205298
1973,217,37,99.9172185430464
1974,316,45,99.9724061810154
1975,153,22,99.9725877192982
1976,134,29,99.9724061810154
1977,250,41,100
1978,172,30,99.7792494481236
1979,229,42,100
1980,204,34,100
1981,166,40,99.8620309050773
1982,237,44,100
1983,127,30,99.9451754385965
1984,228,30,100
1985,487,51,100
1986,155,23,100
1987,133,24,100
1988,256,38,100
1989,339,45,100
1990,130,23,59.8233995584989
1991,241,35,100
1992,95,23,99.39293598234
1993,100,21,75.3587196467991
1994,108,21,53.5871964679912
1995,NaN,NaN,NaN
1996,NaN,NaN,NaN
1997,NaN,NaN,NaN
1998,0,0,0.0275938189845475
1999,NaN,NaN,NaN
2000,NaN,NaN,NaN
2001,NaN,NaN,NaN
2002,NaN,NaN,NaN
2003,NaN,NaN,NaN
2004,NaN,NaN,NaN
2005,NaN,NaN,NaN
2006,0,0,4.55298013245033
2007,13,5,37.9111842105263
2008,48,19,92.8256070640177
2009,19,8,94.5364238410596
2010,20,7,92.6324503311258
2011,18,8,92.2149122807018
2012,33,11,96.7163355408389
2013,5,3,87.2240618101545
2014,187,NaN,88.7969094922737
2015,141,NaN,94.9013157894737
