November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,5.763,9.561,NaN,1941
6.716,3.509,4.418,4.773,4.909,4.865,1942
10.6,5.584,5.078,5.571,9.305,7.228,1943
4.689,3.775,4.492,5.246,6.156,4.872,1944
6.639,4.021,3.547,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,10.232,10.017,10.772,NaN,1947
12.563,5.841,7.352,7.705,8.692,8.431,1948
8.253,5.428,4.377,5.401,8.75,6.442,1949
6.773,2.952,4.074,7.882,11.83,6.702,1950
9.844,4.397,4.196,7.514,6.694,6.529,1951
7.252,4.047,2.981,8.309,9.683,6.454,1952
7.544,5.121,5.431,4.221,6.844,5.832,1953
6.107,4.263,3.246,8.903,11.634,6.831,1954
8.085,4.045,3.3,6.181,10.506,6.423,1955
13.445,6.174,4.05,4.42,8.216,7.261,1956
6.604,3.787,2.957,5.658,5.409,4.883,1957
8.096,7.277,5.168,6.838,10.673,7.61,1958
12.597,8.302,6.615,4.989,7.765,8.054,1959
4.562,3.626,3.209,6.612,7.667,5.135,1960
9.22,2.863,3.869,3.158,6.798,5.182,1961
7.506,6.563,8.533,4.351,9.189,7.228,1962
4.522,2.325,5.213,11.209,10.47,6.748,1963
5.759,4.316,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,4.057,6.396,5.64,NaN,1972
8.11,2.951,4.283,8.12,7.673,6.227,1973
5.641,4.426,5.33,7.199,9.688,6.457,1974
7.441,4.057,6.744,7.264,9.572,7.016,1975
7.241,8.127,2.727,8.108,11.235,7.488,1976
9.919,6.03,4.128,4.604,5.325,6.001,1977
8.633,5.565,6.084,4.61,5.003,5.979,1978
8.006,6.98,2.342,5.708,6.796,5.966,1979
10.997,4.742,5.037,4.238,6.521,6.307,1980
7.761,5.042,5.118,7.52,8.061,6.7,1981
2.789,2.211,1.698,3.705,3.949,2.87,1982
4.574,3.572,3.708,6.816,8.903,5.515,1983
6.655,4.214,2.364,7.327,8.171,5.746,1984
5.665,1.88,3.535,3.726,4.413,3.844,1985
8.861,2.658,4.269,6.01,8.767,6.113,1986
3.858,5.912,3.888,8.389,10.457,6.501,1987
5.018,3.954,4.32,6.686,8.634,5.722,1988
7.894,6.163,3.684,5.446,7.669,6.171,1989
9.427,5.291,4.727,8.261,6.637,6.869,1990
9.17,6.754,2.183,5.717,5.581,5.881,1991
8.202,4.694,3.158,6.399,5.959,5.682,1992
10.254,3.154,4.559,6.27,8.558,6.559,1993
NaN,2.93,4.618,3.066,5.631,NaN,1994
7.743,4.52,2.932,3.582,6.549,5.065,1995
4.376,2.891,2.66,4.535,8.118,4.516,1996
5.331,4.378,2.726,3.626,4.307,4.074,1997
4.825,4.299,2.989,4.678,6.722,4.703,1998
7.617,8.252,6.577,5.892,6.643,6.996,1999
6.672,4.607,4.64,5.243,6.898,5.612,2000
5.138,3.782,3.824,7.253,11.024,6.204,2001
6.515,5.293,2.278,6.239,8.308,5.727,2002
7.796,6.568,5.078,8.255,9.601,7.46,2003
5.74,4.371,2.715,4.431,6.515,4.754,2004
9.015,4.761,4.875,9.298,6.52,6.894,2005
6.699,7.991,8.068,6.968,11.675,8.28,2006
7.742,6.66,7.145,6.779,11.401,7.945,2007
6.092,4.115,5.71,8.882,12.558,7.471,2008
8.618,4.567,3.582,4.449,8.54,5.951,2009
7.17,4.284,3.289,7.366,6.614,5.745,2010
6.802,7.877,8.395,11.009,11.128,9.042,2011
7.879,5.087,6.138,8.799,10.463,7.673,2012
10.351,8.278,11.92,8.967,12.568,10.417,2013
7.763,5.111,4.087,7.216,12.235,7.282,2014
8.036,6.308,5.079,7.209,9.737,7.274,2015
