November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,4.401,NaN,1940
3.778,2.301,1.883,4.391,5.763,3.623,1941
4.744,2.283,3.16,3.284,3.787,3.452,1942
6.535,4.835,3.101,4.388,8.379,5.448,1943
3.188,1.661,2.722,4.499,4.332,3.28,1944
3.504,2.054,3.104,3.661,5.572,3.579,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.404,3.179,6.148,NaN,1972
5.142,2.068,3.495,5.477,4.912,4.219,1973
3.63,2.884,2.023,3.78,5.361,3.536,1974
5.386,3.118,5.407,5.12,7.852,5.377,1975
5.713,6.179,2.557,5.051,7.477,5.395,1976
5.189,2.003,1.766,2.263,3.27,2.898,1977
NaN,NaN,NaN,NaN,4.353,NaN,1978
4.673,3.54,2.877,3.761,6.417,4.254,1979
7.49,1.825,1.851,3.626,4.86,3.93,1980
3.4,2.25,2.313,4.795,3.726,3.297,1981
2.29,2.356,1.442,2.146,3.431,2.333,1982
3.901,2.525,2.04,3.638,7.55,3.931,1983
2.878,1.749,1.131,5.018,4.548,3.065,1984
3.939,1.378,1.897,3.362,4.226,2.96,1985
NaN,2.526,4.279,5.58,6.153,NaN,1986
3.992,4.651,2.503,6.137,9.946,5.446,1987
5.021,3.588,3.439,5.321,4.909,4.456,1988
5.586,2.198,3.303,5.16,6.07,4.463,1989
7.885,5.311,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,3.321,4.138,NaN,1991
7.664,3.342,2.631,3.888,4.693,4.444,1992
8.105,2.455,1.951,4.231,7.708,4.89,1993
6.548,2.781,2.496,2.886,5.195,3.981,1994
7.029,2.483,2.842,3.032,5.91,4.259,1995
4.169,2.252,2.607,5.64,6.682,4.27,1996
3.368,2.897,1.271,2.412,3.565,2.703,1997
3.454,3.627,1.925,3.208,5.459,3.535,1998
4.056,4.16,2.703,2.689,6.002,3.922,1999
3.763,2.183,3.362,4.631,5.119,3.812,2000
3.566,2.706,2.524,3.65,5.818,3.653,2001
4.956,2.054,0.867,4.286,5.652,3.563,2002
3.629,2.016,2.1,3.741,5.523,3.402,2003
4.119,2.859,2.346,3.699,5.53,3.711,2004
7.883,3.532,3.551,5.513,4.903,5.076,2005
4.762,5.468,7.399,5.571,8.474,6.335,2006
7.906,5.199,3.198,4.982,7.527,5.762,2007
4.157,2.921,3.852,3.873,7.241,4.409,2008
6.634,2.862,1.764,2.653,5.761,3.935,2009
4.694,2.033,1.217,5.232,4.284,3.492,2010
4.864,6.153,5.433,7.088,6.917,6.091,2011
4.314,2.456,3.479,5.9,7.616,4.753,2012
7.403,5.757,6.671,4.218,7.137,6.237,2013
4.499,2.848,2.674,4.554,8.615,4.638,2014
5.516,3.646,2.683,4.809,5.623,4.455,2015
