November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
7.829,6.793,4.357,5.253,9.208,6.688,1943
4.2,2.288,3.21,6.192,4.669,4.112,1944
3.39,1.722,4.753,4.059,5.798,3.944,1945
6.768,1.701,3.268,2.212,4.175,3.625,1946
7.464,4.198,6.646,6.759,5.02,6.017,1947
8.155,2.731,7.013,3.435,5.369,5.341,1948
4.091,4.311,3.376,3.396,5.386,4.112,1949
5.031,2.334,2.383,3.498,8.729,4.395,1950
4.922,3.69,2.68,4.206,6.635,4.427,1951
7.756,2.262,2.687,8.035,6.475,5.443,1952
2.896,6.037,3.766,2.848,4.212,3.952,1953
3.919,2.707,3.082,7.078,8.073,4.972,1954
6.003,2.451,2.122,6.638,7.22,4.887,1955
9.261,5.94,5.53,3.674,5.44,5.969,1956
8.644,3.06,2.561,3.245,5.854,4.673,1957
8.706,6.675,4.287,6.084,9.829,7.116,1958
11.042,9.474,4.93,6.508,6.056,7.602,1959
4.245,3.59,1.21,5.569,5.905,4.104,1960
9.158,3.323,4.485,2.823,5.309,5.02,1961
4.077,1.92,4.303,2.904,5.189,3.679,1962
2.571,1.595,3.725,10.691,8.908,5.498,1963
5.182,3.784,2.763,7.303,4.584,4.723,1964
4.426,3.471,4.982,5.782,6.515,5.035,1965
5.883,2.613,3.787,4.391,4.9,4.315,1966
5.855,6.701,3.8,3.896,7.286,5.508,1967
4.666,3.748,2.885,3.061,7.088,4.29,1968
4.892,4.014,3.671,4.973,9.392,5.388,1969
6.334,3.077,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.736,3.438,6.117,NaN,1972
4.451,1.809,4.425,5.16,3.611,3.891,1973
3.982,4.454,3.265,4.878,6.606,4.637,1974
8.001,4.633,6.366,6.479,7.386,6.573,1975
7.981,8.349,4.696,4.331,9.462,6.964,1976
7.529,2.798,3.285,3.945,3.774,4.266,1977
6.968,6.556,4.568,5.536,5.061,5.738,1978
4.287,3.19,3.185,4.148,7.312,4.424,1979
8.045,3.243,2.043,4.696,5.263,4.658,1980
5.709,3.594,3.657,5.453,3.936,4.47,1981
5.201,5.894,3.036,4.366,6.303,4.96,1982
6.848,4.946,4.659,6.403,10.412,6.654,1983
7.519,5.987,3.96,7.682,8.932,6.816,1984
8.479,5.427,4.181,6.082,6.607,6.155,1985
11.572,4.285,5.807,6.352,7.576,7.118,1986
5.596,5.725,4.899,8.48,9.722,6.884,1987
4.609,5.557,3.988,5.315,3.803,4.654,1988
6.915,3.564,3.222,5.237,4.432,4.674,1989
9.754,7.051,5.526,5.34,4.214,6.377,1990
7.388,4.434,0.999,1.425,2.351,3.319,1991
8.245,3.2,2.624,3.583,2.936,4.118,1992
8.023,3.746,3.837,4.475,8.172,5.651,1993
6.504,2.629,2.343,2.891,6.071,4.088,1994
6.722,2.967,3.4,2.849,5.646,4.317,1995
5.364,3.138,2.957,6.464,6.959,4.976,1996
3.875,4.884,1.206,2.106,3.839,3.182,1997
2.927,2.709,1.178,3.802,6.137,3.351,1998
6.398,8.248,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,0.362,3.864,5.063,NaN,2004
8.259,3.921,4.028,4.979,3.667,4.971,2005
4.199,4.231,6.799,3.94,5.907,5.015,2006
6.843,5.048,2.673,4.238,6.609,5.082,2007
3.649,1.533,2.652,1.89,5.206,2.986,2008
5.615,3.376,1.287,2.222,5.046,3.509,2009
5.651,1.451,1.3,5.32,2.882,3.321,2010
4.235,6.344,4.681,5.426,4.355,5.008,2011
2.858,2.353,3.322,5.184,4.554,3.654,2012
7.905,6.989,8.198,2.61,4.902,6.121,2013
3.933,3.19,3.032,4.293,5.991,4.088,2014
6.53,3.867,2.615,4.015,3.983,4.202,2015
