November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,3.826,3.512,NaN,1941
6.062,4.603,3.88,6.653,9.133,6.066,1942
2.824,3.704,3.718,3.752,3.732,3.546,1943
6.957,5.307,2.48,5.789,5.014,5.109,1944
5.627,5.67,3.154,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,0.802,-0.035,1.313,NaN,1947
-0.521,1.637,-3.089,1.385,4.515,0.785,1948
7.157,2.112,2.478,6.898,4.429,4.615,1949
8.8,8.019,4.203,3.209,1.973,5.241,1950
3.743,3.682,3.52,3.578,4.143,3.733,1951
4.359,5.086,7.498,1.43,3.821,4.439,1952
5.942,2.817,3.366,6.453,5.62,4.84,1953
5.785,3.125,3.316,0.683,2.074,2.997,1954
3.566,6.894,6.811,2.15,3.03,4.49,1955
-0.506,1.696,2.49,8.393,5.948,3.604,1956
5.335,4.543,5.609,7.801,6.175,5.893,1957
4.77,3.413,5.437,3.87,5.026,4.503,1958
1.319,0.83,2.414,5.624,7.325,3.502,1959
7.136,3.535,2.764,5.38,5.251,4.813,1960
2.621,4.329,1.542,6.194,4.88,3.913,1961
5.741,2.57,-2.027,9.802,3.677,3.953,1962
7.739,2.524,2.458,-0.785,1.892,2.766,1963
4.658,5.889,4.551,1.783,4.367,4.25,1964
7.341,3.058,1.825,3.086,4.488,3.96,1965
6.756,4.527,3.182,4.601,4.376,4.688,1966
7.645,1.841,2.652,9.049,5.054,5.248,1967
8.236,2.891,5.352,4.313,3.692,4.897,1968
4.124,3.221,4.386,5.991,4.555,4.455,1969
5.223,5.405,3.89,3.671,3.177,4.273,1970
4.43,3.677,2.696,6.224,7.028,4.811,1971
7.492,4.041,4.807,7.404,6.579,6.065,1972
5.134,6.949,6.332,3.344,7.519,5.856,1973
7.633,3.801,2.334,5.034,4.199,4.6,1974
4.634,4.334,2.563,5.67,4.318,4.304,1975
7.862,1.827,5.244,5.32,1.357,4.322,1976
5.197,7.658,8.423,8.578,11.248,8.221,1977
4.74,1.954,4.342,6.19,9.437,5.333,1978
6.475,5.016,8.965,7.224,5.937,6.723,1979
3.021,4.888,5.739,8.149,7.435,5.846,1980
7.182,5.677,2.448,5.437,6.233,5.395,1981
8.912,6.023,5.461,8.203,9.128,7.545,1982
9.585,6.695,4.871,3.343,5.045,5.908,1983
5.774,4.072,3.672,3.788,3.667,4.195,1984
5.658,4.179,7.814,8.518,10.274,7.289,1985
4.274,5.355,2.682,4.564,4.936,4.362,1986
7.798,2.19,4.63,3.485,4.289,4.478,1987
7.047,3.852,2.402,3.303,6.826,4.686,1988
4.691,0.401,4.163,3.75,6.973,3.996,1989
2.883,0.049,4.184,5.528,4.965,3.522,1990
4.022,1.785,4.009,7.649,8.89,5.271,1991
4.668,2.994,5.866,5.87,10.093,5.898,1992
2.73,4.618,4.179,4.567,6.944,4.608,1993
NaN,4.693,7.193,9.237,7.99,NaN,1994
7.323,6.312,5.863,8.983,7.724,7.241,1995
8.498,7.099,7.308,5.745,7.538,7.238,1996
8.42,3.289,7.146,6.731,8.46,6.809,1997
6.638,2.017,3.528,5.395,4.789,4.473,1998
5.966,0.233,3.827,6.6,6.502,4.626,1999
2.8,4.183,3.819,4.736,8.492,4.806,2000
8.854,5.2,3.273,4.356,2.525,4.842,2001
6.783,5.048,7.763,4.63,6.339,6.113,2002
4.511,4.408,4.252,3.531,8.592,5.059,2003
5.293,3.519,6.484,7.5,7.966,6.152,2004
5.153,6.074,4.759,2.613,4.622,4.644,2005
6.131,0.763,-1.42,4.385,4.707,2.913,2006
6.276,1.187,2.405,4.259,3.067,3.439,2007
7.985,3.273,4.158,4.073,2.624,4.423,2008
4.189,4.14,5.866,7.252,4.883,5.266,2009
5.322,7.001,4.695,2.372,6.652,5.208,2010
4.924,-0.714,2.343,1.66,2.844,2.211,2011
6.514,4.978,1.744,1.865,5.585,4.137,2012
3.838,-0.114,0.035,4.647,4.03,2.487,2013
7.067,6.663,5.821,7.371,5.816,6.548,2014
3.613,2.148,5.583,5.991,6.064,4.68,2015
