November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,6.31,5.762,4.689,5.228,NaN,1941
7.154,5.795,4.557,6.644,9.601,6.75,1942
4.671,4.52,4.586,4.816,4.607,4.64,1943
7.784,6.166,4.068,6.474,5.917,6.082,1944
5.818,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
7.725,3.466,2.908,7.34,5.98,5.484,1949
10.769,8.921,5.215,5.552,5.116,7.115,1950
6.764,3.947,3.706,4.941,5.095,4.891,1951
4.976,5.597,7.546,3.094,4.617,5.166,1952
6.556,3.695,3.586,6.16,5.731,5.146,1953
6.664,3.849,3.268,2.078,3.301,3.832,1954
3.213,7.202,7.116,2.398,3.518,4.689,1955
1.277,1.54,2.423,8.396,6.447,4.017,1956
5.657,4.493,5.444,8.265,5.625,5.897,1957
3.782,2.925,5.795,4.34,5.783,4.525,1958
1.62,-0.095,2.745,5.261,6.713,3.249,1959
6.725,3.35,2.891,5.561,4.534,4.612,1960
2.116,4.232,1.733,5.547,4.263,3.578,1961
6.062,4.174,-0.565,10.051,4.484,4.841,1962
7.632,2.585,2.78,0.856,2.591,3.289,1963
6.359,7.508,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,2.735,6.893,7.346,NaN,1971
7.159,3.477,4.836,8.034,6.344,5.97,1972
6.938,6.168,5.654,3.649,8.051,6.092,1973
7.034,3.648,2.673,5.392,5.041,4.758,1974
4.837,3.255,1.664,5.787,4.152,3.939,1975
7.326,1.477,3.876,4.862,1.964,3.901,1976
5.565,7.75,8.13,7.569,10.596,7.922,1977
4.787,1.453,4.456,5.855,8.312,4.973,1978
6.603,4.258,7.505,8.37,5.188,6.385,1979
3.802,4.935,4.823,7.461,7.121,5.628,1980
9.223,6.364,2.609,6.289,6.499,6.197,1981
7.543,5.085,4.783,8.185,8.696,6.858,1982
7.673,7.333,5.724,5.214,7.35,6.659,1983
6.302,3.769,3.155,4.6,4.861,4.537,1984
5.98,4.158,8.359,8.668,10.705,7.574,1985
4.509,5.092,3.481,5.397,6.476,4.991,1986
7.311,2.98,4.641,4.226,4.558,4.743,1987
6.936,3.999,2.715,4.569,8.955,5.435,1988
6.334,3.171,4.356,3.323,7.379,4.913,1989
2.338,0.034,3.103,6.154,5.503,3.426,1990
6.287,2.553,3.394,7.92,8.525,5.736,1991
6.742,3.775,5.315,5.703,10.184,6.344,1992
4.828,4.935,5.008,5.533,7.936,5.648,1993
3.836,4.903,8.524,9.192,8.917,7.074,1994
8.587,7.242,6.479,9.135,8.225,7.934,1995
8.273,7.343,7.026,5.551,7.401,7.119,1996
8.637,4.163,7.036,6.855,8.109,6.96,1997
6.872,2.261,4.465,5.429,4.902,4.786,1998
8.627,3.104,6.602,8.125,7.386,6.769,1999
5.053,5.166,3.408,4.341,8.829,5.359,2000
8.847,5.53,4.06,5.917,4.845,5.84,2001
8.011,5.954,8.029,5.827,7.054,6.975,2002
4.333,5.685,4.874,4.951,10.122,5.993,2003
6.401,4.752,6.005,8.051,8.544,6.751,2004
5.983,7.158,5.896,4.808,5.007,5.77,2005
7.075,2.318,-0.109,5.302,6.717,4.261,2006
6.447,2.449,3.655,4.829,4.444,4.365,2007
8.276,3.147,4.352,4.909,4.158,4.968,2008
5.685,4.443,5.754,7.784,5.607,5.855,2009
6.092,7.36,5.258,2.903,6.751,5.673,2010
5.736,0.143,2.755,3.665,4.239,3.308,2011
7.834,6.285,2.634,3.659,6.558,5.394,2012
4.581,0.39,1.497,6.769,5.992,3.846,2013
8.247,7.34,5.782,8.519,6.496,7.277,2014
5.279,3.562,6.353,7.051,8.205,6.09,2015
