November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
4.867,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
2.725,2.871,0.22,1.898,3.468,2.236,1986
5.264,1.549,1.659,0.401,1.099,1.994,1987
6.097,0.776,-0.083,-1.319,5.739,2.242,1988
4.575,-0.418,2.178,0.152,4.091,2.116,1989
1.944,-4.945,-1.345,3.802,3.962,0.684,1990
4.34,1.72,2.314,6.301,7.394,4.414,1991
3.809,1.5,1.466,2.54,8.031,3.469,1992
-1.986,2.046,2.496,2.093,3.946,1.719,1993
0.73,2.348,7.14,6.647,4.453,4.264,1994
5.548,6.027,3.893,5.97,3.897,5.067,1995
5.169,4.395,3.043,1.282,3.41,3.46,1996
8.147,1.453,6.649,5.517,4.74,5.301,1997
6.174,-0.958,1.97,2.969,3.402,2.711,1998
7.672,0.663,3.558,6.744,3.791,4.486,1999
3.202,2.909,0.264,1.126,5.273,2.555,2000
6.281,4.704,1.15,2.232,1.482,3.17,2001
2.348,5.277,7.141,1.185,5.294,4.249,2002
4.489,5.023,3.151,3.854,5.246,4.353,2003
3.343,2.771,4.092,4.416,4.823,3.889,2004
3.901,4.176,4.936,0.396,3.086,3.299,2005
5.392,0.529,-4.332,3.13,4.07,1.758,2006
2.576,0.134,1.385,2.003,0.09,1.238,2007
6.041,0.709,-0.026,3.648,1.753,2.425,2008
2.818,0.619,5.785,5.6,2.62,3.488,2009
3.829,5.992,1.858,-0.297,5.337,3.344,2010
3.009,-3.291,-0.422,-0.075,2.732,0.391,2011
6.628,2.074,-1.66,-0.84,3.769,1.994,2012
0.716,-2.879,-1.929,4.61,4.61,1.026,2013
7.152,7.067,3.649,4.703,5.808,5.676,2014
1.967,2.976,4.697,4.461,5.833,3.987,2015
