November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
4.03,3.31,3.46,1.977,3.651,3.286,1947
2.627,3.184,-4.361,3.123,6.026,2.12,1948
7.709,2.395,2.04,5.876,5.224,4.649,1949
10.142,8.377,4.891,5.836,3.277,6.505,1950
8.255,4.178,4.666,5.971,4.705,5.555,1951
3.189,6.112,7.834,1.533,4.375,4.609,1952
7.958,3.381,4.173,5.931,5.186,5.326,1953
6.755,4.077,2.57,1.088,1.489,3.196,1954
4.1,7.218,6.737,1.693,3.385,4.627,1955
2.61,1.789,1.635,7.762,6.841,4.127,1956
3.977,5.095,5.806,8.994,5.224,5.819,1957
5.021,4.746,6.133,4.719,5.309,5.186,1958
2.698,0.235,3.709,4.386,7.09,3.624,1959
7.607,4.857,4.545,6.746,6.545,6.06,1960
2.247,4.025,1.248,5.393,5.606,3.704,1961
8.474,5.608,0.476,10.483,5.252,6.059,1962
8.822,4.356,5.155,2.082,3.339,4.751,1963
5.554,6.703,5.03,2.651,5.8,5.148,1964
8.369,2.211,2.666,3.467,5.728,4.488,1965
7.669,5.072,4.562,5.213,6.008,5.705,1966
7.607,0.516,3.042,9.626,7.528,5.664,1967
8.138,3.626,4.135,4.741,4.745,5.077,1968
6.368,6.045,7.13,7.433,5.199,6.435,1969
8.685,6.115,4.039,4.481,4.676,5.599,1970
3.957,2.399,1.536,6.177,6.668,4.147,1971
6.975,1.317,3.829,8.646,3.971,4.948,1972
6.491,5.899,3.681,2.749,7.787,5.321,1973
7.522,4.382,3.047,4.048,2.995,4.399,1974
4.894,4.092,2.161,5.139,3.638,3.985,1975
6.368,-0.143,2.298,4.788,2.016,3.065,1976
5.698,7.45,7.907,7.759,10.113,7.785,1977
4.352,0.424,3.638,4.858,7.923,4.239,1978
6.279,4.652,6.002,7.75,5.153,5.967,1979
5.279,5.199,6.647,6.018,6.238,5.876,1980
10.316,6.971,2.403,5.095,6.272,6.211,1981
6.164,3.517,3.824,7.329,8.431,5.853,1982
7.54,7.605,5.531,5.865,7.372,6.783,1983
9.637,4.073,3.108,5.315,5.658,5.558,1984
4.616,3.84,8.599,8.982,10.411,7.29,1985
4.066,4.877,2.175,4.671,5.869,4.332,1986
7.759,3.685,5.369,4.745,4.5,5.212,1987
7.257,2.834,2.529,2.783,8.68,4.817,1988
6.957,3.503,4.841,2.76,7.082,5.029,1989
1.668,-1.43,2.449,7.048,5.959,3.139,1990
5.486,3.582,4.549,8.605,9.218,6.288,1991
5.455,3.631,4.48,6.219,10.612,6.079,1992
4.071,5.333,NaN,NaN,7.684,NaN,1993
2.952,4.601,8.693,9.005,7.509,6.552,1994
8.03,7.663,5.908,8.57,7.578,7.55,1995
7.272,7.052,6.077,4.738,6.673,6.362,1996
9.067,4.334,7.838,7.121,8.074,7.287,1997
7.902,2.388,4.757,5.945,5.328,5.264,1998
8.736,2.791,6.326,8.318,6.358,6.506,1999
5.411,5.507,3.074,3.883,8.572,5.289,2000
9.117,6.34,4.254,6.398,5.694,6.361,2001
6.805,6.458,8.786,4.722,7.573,6.869,2002
6.343,6.801,5.853,6.118,8.963,6.816,2003
6.042,5.258,5.694,7.595,8.178,6.553,2004
5.901,6.632,5.836,4.316,4.888,5.515,2005
7.312,2.956,-0.908,5.476,6.771,4.321,2006
5.157,2.261,4.114,4.461,4.745,4.148,2007
8.571,3.532,3.702,5.834,4.744,5.277,2008
5.045,3.732,6.703,7.904,5.85,5.847,2009
5.631,7.776,5.462,2.797,7.501,5.833,2010
5.438,0.203,2.488,3.298,4.723,3.23,2011
7.848,4.836,1.289,2.121,5.732,4.365,2012
4.619,-0.26,1.891,6.842,6.916,4.002,2013
8.039,8.035,5.934,7.715,8.05,7.555,2014
4.073,3.855,6.592,6.783,8.277,5.916,2015
