November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
4.274,2.274,3.609,4.163,3.262,3.516,1943
6.536,5.648,3.648,4.5,5.318,5.13,1944
7.902,6.454,2.501,3.952,5.631,5.288,1945
4.176,5.921,2.178,7.769,8.588,5.726,1946
3.814,3.502,3.333,2.6,5.611,3.772,1947
3.939,3.393,-2.76,4.512,6.253,3.067,1948
9.367,2.811,2.648,6.783,6.038,5.529,1949
9.578,8.254,5.204,6.102,3.487,6.525,1950
7.357,3.953,4.119,5.558,4.296,5.057,1951
3.455,6.395,7.992,2.795,5.191,5.166,1952
9.235,3.962,4.833,6.844,5.977,6.17,1953
7.18,3.942,2.722,2.195,3.832,3.974,1954
5.939,7.414,6.92,2.205,4.553,5.406,1955
3.391,1.76,1.502,7.6,7.019,4.254,1956
3.274,4.815,5.428,8.933,4.646,5.419,1957
5.025,4.579,5.77,4.22,4.621,4.843,1958
2.378,-0.249,3.368,4.484,6.972,3.391,1959
7.124,4.275,4.369,6.188,5.716,5.534,1960
2.647,4.194,1.863,5.564,5.357,3.925,1961
7.925,5.282,0.068,9.665,4.756,5.539,1962
7.85,2.908,3.122,-0.665,1.911,3.025,1963
4.495,5.803,4.523,1.989,5.771,4.516,1964
7.892,1.841,2.503,2.983,4.729,3.99,1965
6.144,4.801,3.9,4.166,4.902,4.783,1966
6.906,-0.579,1.724,8.484,5.55,4.417,1967
6.893,2.175,3.53,5.419,4.28,4.459,1968
6.101,5.276,5.911,5.575,3.451,5.263,1969
6.824,4.113,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,3.717,8.26,5.473,NaN,1972
7.657,6.767,4.725,4.561,8.751,6.492,1973
6.394,2.665,2.802,4.513,4.088,4.092,1974
3.747,3.41,1.162,3.536,3.245,3.02,1975
5.812,-0.222,1.554,6.427,1.933,3.101,1976
5.232,7.509,7.222,6.868,9.887,7.344,1977
4.443,-0.736,3.458,4.832,8.37,4.073,1978
7.376,4.768,5.281,7.531,4.818,5.955,1979
5.396,5.532,6.116,5.677,5.769,5.698,1980
7.79,6.91,2.847,5.986,7.233,6.153,1981
4.405,2.32,3.621,6.093,4.905,4.269,1982
4.728,5.057,3.552,2.705,2.826,3.774,1983
3.691,1.358,1.394,2.877,1.382,2.14,1984
2.164,1.06,6.554,7.023,8.252,5.011,1985
2.086,3.724,1.857,4.136,4.856,3.332,1986
5.957,2.092,2.796,3.153,4.904,3.78,1987
8.108,3.069,2.709,2.738,8.485,5.022,1988
6.027,3.711,5.783,4.243,8.468,5.646,1989
1.794,-2.195,2.567,6.71,5.666,2.908,1990
4.858,2.727,4.269,9.102,10.049,6.201,1991
5.724,3.876,4.525,6.165,11.226,6.303,1992
4.273,4.442,4.842,4.53,6.685,4.954,1993
2.566,4.073,8.585,8.36,6.225,5.962,1994
7.964,7.687,6.157,8.762,7.02,7.518,1995
9.526,8.83,6.146,4.927,7.113,7.308,1996
8.881,3.034,8.062,6.645,7.97,6.918,1997
8.864,4.457,6.494,6.228,5.527,6.314,1998
8.063,2.328,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,6.567,7.769,8.01,NaN,2004
5.32,6.483,5.98,4.804,5.583,5.634,2005
7.557,2.861,-0.672,6.152,7.229,4.625,2006
5.278,2.393,4.364,5.118,5.122,4.455,2007
8.687,4.503,4.703,7.551,6.605,6.41,2008
4.922,3.449,6.854,8.373,6.314,5.982,2009
5.408,8.122,5.486,3.045,8.334,6.079,2010
5.767,0.579,3.33,4.664,6.047,4.077,2011
8.861,5.724,2.521,3.937,8.19,5.847,2012
4.767,-0.747,1.282,8.74,9.039,4.616,2013
8.699,8.08,5.503,8.045,8.752,7.816,2014
3.482,4.176,7.196,7.473,9.234,6.312,2015
