Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,90,26,26.7384105960265
1942,282,43,99.8068432671082
1943,89,23,99.9451754385965
1944,213,36,85.7891832229581
1945,161,19,33.7748344370861
1946,NaN,NaN,NaN
1947,NaN,NaN,NaN
1948,NaN,NaN,NaN
1949,200,39,100
1950,191,36,99.9724061810154
1951,89,21,100
1952,137,36,99.9724061810154
1953,253,42,100
1954,255,42,100
1955,183,36,100
1956,198,26,100
1957,227,36,100
1958,114,23,100
1959,41,15,100
1960,300,45,100
1961,412,41,100
1962,300,54,100
1963,328,45,100
1964,144,22,40.1766004415011
1965,NaN,NaN,NaN
1966,NaN,NaN,NaN
1967,NaN,NaN,NaN
1968,NaN,NaN,NaN
1969,NaN,NaN,NaN
1970,NaN,NaN,NaN
1971,72,25,20.0383771929825
1972,170,33,100
1973,216,38,99.1997792494481
1974,264,35,99.5033112582781
1975,141,25,99.8081140350877
1976,182,26,100
1977,241,45,100
1978,123,31,100
1979,164,27,99.9725877192982
1980,309,45,100
1981,203,44,100
1982,275,45,100
1983,128,29,100
1984,214,34,100
1985,454,48,100
1986,167,29,100
1987,159,26,100
1988,236,40,99.9724061810154
1989,259,33,100
1990,122,15,100
1991,241,35,100
1992,174,31,100
1993,167,33,99.9724061810154
1994,213,33,99.9724061810154
1995,147,28,99.9451754385965
1996,147,33,100
1997,212,43,99.9172185430464
1998,220,32,99.8620309050773
1999,32,12,99.9451754385965
2000,157,25,99.9724061810154
2001,145,27,99.9724061810154
2002,231,38,99.3101545253863
2003,57,19,97.9714912280702
2004,185,28,100
2005,131,24,100
2006,52,10,99.9724061810154
2007,51,12,100
2008,92,21,99.9724061810154
2009,66,19,100
2010,115,15,99.9724061810154
2011,50,15,100
2012,43,13,99.9724061810154
2013,2,2,100
2014,139,28,100
2015,28,9,99.9725877192982
