November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,1.295,2.07,2.524,NaN,1948
1.008,1.508,4.098,2.032,1.057,1.941,1949
4.191,4.097,1.344,1.76,1.016,2.482,1950
3.404,4.269,6.653,1.306,2.22,3.57,1951
1.524,5.408,1.958,0.079,1.368,2.067,1952
1.685,0.311,2.36,2.277,2.376,1.802,1953
2.21,2.753,1.991,1.315,0.5,1.754,1954
1.499,9.726,5.285,0.998,0.213,3.544,1955
0.085,0.229,1.876,3.836,0.942,1.394,1956
0.186,2.876,3.581,6.033,4.285,3.392,1957
0.008,0.582,4.097,4.245,0.631,1.913,1958
0,1.475,2.761,3.483,1.663,1.876,1959
2.862,0.959,3.441,0.631,1.458,1.87,1960
1.659,1.975,0.729,7.538,1.975,2.775,1961
0.406,2.007,3.736,2.567,3.769,2.497,1962
3.107,0.361,2.532,0.027,1.311,1.468,1963
2.024,3.523,2.876,0.613,0.516,1.91,1964
2.845,2.122,2.393,1.733,0.107,1.84,1965
4.75,3.105,6.711,0.399,3.097,3.612,1966
0.872,1.172,3.253,1.941,1.278,1.703,1967
2.667,3.187,6.391,5.658,0.59,3.699,1968
0.262,4.662,7.055,1.442,0.942,2.873,1969
6.299,3.826,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
NaN,NaN,NaN,NaN,NaN,NaN,1992
NaN,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,2.347,1.222,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,2.62,1.118,NaN,2007
0.541,1.595,1.261,5.222,0.593,1.842,2008
0.095,1.195,7.14,3.013,1.173,2.523,2009
NaN,NaN,NaN,3.62,NaN,NaN,2010
NaN,NaN,1.57,NaN,NaN,NaN,2011
NaN,6.447,0.599,0.235,0.411,NaN,2012
NaN,0.398,0.066,6.616,NaN,NaN,2013
1.63,7.983,NaN,1.377,0.166,NaN,2014
0.688,1.869,5.3,0.174,4.094,2.425,2015
