November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,100,93.1034482758621,100,1948
100,100,96.7741935483871,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,100,0,0,0,1970
0,0,0,0,0,1971
0,0,0,0,0,1972
0,0,0,0,0,1973
0,0,0,0,0,1974
0,0,0,0,0,1975
0,0,0,0,0,1976
0,0,0,0,0,1977
0,0,0,0,0,1978
0,0,0,0,0,1979
0,0,0,0,0,1980
0,0,0,0,0,1981
0,0,0,0,0,1982
0,0,0,0,0,1983
0,0,0,0,0,1984
0,0,0,0,0,1985
0,0,0,0,0,1986
0,0,0,0,0,1987
0,0,0,0,0,1988
0,0,0,0,0,1989
0,0,0,0,0,1990
0,0,0,0,0,1991
0,0,0,0,0,1992
0,0,0,0,0,1993
0,0,0,0,0,1994
0,0,0,0,0,1995
0,0,0,0,0,1996
0,0,0,0,0,1997
0,0,0,0,0,1998
0,0,0,0,0,1999
0,0,0,0,0,2000
0,0,0,0,0,2001
0,0,0,0,0,2002
0,0,0,0,0,2003
33.3333333333333,51.6129032258064,80.6451612903226,72.4137931034483,61.2903225806452,2004
0,0,0,0,0,2005
0,0,0,0,0,2006
0,0,58.0645161290323,67.8571428571429,80.6451612903226,2007
76.6666666666667,80.6451612903226,90.3225806451613,86.2068965517241,77.4193548387097,2008
80,87.0967741935484,87.0967741935484,78.5714285714286,67.741935483871,2009
56.6666666666667,48.3870967741936,61.2903225806452,85.7142857142857,58.0645161290323,2010
56.6666666666667,64.5161290322581,70.9677419354839,60.7142857142857,64.5161290322581,2011
43.3333333333333,67.741935483871,80.6451612903226,93.1034482758621,67.741935483871,2012
60,74.1935483870968,87.0967741935484,78.5714285714286,51.6129032258064,2013
80,67.741935483871,41.9354838709677,67.8571428571429,74.1935483870968,2014
80,90.3225806451613,96.7741935483871,67.8571428571429,80.6451612903226,2015
