Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,NaN,NaN,NaN
1942,NaN,NaN,NaN
1943,NaN,NaN,NaN
1944,NaN,NaN,NaN
1945,NaN,NaN,NaN
1946,NaN,NaN,NaN
1947,NaN,NaN,NaN
1948,14,7,100.027593818985
1949,50,11,100
1950,102,25,99.9724061810154
1951,20,6,99.1502192982456
1952,60,11,99.9448123620309
1953,116,19,99.9172185430464
1954,154,22,99.9724061810154
1955,18,7,100
1956,26,5,100
1957,149,20,100
1958,52,8,99.7516556291391
1959,9,5,100
1960,223,31,100
1961,88,20,97.5993377483444
1962,141,24,100
1963,230,30,99.9725877192982
1964,55,18,60.2649006622517
1965,34,13,33.3333333333333
1966,52,25,33.3333333333333
1967,21,11,33.3333333333333
1968,35,14,33.3333333333333
1969,6,5,33.3333333333333
1970,30,12,33.3333333333333
1971,18,10,33.3333333333333
1972,48,19,72.075055187638
1973,26,12,98.0960264900662
1974,119,19,99.0066225165563
1975,93,15,98.6019736842105
1976,181,21,98.3995584988962
1977,64,13,98.3167770419426
1978,69,10,98.1512141280353
1979,51,13,96.984649122807
1980,189,25,98.9238410596027
1981,47,12,99.7516556291391
1982,159,25,99.9724061810154
1983,70,16,99.9725877192982
1984,103,18,100
1985,214,26,99.9448123620309
1986,NaN,NaN,NaN
1987,0,0,0.0822368421052631
1988,33,9,94.5364238410596
1989,99,12,93.9845474613686
1990,38,11,94.7019867549669
1991,120,20,83.031798245614
1992,45,12,93.2395143487859
1993,26,8,74.7792494481236
1994,11,6,68.2119205298013
1995,29,15,96.1896929824561
1996,3,2,94.7847682119205
1997,3,2,90.5629139072848
1998,5,4,97.4613686534216
1999,11,6,99.8629385964912
2000,45,12,99.9448123620309
2001,17,3,94.2604856512141
2002,139,19,98.0960264900662
2003,38,12,97.9714912280702
2004,68,17,99.4205298013245
2005,3,2,99.8896247240618
2006,5,2,99.7792494481236
2007,4,2,98.6293859649123
2008,11,8,99.8620309050773
2009,17,10,99.8620309050773
2010,19,8,99.9724061810154
2011,3,2,99.9451754385965
2012,5,3,99.9448123620309
2013,1,1,99.9172185430464
2014,12,6,99.5584988962472
2015,0,0,100
