year,meanFogStart
1944,4
1945,NaN
1946,NaN
1947,NaN
1948,NaN
1949,NaN
1950,NaN
1951,NaN
1952,NaN
1953,NaN
1954,NaN
1955,NaN
1956,NaN
1957,NaN
1958,NaN
1959,NaN
1960,NaN
1961,NaN
1962,NaN
1963,NaN
1964,NaN
1965,NaN
1966,NaN
1967,NaN
1968,NaN
1969,NaN
1970,NaN
1971,NaN
1972,7.6
1973,6.5
1974,9.29411764705882
1975,10.8823529411765
1976,11.4166666666667
1977,12.4285714285714
1978,13.4444444444444
1979,14.1
1980,11.7096774193548
1981,9
1982,7.75
1983,13.3636363636364
1984,8.5
1985,10.1111111111111
1986,12.8
1987,9
1988,6.33333333333333
1989,10.8666666666667
1990,6.27272727272727
1991,6.34782608695652
1992,9.85714285714286
1993,8
1994,8.26086956521739
1995,11.875
1996,8.59090909090909
1997,8.375
1998,7.41176470588235
1999,8.875
2000,9.5
2001,9.6
2002,9
2003,6.89285714285714
2004,9.45454545454546
2005,12.4
2006,6.2
2007,4
2008,6.625
2009,8.78571428571429
2010,7.41666666666667
2011,3.5
2012,13
2013,12
2014,5.88888888888889
2015,4
2016,NaN
