Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,NaN,NaN,NaN
1942,NaN,NaN,NaN
1943,NaN,NaN,NaN
1944,5,2,22.3509933774834
1945,NaN,NaN,NaN
1946,NaN,NaN,NaN
1947,NaN,NaN,NaN
1948,NaN,NaN,NaN
1949,NaN,NaN,NaN
1950,NaN,NaN,NaN
1951,NaN,NaN,NaN
1952,NaN,NaN,NaN
1953,NaN,NaN,NaN
1954,NaN,NaN,NaN
1955,NaN,NaN,NaN
1956,NaN,NaN,NaN
1957,NaN,NaN,NaN
1958,NaN,NaN,NaN
1959,NaN,NaN,NaN
1960,NaN,NaN,NaN
1961,NaN,NaN,NaN
1962,NaN,NaN,NaN
1963,NaN,NaN,NaN
1964,NaN,NaN,NaN
1965,NaN,NaN,NaN
1966,NaN,NaN,NaN
1967,NaN,NaN,NaN
1968,NaN,NaN,NaN
1969,NaN,NaN,NaN
1970,NaN,NaN,NaN
1971,NaN,NaN,NaN
1972,5,3,20.5298013245033
1973,7,2,53.5320088300221
1974,46,13,56.401766004415
1975,38,14,55.7565789473684
1976,64,16,59.6578366445916
1977,13,5,64.7075055187638
1978,27,6,64.4039735099338
1979,23,7,62.7741228070175
1980,82,18,58.8300220750552
1981,19,8,61.6721854304636
1982,48,15,60.6788079470199
1983,18,7,63.843201754386
1984,43,14,63.658940397351
1985,63,13,63.1346578366446
1986,79,15,99.9172185430464
1987,40,7,100
1988,61,16,99.9448123620309
1989,89,17,100
1990,44,8,100
1991,129,19,100
1992,42,7,100
1993,80,14,100
1994,85,19,100
1995,80,16,100
1996,46,16,99.8620309050773
1997,36,14,99.9448123620309
1998,70,13,98.7306843267108
1999,16,8,99.8629385964912
2000,36,14,99.8620309050773
2001,5,4,99.2273730684327
2002,57,13,97.9304635761589
2003,44,14,98.4923245614035
2004,44,15,99.1997792494481
2005,5,5,99.8620309050773
2006,5,5,99.9724061810154
2007,1,1,99.8629385964912
2008,13,5,99.9724061810154
2009,18,9,100
2010,21,9,99.9724061810154
2011,2,2,99.8629385964912
2012,3,3,100
2013,3,3,99.9172185430464
2014,11,7,100
2015,1,1,99.3421052631579
