November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
1018.915,1022.135,1019.638,1020.937,1017.791,1019.883,1942
1019.786,1019.076,1020.938,1017.089,1018.564,1019.091,1943
1017.038,1021.023,1021.747,1018.865,1017.855,1019.306,1944
1019.26,1019.915,1023.076,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,1021.167,1020.563,1017.603,NaN,1947
1021.115,1020.794,1020.983,1020.346,1017.02,1020.052,1948
1020.065,1020.033,1021.381,1020.46,1019.777,1020.343,1949
1019.105,1020.226,1021.77,1019.094,1017.637,1019.566,1950
1018.354,1020.188,1020.625,1020.897,1016.006,1019.214,1951
1017.723,1020.739,1024.33,1021.771,1018.929,1020.698,1952
1019.939,1024.918,1020.135,1022.171,1016.803,1020.793,1953
1021.201,1023.699,1021.708,1022.165,1019.319,1021.618,1954
1019.239,1019.977,1019.008,1020.821,1020.807,1019.97,1955
1022.648,1023.88,1020.032,1018.198,1018.127,1020.577,1956
1020.617,1022.558,1022.166,1016.755,1013.688,1019.157,1957
1019.319,1022.302,1020.613,1018.398,1020.214,1020.169,1958
1020.842,1019.447,1020.792,1021.127,1019.056,1020.253,1959
1020.001,1024.109,1023.318,1023.414,1017.746,1021.718,1960
1018.924,1021.52,1024.109,1017.485,1018.81,1020.17,1961
1020.066,1021.602,1021.58,1020.536,1018.241,1020.405,1962
1018.934,1023.795,1022.767,1020.729,1017.498,1020.745,1963
1019.894,1020.077,1021.871,1019.191,1016.022,1019.411,1964
1016.845,1017.83,1020.506,1019.634,1018.485,1018.66,1965
1018.087,1020.361,1022.173,1022.512,1017.391,1020.105,1966
1016.475,1019.853,1021.365,1018.648,1018.408,1018.95,1967
1020.521,1020.895,1017.056,1015.008,1019.275,1018.551,1968
1018.697,1019.941,1021.487,1019.802,1016.564,1019.298,1969
1018.253,1019.585,1022.234,1020.309,1020.423,1020.161,1970
1019.848,1020.004,1022.499,1020.388,1018.16,1020.18,1971
1018.77,1022.092,1020.712,1017.098,1015.563,1018.847,1972
1018.69,1022.504,1019.102,1022.446,1016.598,1019.868,1973
1019.255,1022.199,1022.02,1019.664,1015.618,1019.751,1974
1019.822,1022.286,1023.381,1019.238,1017.709,1020.487,1975
1019.488,1019.486,1020.48,1022.057,1017.997,1019.902,1976
1019.775,1018.777,1018.296,1017.026,1015.552,1017.885,1977
1018.428,1021.263,1017.875,1020.438,1017.17,1019.035,1978
1020.392,1020.889,1017.098,1016.496,1016.804,1018.336,1979
1021.085,1021.781,1019.611,1019.408,1017.575,1019.892,1980
1018.486,1021.221,1021.336,1019.985,1016.077,1019.421,1981
1016.489,1019.766,1019.352,1015.897,1013.953,1017.091,1982
1017.398,1019.971,1022.615,1020.908,1017.92,1019.762,1983
1018.931,1017.447,1022.506,1019.452,1018.772,1019.422,1984
1016.772,1023.246,1021.008,1017.77,1016.842,1019.128,1985
1019.514,1020.609,1021.081,1017.179,1016.455,1018.968,1986
1019.912,1020.121,1021.932,1020.646,1019.843,1020.491,1987
1020.192,1021.864,1023.308,1021.12,1018.381,1020.973,1988
1018.815,1022.187,1020.691,1021.309,1017.363,1020.073,1989
1019.735,1021.568,1021.328,1018.48,1015.47,1019.316,1990
1019.565,1019.274,1020.746,1016.664,1013.861,1018.022,1991
1020,1019.262,1016.552,1015.882,1018.465,1018.032,1992
1018.807,1021.929,1022.331,1017.849,1017.083,1019.6,1993
NaN,1019.977,1016.919,1019.044,1016.433,NaN,1994
1019.489,1020.579,1020.427,1017.813,1017.488,1019.159,1995
1018.526,1019.596,1019.621,1019.314,1018.113,1019.034,1996
1015.664,1020.204,1017.447,1014.312,1014.773,1016.48,1997
1018.803,1024.144,1021.624,1022.22,1016.206,1020.599,1998
1019.638,1024.059,1022.004,1018.052,1017.193,1020.189,1999
1019.647,1021.705,1020.525,1017.123,1015.74,1018.948,2000
1017.802,1020.467,1022.344,1021.866,1018.231,1020.142,2001
1019.481,1019.925,1022.73,1016.16,1017.379,1019.135,2002
1018.727,1019.576,1020.842,1018.584,1016.818,1018.909,2003
1019.81,1019.642,1019.021,1016.097,1017.361,1018.386,2004
1019.197,1020.579,1021.887,1019.336,1016.203,1019.44,2005
1019.34,1022.893,1021.892,1019.568,1018.217,1020.382,2006
1017.911,1022.538,1019.13,1019.34,1020.092,1019.802,2007
1019.41,1019.866,1023.155,1017.866,1017.641,1019.588,2008
1017.702,1018.367,1016.133,1015.807,1017.594,1017.121,2009
1019.699,1017.349,1021.776,1019.417,1018.236,1019.295,2010
1018.398,1021.92,1022.112,1018.518,1017.165,1019.623,2011
1018.436,1018.334,1022.208,1020.493,1016.993,1019.293,2012
1017.161,1021.324,1020.857,1017.347,1016.913,1018.72,2013
1018.966,1018.825,1021.757,1017.503,1017.889,1018.988,2014
1018.281,1020.344,1019.351,1021.441,1016.744,1019.232,2015
