November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,1021.493,1020.638,1016.774,NaN,1947
1021.522,1019.856,1022.4,1018.695,1016.165,1019.728,1948
1019.369,1019.823,1019.329,1020.108,1018.907,1019.507,1949
1018.128,1020.09,1020.635,1018.723,1017.69,1019.053,1950
1017.536,1018.615,1018.481,1019.952,1014.792,1017.875,1951
1017.434,1018.29,1022.29,1022.738,1017.795,1019.709,1952
1018.843,1024.795,1018.311,1020.855,1015.697,1019.7,1953
1020.644,1023.068,1021.582,1022.499,1019.967,1021.552,1954
1019.099,1017.348,1017.554,1019.629,1021.178,1018.962,1955
1023.588,1023.888,1019.551,1017.145,1017.379,1020.31,1956
1020.905,1021.6,1021.096,1014.766,1012.436,1018.161,1957
1019.633,1022.559,1020.09,1017.279,1020.494,1020.011,1958
1021.013,1019.714,1020.106,1019.576,1018.449,1019.772,1959
1018.62,1023.804,1022.573,1022.712,1016.438,1020.829,1960
1017.71,1020.413,1023.479,1014.342,1017.23,1018.635,1961
1019.587,1021.156,1021.049,1019.687,1016.963,1019.688,1962
1018.114,1023.991,1021.925,1022.475,1017.727,1020.846,1963
1019.21,1016.945,1020.397,1020.077,1015.627,1018.451,1964
1015.532,1016.6,1019.978,1019.66,1018.312,1018.016,1965
1016.814,1019.404,1021.055,1022.817,1016.045,1019.227,1966
1016.742,1020.685,1020.837,1018.841,1018.42,1019.105,1967
1020.818,1020.005,1014.896,1013.022,1019.855,1017.719,1968
1019.322,1019.296,1019.77,1020.333,1018.321,1019.408,1969
1016.763,1018.115,1022.02,1020.473,1020.256,1019.525,1970
1019.861,1019.284,1021.801,1020.028,1018.555,1019.906,1971
1017.975,1022.043,1019.645,1016.114,1015.106,1018.177,1972
1016.289,1021.592,1019.05,1022.456,1015.529,1018.983,1973
1019.77,1023.273,1022.134,1018.773,1015.357,1019.861,1974
1020.738,1022.979,1024.212,1019.071,1017.683,1020.937,1975
1020.036,1020.359,1020.736,1022.292,1018.527,1020.39,1976
1020.235,1018.228,1016.66,1015.71,1014.448,1017.056,1977
1018.236,1021.616,1017.396,1018.399,1016.177,1018.365,1978
1020.174,1020.798,1015.94,1014.864,1016.904,1017.736,1979
1021.268,1021.12,1018.445,1019.074,1016.678,1019.317,1980
1016.59,1019.365,1020.141,1019.643,1014.087,1017.965,1981
1015.665,1019.518,1017.966,1013.388,1011.869,1015.681,1982
1016.091,1018.242,1023.308,1020.467,1018.008,1019.223,1983
1017.342,1017.936,1022.607,1019.712,1018.015,1019.122,1984
1016.608,1023.19,1020.159,1014.779,1015.729,1018.093,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
1018.617,1022.148,1023.943,1021.372,1017.642,1020.744,1988
1019.276,1022.693,1020.245,1021.661,1017.208,1020.217,1989
1021.162,1022.021,1022.569,1018.967,1013.152,1019.574,1990
NaN,NaN,NaN,1015.652,1013.61,NaN,1991
1021.277,1017.505,1015.876,1014.641,1018.182,1017.496,1992
1019.683,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
1019.493,1020.441,1018.989,1015.689,1017.016,1018.326,1995
1018.252,1015.959,1018.867,1020.755,1018.896,1018.546,1996
NaN,1021.765,1015.809,1011.853,1014.622,NaN,1997
1017.519,1024.617,1020.444,1021.051,1015.959,1019.918,1998
1019.486,1025.049,1021.302,1016.528,1017.701,1020.013,1999
1020.273,1022.05,1020.773,1016.694,1016.24,1019.206,2000
1017.32,1019.61,1022.846,1021.918,1018.845,1020.108,2001
1019.392,1018.106,1023.066,1017.064,1017.433,1019.012,2002
1019.264,1018.877,1021.096,1017.67,1017.9,1018.961,2003
1020.985,1018.715,1018.528,1016.478,1016.87,1018.315,2004
1019.598,1019.122,1021.324,1019.25,1014.555,1018.77,2005
1019.438,1022.75,1023.164,1018.415,1018.705,1020.494,2006
1018.86,1022.63,1019.132,1019.4,1020.991,1020.203,2007
1019.789,1019.341,1023.977,1016.643,1017.679,1019.486,2008
1018.61,1018.58,1014.926,1015.368,1017.253,1016.947,2009
1019.545,1016.315,1022.404,1018.989,1016.527,1018.756,2010
1018.912,1023.401,1022.348,1019.39,1016.046,1020.019,2011
1017.792,1017.468,1023.028,1021.156,1017.344,1019.358,2012
1018.409,1022.161,1021.641,1016.415,1017.351,1019.195,2013
1019.424,1019.065,1022.318,1017.515,1018.556,1019.376,2014
1018.981,1019.495,1018.424,1021.882,1015.914,1018.939,2015
