November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
1016.31,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
1021,1021.451,1022.187,1018.143,1016.829,1019.922,1986
1020.248,1020.52,1022.193,1022.253,1021.271,1021.297,1987
1018.983,1022.472,1024.061,1021.793,1017.799,1021.022,1988
1019.925,1023.175,1020.617,1021.609,1017.671,1020.599,1989
1021.384,1022.154,1022.514,1019.052,1013.136,1019.648,1990
1021.045,1019.855,1020.78,1016.067,1014.054,1018.36,1991
1021.641,1017.794,1016.388,1015.359,1018.451,1017.927,1992
1020.155,1021.561,1022.84,1017.778,1017.973,1020.061,1993
1019.692,1020.477,1014.404,1019.156,1014.788,1017.703,1994
1019.811,1019.919,1019.358,1015.789,1017.235,1018.422,1995
1018.042,1016.553,1018.954,1020.615,1018.569,1018.547,1996
1014.895,1021.317,1015.38,1011.513,1014.366,1015.494,1997
1017.17,1024.288,1020.285,1020.462,1015.599,1019.561,1998
1019.21,1024.884,1020.918,1016.111,1017.45,1019.715,1999
1019.944,1021.791,1020.589,1016.545,1016.046,1018.983,2000
1016.713,1019.351,1022.41,1021.986,1018.291,1019.75,2001
1019.156,1016.994,1022.749,1016.876,1017.125,1018.58,2002
1019.138,1018.659,1020.79,1017.309,1017.55,1018.689,2003
1020.9,1018.45,1018.114,1016.26,1016.612,1018.067,2004
1019.474,1018.722,1021.069,1019.045,1014.201,1018.502,2005
1019.122,1022.436,1023.022,1017.976,1018.486,1020.208,2006
1018.803,1022.342,1017.513,1019.065,1020.709,1019.686,2007
1019.522,1019.395,1023.787,1016.348,1017.236,1019.258,2008
1018.397,1018.245,1014.397,1014.963,1016.826,1016.566,2009
1019.212,1015.723,1022.017,1018.627,1015.95,1018.306,2010
1018.113,1023.534,1022.096,1019.102,1015.505,1019.67,2011
1017.264,1017.027,1022.64,1020.877,1016.997,1018.961,2012
1018.233,1021.933,1021.43,1015.967,1016.97,1018.907,2013
1019.033,1018.489,1021.927,1017.136,1018.191,1018.955,2014
1018.385,1018.939,1017.906,1021.447,1015.344,1018.404,2015
