November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
100,9.67741935483871,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,0,0,0,1948
0,0,0,0,0,1949
0,0,0,0,0,1950
0,0,0,0,0,1951
0,0,0,0,0,1952
0,0,0,0,0,1953
0,0,0,0,0,1954
0,0,0,0,0,1955
0,0,0,0,0,1956
0,0,0,0,0,1957
0,0,0,0,0,1958
0,0,0,0,0,1959
0,0,0,0,0,1960
0,0,0,0,0,1961
0,0,0,0,0,1962
0,0,0,0,0,1963
0,0,0,0,0,1964
0,0,0,0,0,1965
0,0,0,0,0,1966
0,0,0,0,0,1967
0,0,0,0,0,1968
0,0,0,0,0,1969
0,0,0,0,0,1970
0,0,0,0,0,1971
0,0,0,0,0,1972
0,0,0,0,0,1973
0,0,0,0,0,1974
0,0,0,0,0,1975
0,0,0,0,0,1976
0,0,0,0,0,1977
0,0,0,0,0,1978
0,0,0,0,0,1979
0,0,0,0,0,1980
0,0,0,0,0,1981
0,0,0,0,0,1982
0,0,0,0,0,1983
0,0,0,0,0,1984
0,0,0,0,0,1985
100,100,100,100,100,1986
100,100,100,100,100,1987
100,100,100,100,100,1988
100,100,100,100,100,1989
100,100,100,100,100,1990
100,100,100,100,100,1991
100,100,100,100,100,1992
100,100,100,100,100,1993
100,100,100,100,100,1994
100,100,100,100,100,1995
100,100,100,100,100,1996
100,100,100,100,100,1997
100,93.5483870967742,100,96.4285714285714,100,1998
100,100,100,100,100,1999
96.6666666666667,100,100,100,100,2000
93.3333333333333,100,100,100,93.5483870967742,2001
100,100,93.5483870967742,100,100,2002
100,100,100,96.4285714285714,96.7741935483871,2003
100,100,100,100,100,2004
100,96.7741935483871,93.5483870967742,100,100,2005
100,100,100,96.4285714285714,96.7741935483871,2006
96.6666666666667,100,96.7741935483871,100,96.7741935483871,2007
100,96.7741935483871,100,96.551724137931,96.7741935483871,2008
100,100,100,100,96.7741935483871,2009
100,96.7741935483871,100,100,96.7741935483871,2010
90,90.3225806451613,100,100,96.7741935483871,2011
100,100,100,100,96.7741935483871,2012
100,100,100,92.8571428571429,96.7741935483871,2013
100,100,100,100,96.7741935483871,2014
93.3333333333333,100,100,100,96.7741935483871,2015
