November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
1019.488,1021.239,1021.294,1020.492,1017.182,1019.939,1947
1021.27,1020.283,1021.221,1019.775,1016.348,1019.779,1948
1019.714,1020.009,1020.432,1020.469,1019.703,1020.065,1949
1018.198,1020.182,1021.15,1019.039,1017.634,1019.241,1950
1017.791,1019.227,1019.227,1020.525,1015.17,1018.388,1951
1017.114,1019.13,1023.198,1021.803,1018.359,1019.921,1952
1019.131,1024.238,1018.972,1021.058,1015.887,1019.857,1953
1020.382,1022.94,1021.132,1021.912,1019.371,1021.147,1954
1018.755,1018.192,1018.05,1019.795,1020.927,1019.144,1955
1022.403,1023.491,1019.213,1017.275,1017.62,1020,1956
1019.697,1021.475,1020.68,1014.901,1012.274,1017.805,1957
1018.662,1021.715,1019.545,1017.006,1019.958,1019.377,1958
1020.447,1019.192,1019.908,1019.738,1018.784,1019.614,1959
1018.922,1023.425,1022.823,1022.914,1017.164,1021.05,1960
1017.999,1020.824,1023.374,1015.634,1017.784,1019.123,1961
1019.926,1021.569,1021.159,1019.99,1017.942,1020.117,1962
1018.91,1024.539,1022.754,1021.677,1018.033,1021.183,1963
1020.005,1019.239,1021.429,1019.644,1016.1,1019.283,1964
1016.103,1017.24,1020.219,1019.594,1018.75,1018.381,1965
1017.288,1019.648,1021.081,1022.405,1016.876,1019.46,1966
1016.342,1019.773,1020.964,1018.637,1018.35,1018.813,1967
1020.321,1020.257,1015.816,1013.628,1019.544,1017.913,1968
1018.876,1019.215,1020.377,1019.672,1016.927,1019.013,1969
1017.44,1018.958,1022.288,1020.576,1020.866,1020.026,1970
1019.878,1019.648,1022.443,1020.73,1018.863,1020.312,1971
1018.119,1021.918,1019.809,1016.276,1015.098,1018.244,1972
1017.695,1022.111,1018.773,1022.508,1016.627,1019.543,1973
1019.485,1022.546,1022.122,1019.069,1015.711,1019.787,1974
1020.148,1022.686,1023.797,1019.457,1017.923,1020.802,1975
1019.609,1019.8,1020.567,1022.242,1018.201,1020.084,1976
1019.705,1018.485,1017.195,1016.302,1015.024,1017.342,1977
1018.301,1021.626,1017.674,1019.462,1016.851,1018.783,1978
1020.356,1020.743,1016.636,1015.473,1017.012,1018.044,1979
1021.23,1021.543,1019.027,1019.362,1017.278,1019.688,1980
1017.702,1020.503,1020.594,1019.921,1015.279,1018.8,1981
1016.165,1019.792,1018.806,1014.67,1013.189,1016.524,1982
1016.447,1018.71,1022.712,1020.748,1017.86,1019.295,1983
1018.069,1017.692,1022.667,1019.141,1018.376,1019.189,1984
1016.558,1023.088,1020.481,1016,1016.236,1018.473,1985
1019.567,1020.608,1021.129,1017.007,1016.247,1018.912,1986
1019.432,1019.599,1021.511,1020.77,1020.081,1020.279,1987
1019.149,1021.273,1023.05,1021.121,1017.941,1020.507,1988
1018.529,1022.102,1020.093,1020.931,1017.512,1019.833,1989
1019.971,1021.193,1021.384,1018.218,1013.702,1018.894,1990
1019.498,1018.614,1020.304,1015.658,1013.484,1017.512,1991
1020.035,1017.746,1015.791,1014.912,1018.32,1017.361,1992
1018.778,1020.222,NaN,NaN,1017.531,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
1018.459,1023.779,1021.268,1022.075,1016.622,1020.441,1998
1019.739,1024.574,1021.767,1017.641,1017.474,1020.239,1999
1020.072,1022.053,1020.389,1016.639,1016.076,1019.046,2000
1017.793,1019.885,1022.46,1022.049,1018.768,1020.191,2001
1019.343,1018.886,1023.079,1016.677,1017.744,1019.146,2002
1019.171,1019.435,1021.147,1018.162,1017.556,1019.094,2003
1020.317,1018.99,1018.956,1016.259,1017.083,1018.321,2004
1019.485,1019.93,1021.647,1019.341,1015.491,1019.179,2005
1019.68,1023.238,1022.55,1019.217,1018.445,1020.626,2006
1018.401,1022.487,1018.497,1019.404,1020.995,1019.957,2007
1019.691,1019.75,1023.581,1017.288,1018.059,1019.674,2008
1018.263,1018.5,1016.103,1015.565,1017.808,1017.248,2009
1019.628,1016.986,1022.158,1019.186,1017.817,1019.155,2010
1018.797,1022.627,1022.26,1019.065,1017.264,1020.003,2011
1018.433,1017.9,1022.827,1020.918,1017.536,1019.523,2012
1017.635,1021.701,1021.252,1017.206,1017.414,1019.042,2013
1019.209,1018.792,1022.129,1017.543,1018.467,1019.228,2014
1018.651,1020.018,1018.934,1021.668,1016.603,1019.175,2015
