November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
1018.723,1016.99,1021.572,1016.651,1017.378,1018.263,1941
1018.744,1022.18,1018.991,1020.75,1017.722,1019.677,1942
1019.895,1019.484,1020.893,1016.695,1018.78,1019.149,1943
1016.62,1020.942,1022.068,1018.627,1017.88,1019.227,1944
1019.534,1019.472,1023.697,1020.594,1016.67,1019.993,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,1019.983,1016.356,1015.408,NaN,1972
1017.98,1022.232,1018.987,1022.666,1016.414,1019.656,1973
1019.638,1022.528,1022.381,1019.387,1016.033,1019.993,1974
1020.348,1022.773,1023.676,1019.47,1018.128,1020.879,1975
1019.763,1019.887,1020.816,1022.523,1018.461,1020.29,1976
1020.181,1018.96,1017.769,1016.989,1015.672,1017.914,1977
NaN,NaN,NaN,NaN,1017.307,NaN,1978
1020.191,1020.669,1016.554,1015.262,1017.103,1017.956,1979
1021.536,1021.707,1019.262,1019.46,1017.669,1019.927,1980
1017.707,1020.262,NaN,NaN,NaN,NaN,1981
1017.042,1019.69,1019.087,1015.247,1013.453,1016.904,1982
1016.594,1018.676,1023.161,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
1020.275,1020.791,NaN,NaN,NaN,NaN,1986
1019.681,1020.014,NaN,NaN,1020.412,NaN,1987
1019.317,1021.719,1023.762,NaN,1018.304,NaN,1988
NaN,1022.594,1020.841,1021.799,1017.918,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
NaN,NaN,NaN,NaN,NaN,NaN,1992
NaN,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
1018.48,1018.428,1019.26,1019.972,1018.571,1018.942,1996
1015.115,1020.268,1016.621,1012.748,1014.682,1015.887,1997
1018.453,1024.075,1021.028,1021.974,1016.526,1020.411,1998
1019.537,1024.059,1021.526,1016.951,1017.246,1019.864,1999
1019.801,1021.739,1020.057,1016.398,1015.981,1018.795,2000
1017.551,1019.793,1022.278,1021.908,1018.463,1019.999,2001
1019.072,1018.608,1022.606,1016.273,1017.549,1018.822,2002
1018.843,1019.133,1020.86,1018.2,1017.342,1018.876,2003
1019.902,1018.765,1018.575,1015.823,1016.958,1018.005,2004
1019.301,1019.742,1021.402,1019.064,1015.397,1018.981,2005
1019.476,1022.439,1022.107,1019.104,1018.411,1020.307,2006
1018.032,1022.068,1018.232,1019.032,1020.736,1019.62,2007
1019.556,1019.672,1023.305,1017.244,1017.983,1019.552,2008
1017.914,1018.123,1015.26,1015.305,1017.643,1016.849,2009
1019.473,1016.709,1021.648,1018.922,1017.795,1018.909,2010
1018.467,1022.207,1022.046,1018.838,1017.232,1019.758,2011
1018.318,1017.749,1022.371,1020.661,1017.3,1019.28,2012
1017.379,1021.393,1020.968,1017.069,1017.244,1018.811,2013
1018.978,1018.413,1021.733,1017.281,1018.345,1018.95,2014
1018.484,1020.001,1018.792,1021.387,1016.654,1019.064,2015
