year,meanFogStart
1947,8.16666666666667
1948,7.54545454545455
1949,7.65714285714286
1950,7.94285714285714
1951,7.93548387096774
1952,8.5
1953,6.86666666666667
1954,6.72916666666667
1955,8.09375
1956,7.56756756756757
1957,8.48717948717949
1958,8.38888888888889
1959,8.64705882352941
1960,7.84615384615385
1961,10.175
1962,8.91666666666667
1963,7.76595744680851
1964,8.0188679245283
1965,7.54545454545455
1966,8.21621621621622
1967,7.375
1968,8.52830188679245
1969,8.5
1970,7.28571428571429
1971,8.46052631578947
1972,6.8936170212766
1973,7.21875
1974,7.45945945945946
1975,7.90909090909091
1976,6.80769230769231
1977,7.58974358974359
1978,7.16666666666667
1979,8.38461538461539
1980,8.02631578947368
1981,9.07142857142857
1982,7.2
1983,8.36
1984,7.975
1985,8.65
1986,7.29032258064516
1987,7.14814814814815
1988,8.96153846153846
1989,8.48
1990,7.59259259259259
1991,7.03448275862069
1992,8.66666666666667
1993,9.38709677419355
1994,9.07142857142857
1995,7.89655172413793
1996,7.25
1997,6.73684210526316
1998,7.45714285714286
1999,7.5
2000,7.08888888888889
2001,8.51851851851852
2002,8.04651162790698
2003,7.38461538461539
2004,8.65714285714286
2005,6.4375
2006,10
2007,7.14285714285714
2008,8.04545454545454
2009,7.35
2010,6.86666666666667
2011,8.1
2012,8.5
2013,9.5
2014,7.15384615384615
2015,7.8
2016,NaN
