year,meanFogStart
1947,9.55813953488372
1948,9.81818181818182
1949,8.62857142857143
1950,8.87804878048781
1951,7.71875
1952,8.72727272727273
1953,7.52083333333333
1954,8.01923076923077
1955,7.61764705882353
1956,8.36842105263158
1957,8.34146341463415
1958,8.72222222222222
1959,8.64705882352941
1960,8.64814814814815
1961,10.3
1962,9.08064516129032
1963,8.63461538461539
1964,7.83333333333333
1965,7.54545454545455
1966,8.21621621621622
1967,7.375
1968,8.52830188679245
1969,8.5
1970,7.28571428571429
1971,8.46052631578947
1972,6.59574468085106
1973,6.66666666666667
1974,9.33333333333333
1975,9.48484848484848
1976,8.18518518518519
1977,7.73170731707317
1978,6.23333333333333
1979,8.26190476190476
1980,6.70731707317073
1981,8.03448275862069
1982,8.16666666666667
1983,6.30769230769231
1984,8.90243902439024
1985,7.59375
1986,8.03225806451613
1987,6.37037037037037
1988,7.85185185185185
1989,9.03846153846154
1990,7.72413793103448
1991,6.24242424242424
1992,8.75
1993,8.16129032258065
1994,8.6551724137931
1995,8.51612903225806
1996,6.4375
1997,5.475
1998,7.65714285714286
1999,7.6875
2000,6.87234042553191
2001,8.62068965517241
2002,8.24444444444444
2003,7.51724137931035
2004,10.0540540540541
2005,6.75
2006,8.5
2007,6.71428571428571
2008,6.82608695652174
2009,6.9
2010,6.29411764705882
2011,9.2
2012,8.25
2013,8
2014,6.21428571428571
2015,7.6
2016,NaN
