November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,127.4,110.3,64.7,68,NaN,1941
36.9,68.5,150,30.2,100.1,385.7,1942
15.8,46.3,63.6,160.1,37.3,323.1,1943
79.3,52.2,36.6,98.5,59.2,325.8,1944
36.9,123,14.3,18.5,46,238.7,1945
57.7,31.6,12,52.3,58.9,212.5,1946
25.7,13.4,9.7,20.3,82.8,151.9,1947
11.5,122.9,37.3,48.4,90.8,310.9,1948
28.6,49.1,100.7,73.2,45.3,296.9,1949
121.9,115.6,50,41.2,16.8,345.5,1950
72.4,119.8,202.3,28.8,105.1,528.4,1951
50.8,180.3,65.2,5.2,31.3,332.8,1952
37.8,14,67.9,91.1,76.8,287.6,1953
76.5,112.1,73,25.9,11.2,298.7,1954
32.4,321.2,154.9,47.8,2.6,558.9,1955
1.5,4.4,53.7,108.8,50.3,218.7,1956
13.1,75.9,123.8,196.2,142.8,551.8,1957
2.3,19.5,125.2,104.4,13.6,265,1958
0.5,34.6,87.3,84.8,36.4,243.6,1959
108,22.1,88.2,31.8,51.3,301.4,1960
79.5,62.8,25.4,222.7,42.9,433.3,1961
9.9,46.8,119.7,53.3,108,337.7,1962
110.6,11.5,97.3,3.9,30.3,253.6,1963
68.5,153.2,76.4,10.4,37.5,346,1964
74.3,62,48.5,39.7,3.6,228.1,1965
145.6,89.7,213.9,10.4,99.3,558.9,1966
30,32.8,95.7,54.1,60.7,273.3,1967
63.3,70.3,215.9,177.7,23.7,550.9,1968
15.3,111.9,200.3,40.2,41.2,408.9,1969
188.2,86.5,23.1,14.3,52,364.1,1970
22,102.9,20.6,32.6,7.5,185.6,1971
130.7,48,174.6,143.6,69.9,566.8,1972
159.4,70.9,90.9,34.8,83,439,1973
16.8,72.6,18.7,116.8,108.8,333.7,1974
7.4,4.6,9.2,20.9,28.2,70.3,1975
14,16.5,29.8,29.7,32.4,122.4,1976
48.7,108.5,232.1,113.4,86,588.7,1977
81.2,24.2,143.8,115.6,62.8,427.6,1978
37.6,86.5,143.4,180.9,63.7,512.1,1979
3.2,45.5,115.8,22.1,90.3,276.9,1980
154.7,83.4,139.8,59.8,181,618.7,1981
145.8,82.5,125.1,141.5,171.5,666.4,1982
125.1,133.6,4.2,31.1,21.3,315.3,1983
91.7,31.3,16.8,38.6,51.1,229.5,1984
94.5,59.4,93.3,218.5,81.3,547,1985
3.6,19.4,58.3,82.1,77.5,240.9,1986
64.3,82.6,76,7.4,22.2,252.5,1987
42.8,69.5,18.1,44.1,147.3,321.8,1988
33.6,0,126.4,73.9,23.7,257.6,1989
10.9,40.7,9.2,78.7,156.2,295.7,1990
4.8,40.6,35.3,138.6,52.4,271.7,1991
7.1,125.5,219,125.5,60.7,537.8,1992
54.7,44.5,53.8,80,1.3,234.3,1993
18,68.2,223.9,5,206.5,521.6,1994
0,139.6,105.8,138.5,44.9,428.8,1995
50.1,162.3,229.8,7.1,8.7,458,1996
116.1,73.9,162.5,252.8,62.7,668,1997
72.2,14.7,67,112.9,38.1,304.9,1998
41.4,1.5,164.9,205.3,61.9,475,1999
17.2,15,95.2,116.8,51.4,295.6,2000
61.7,159.2,55.7,28.7,72.9,378.2,2001
59.5,159,33.1,32.9,47.5,332,2002
38.5,107.3,53.6,127.3,12.2,338.9,2003
68.3,105.1,97.1,64.8,78.3,413.6,2004
21.6,228.2,64.3,53.1,134.4,501.6,2005
28.5,76.5,1.3,112.8,8.9,228,2006
21.6,80.5,169.4,45.9,1.3,318.7,2007
60.5,38.4,35.8,145.2,36.9,316.8,2008
6.7,92.7,121.8,58.2,75.9,355.3,2009
60.8,141,42.4,86.2,176.7,507.1,2010
18.7,6.9,61.7,14,104.1,205.4,2011
100.8,156.1,24.4,9.1,35,325.4,2012
22.4,11,3.8,105.1,45,187.3,2013
31.8,218.5,0,71.6,5.6,327.5,2014
40,44.6,138.2,NaN,NaN,NaN,2015
