November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
21.21,14.565,11.716,14.857,18.358,16.141,1959
15.82,11.174,8.281,15.303,15.652,13.246,1960
17.163,10.016,11.403,11.982,15.965,13.306,1961
17.533,10.977,10.232,17.486,15.697,14.385,1962
13.673,6.952,10.926,16.896,16.626,13.015,1963
15.75,14.684,9.842,15.252,17.061,14.518,1964
16.697,8.077,12.048,13.418,17.51,13.55,1965
16.37,9.684,11.626,14.596,15.587,13.573,1966
18.383,12.616,11.055,16.943,19.245,15.648,1967
15.03,9.858,8.942,11.066,17.903,12.56,1968
18.713,13.981,13.916,16.946,18.894,16.49,1969
17.02,11.019,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
NaN,NaN,NaN,NaN,NaN,NaN,1992
NaN,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,2010
NaN,NaN,NaN,NaN,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,2012
NaN,NaN,NaN,NaN,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,2014
NaN,NaN,NaN,NaN,NaN,NaN,2015
