November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
17.786,13.568,11.455,14.857,18.352,15.204,1941
17.947,11.545,13.135,16.207,18.045,15.376,1942
19.733,14.432,13.423,14.468,19.377,16.287,1943
15.557,13.045,10.965,16.29,15.99,14.369,1944
16.487,11.832,12.532,13.611,17.697,14.432,1945
16.32,10.919,10.865,15.082,18.794,14.396,1946
16.247,12.206,16.145,14.804,15.829,15.046,1947
17.927,9.532,9.068,12.8,16.826,13.231,1948
19.83,11.161,10.081,16.193,17.719,14.997,1949
18.733,12.629,11.042,14.764,18.858,15.205,1950
17.807,11.419,10.558,14.282,15.894,13.992,1951
17.037,11.394,14.255,16.603,18.694,15.597,1952
16.833,14.6,12.645,13.893,16.252,14.845,1953
15.537,9.487,9.574,15.054,19.735,13.877,1954
16.703,13.065,11.584,14.029,19.406,14.957,1955
18.997,12.939,11.223,15.21,17.958,15.265,1956
16.88,11.035,11.594,15.971,15.3,14.156,1957
19.233,16.181,13.277,14.546,21.035,16.854,1958
20.17,14.203,11.968,15.146,18.8,16.057,1959
16.63,11.506,8.552,16.41,17.126,14.045,1960
17.573,10.252,10.739,12.139,16.513,13.443,1961
18.503,11.345,10.2,18.036,16.655,14.948,1962
14.87,7.571,11.771,16.986,18.326,13.905,1963
14.703,13.316,10.394,15.555,17.413,14.276,1964
17.553,8.477,12.974,14.104,18.787,14.379,1965
17.497,10.668,11.926,14.104,15.684,13.976,1966
19.16,12.265,11.213,16.804,18.977,15.684,1967
15.553,10.419,9.923,11.9,17.755,13.11,1968
19.573,13.506,13.303,16.118,18.852,16.27,1969
17.543,10.935,11.181,14.525,17.558,14.348,1970
18.15,10.41,9.187,16.104,21.906,15.151,1971
13.63,8.203,10.897,15.728,15.719,12.835,1972
15.187,11.39,11.781,14.846,17.19,14.079,1973
17.53,11.755,10.5,14.075,14.694,13.711,1974
18.383,13.819,15.303,16.804,19.529,16.768,1975
19.29,15.258,10.158,17.631,17.31,15.929,1976
18.69,13.142,12.832,14.946,18.542,15.63,1977
15.833,9.677,11.606,14.489,18.029,13.927,1978
16.273,13.516,11.703,15.232,16.535,14.652,1979
19.09,12.032,11.545,15.386,16.181,14.847,1980
20.11,12.329,9.571,15.179,14.894,14.417,1981
12.297,10.239,8.994,14.757,15.768,12.411,1982
16.237,13.629,13.116,15.379,20.781,15.828,1983
16.65,11.103,9.184,17.172,16.535,14.129,1984
15.22,9.01,14.41,16.943,19.965,15.11,1985
21.037,11.977,11.865,16.611,18.152,15.928,1986
17.053,12.094,13.306,19.607,21.668,16.746,1987
16.837,13.258,12.506,13.869,18.171,14.928,1988
19.747,12.081,14.052,15.393,19.797,16.214,1989
19.047,11.203,14.426,19.121,15.503,15.86,1990
20.167,13.023,9.648,16.914,18.529,15.656,1991
18.363,10.894,11.529,14.462,19.974,15.044,1992
17.76,11.126,13.568,14.779,20.635,15.574,1993
13.723,9.932,13.752,15.746,16.416,13.914,1994
22.783,14.539,12.887,16.889,19.877,17.395,1995
18.427,14.081,12.59,17.283,22.265,16.929,1996
19.033,12.377,12.961,13.686,18.284,15.268,1997
16.38,11.342,10.855,13.943,15.803,13.665,1998
18.377,15.432,13.729,14.843,18.587,16.194,1999
14.857,13.184,12.935,14.079,20.758,15.163,2000
18.357,12.384,11.594,16.443,17.823,15.32,2001
18.823,13.932,13.703,15.957,19.374,16.358,2002
16.127,13.416,11.974,15.214,22.371,15.82,2003
15.623,12.381,10.568,16.183,19.532,14.857,2004
19.417,13.755,13.542,17.071,14.413,15.64,2005
17.21,13.442,14.039,15.521,21.955,16.433,2006
19.977,12.368,11.558,15.357,19.177,15.687,2007
18.84,10.952,14.961,15.166,18.923,15.768,2008
18.427,11.903,12.303,15.646,18.252,15.306,2009
17.737,13.484,12.139,15.304,16.565,15.046,2010
16.33,14.832,15.842,17.154,16.803,16.192,2011
18.713,12.865,13.252,17.034,20.842,16.541,2012
20.167,15.055,18.732,17.357,20.897,18.442,2013
19.277,15.426,15.516,19.211,23.848,18.656,2014
17,13.3,14.048,NaN,NaN,NaN,2015
