November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,100,0,0,0,1970
0,0,0,0,0,1971
0,0,0,0,0,1972
0,0,0,0,0,1973
0,0,0,0,0,1974
0,0,0,0,0,1975
0,0,0,0,0,1976
0,0,0,0,0,1977
0,0,0,0,0,1978
0,0,0,0,0,1979
0,0,0,0,0,1980
0,0,0,0,0,1981
0,0,0,0,0,1982
0,0,0,0,0,1983
0,0,0,0,0,1984
0,0,0,0,0,1985
0,0,0,0,0,1986
0,0,0,0,0,1987
0,0,0,0,0,1988
0,0,0,0,0,1989
0,0,0,0,0,1990
0,0,0,0,0,1991
0,0,0,0,0,1992
0,0,0,0,0,1993
0,0,0,0,0,1994
0,0,0,0,0,1995
0,0,0,0,0,1996
0,0,0,0,0,1997
0,0,0,0,0,1998
0,0,0,0,0,1999
0,0,0,0,0,2000
0,0,0,0,0,2001
0,0,0,0,0,2002
0,0,0,0,0,2003
33.3333333333333,51.6129032258064,80.6451612903226,72.4137931034483,61.2903225806452,2004
0,0,0,0,0,2005
0,0,0,0,0,2006
0,0,0,0,0,2007
0,0,0,0,0,2008
0,0,0,0,0,2009
0,3.2258064516129,0,0,0,2010
0,0,0,0,0,2011
100,100,100,100,93.5483870967742,2012
100,100,93.5483870967742,100,100,2013
90,96.7741935483871,90.3225806451613,89.2857142857143,100,2014
93.3333333333333,96.7741935483871,100,96.4285714285714,96.7741935483871,2015
