November,December,January,February,March,average,year
4.3,5.845,5.571,7.662,7.645,6.205,1940
6.693,4.835,4.213,2.889,5.503,4.827,1941
5.477,2.19,2.245,5.146,8.335,4.679,1942
6.007,4.377,2.807,4.325,5.955,4.694,1943
6.773,3.955,2.594,5.876,5.448,4.929,1944
6.245,4.835,1.319,3.282,6.971,4.53,1945
4.7,4.216,-0.006,5.707,8.868,4.697,1946
3.773,2.329,3.565,3.121,5.471,3.652,1947
4.393,2.535,-1.358,2.848,7.603,3.204,1948
8.653,2.403,2.094,6.7,6.59,5.288,1949
9.743,6.697,3.606,4.914,6.51,6.294,1950
6.497,2.629,3.026,5.021,5.184,4.471,1951
5.447,4.355,5.497,2.841,6.106,4.849,1952
7.483,1.419,2.981,4.904,6.432,4.644,1953
6.9,3.084,2.348,3.279,6.629,4.448,1954
5.16,7.248,5.594,2.061,6.084,5.229,1955
5.273,2.039,1.461,8.431,7.671,4.975,1956
5.957,3.674,3.694,8.257,6.484,5.613,1957
6.553,4.052,5.626,5.018,8.703,5.99,1958
6.437,2.932,3.658,5.589,8.4,5.403,1959
6.407,2.332,0.981,5.628,6.558,4.381,1960
5.487,3.306,0.39,5.614,5.787,4.117,1961
7.107,2.942,0.248,9.129,6.794,5.244,1962
7.237,1.332,2.31,2.821,5.623,3.865,1963
4.753,5.519,3.835,3.79,8.277,5.235,1964
9.383,2.568,2.781,3.518,7.187,5.087,1965
8.85,4.597,2.435,4.507,7.242,5.526,1966
11.12,2.284,3.561,10.071,8.823,7.172,1967
8.483,3.071,6.252,6.097,7.235,6.228,1968
7.333,4.171,6.419,6.932,8.203,6.612,1969
8.897,5.329,4.123,3.946,7.416,5.942,1970
5.783,2.758,1.229,6.568,10.6,5.388,1971
7.507,2.484,3.965,8.879,7.197,6.006,1972
7.373,5.658,5.942,4.386,9.516,6.575,1973
7.887,4.042,2.206,6.564,8.197,5.779,1974
6.027,3.31,3.465,8.086,8.094,5.796,1975
9.697,2.674,4.91,7.093,5.577,5.99,1976
8.897,8.965,8.213,8.725,11.903,9.341,1977
7.557,3.261,5.935,5.732,9.565,6.41,1978
7.49,5.445,7.6,8.236,7.152,7.185,1979
6.7,4.297,5.852,7.279,8.871,6.6,1980
9.503,6.452,2.945,7.907,9.394,7.24,1981
6.28,3.006,2.932,6.889,8.155,5.452,1982
8.153,5.226,4.248,2.964,6.165,5.351,1983
6.38,4.213,2.123,4.234,5.845,4.559,1984
6.417,2.71,6.519,7.168,9.01,6.365,1985
6.37,3.923,1.919,4.407,7.006,4.725,1986
6.76,2.616,2.723,3.786,6.387,4.454,1987
6.003,2.303,0.6,4.172,8.252,4.266,1988
5.06,-0.081,2.435,3.1,7.968,3.696,1989
5.083,-0.439,3.645,6.289,6.045,4.125,1990
6.48,3.206,2.539,7.736,9.245,5.841,1991
6.513,3.187,4.7,6.821,9.926,6.229,1992
6.343,2.974,2.894,4.8,8.529,5.108,1993
2.713,2.8,7.316,7.882,8.055,5.753,1994
8.45,5.881,3.806,7.586,7.023,6.549,1995
7.853,5.49,5.555,4.652,7.439,6.198,1996
8.19,2.723,4.984,5.379,6.723,5.6,1997
5.35,0.197,1.513,4.204,5.035,3.26,1998
7.017,1.813,5.035,6.964,7.368,5.639,1999
3.173,2.758,3.135,4.41,9.187,4.533,2000
8.477,4.423,2.058,4.314,6.239,5.102,2001
7.68,5.439,5.461,5.446,7.184,6.242,2002
6.933,5.51,5.419,6.271,10.945,7.016,2003
5.977,2.671,5.726,7.072,8.345,5.958,2004
7.54,5.845,4.094,4.579,5.8,5.572,2005
7.67,2.848,0.329,5.339,8.906,5.018,2006
8.523,2.413,4.5,5.368,7.835,5.728,2007
8.943,3.652,4.823,6.859,7.923,6.44,2008
6.33,3.987,5.413,6.782,6.423,5.787,2009
6.167,6.732,4.006,2.857,7.165,5.385,2010
6.183,0.155,3.506,5.854,6.832,4.506,2011
8.023,5.039,1.51,3.834,8.871,5.455,2012
8.033,1.803,4.987,7.718,9.803,6.469,2013
9.407,7.339,5.355,7.932,10.239,8.054,2014
5.523,3.026,5.817,NaN,NaN,NaN,2015
