November,December,January,February,March,average,year
7.46,6.923,6.032,6.99,8.613,7.204,1940
9.13,4.781,4.442,4.586,6.003,5.788,1941
7.457,3.842,3.845,6.036,7.429,5.722,1942
8.56,5.452,3.763,4.039,7.058,5.774,1943
5.33,4.323,1.881,4.883,3.745,4.032,1944
5.71,2.971,1.584,2.082,5.31,3.531,1945
4.257,3.403,-0.387,7.31,8.116,4.54,1946
6.393,3.21,5.997,3.175,3.739,4.503,1947
5.753,1.545,-0.858,1.979,6.016,2.887,1948
7.553,1.171,-1.443,3.432,4.013,2.945,1949
7.157,4.477,1.623,3.604,4.667,4.306,1950
5.627,2.577,1.558,3.086,3.584,3.286,1951
4.717,3.194,5.932,4.29,6.019,4.83,1952
6.297,3.784,3.352,4.461,4.652,4.509,1953
5.18,1.987,1.932,2.964,5.265,3.466,1954
5.793,5.163,5.042,2.225,5.613,4.767,1955
5.873,2.574,1.039,6.607,7.061,4.631,1956
5.577,3.446,4.179,7.511,4.948,5.132,1957
7.48,7.129,5.048,5.061,7.793,6.502,1958
7.037,3.087,3.1,4.764,7.687,5.135,1959
5.9,3.942,2.458,6.686,5.7,4.937,1960
6.203,3.087,2.81,4,5.197,4.259,1961
8.087,4.255,0.303,8.504,5.11,5.252,1962
6.35,2.635,2.429,4.05,4.513,3.995,1963
5.463,5.41,3.603,4.252,7.065,5.159,1964
8.11,1.663,2.845,3.254,6.571,4.489,1965
8.287,4.177,3.526,4.936,4.8,5.145,1966
9.483,2.955,2.042,NaN,7.647,NaN,1967
7.057,1.197,1.526,3.007,6.261,3.81,1968
7.18,5.942,6.419,6.682,7.365,6.718,1969
8.01,3.3,2.561,3.175,3.752,4.16,1970
5.943,1.381,2.103,5.421,8.542,4.678,1971
5.5,0.903,1.823,6.783,4.952,3.992,1972
6.813,5.748,3.835,4.143,7.058,5.519,1973
6.24,3.294,2.352,3.979,5.661,4.305,1974
5.267,4.013,3.529,3.993,4.442,4.249,1975
7.2,3.352,1.687,5.886,5.271,4.679,1976
6.367,6.006,6.271,6.246,8.994,6.777,1977
5.467,0.974,2.91,4.1,6.355,3.961,1978
1.867,0.887,1.806,4.961,NaN,NaN,1979
3.157,2.145,2.9,3.479,5.613,3.459,1980
5.657,4.316,-0.219,3.307,2.594,3.131,1981
2.557,1.545,2.523,4.679,6.987,3.658,1982
5.327,3.926,2.094,NaN,6.183,NaN,1983
4.867,0.765,-0.19,3.003,2.994,2.288,1984
2.123,0.671,4.626,6.618,7.135,4.235,1985
4.393,1.777,1.526,2.679,4.674,3.01,1986
5.187,3.313,2.468,3.529,5.213,3.942,1987
5.86,1.365,0.497,2.014,6.545,3.256,1988
3.87,-0.532,1.261,0.689,5.771,2.212,1989
3.107,-2.642,0.635,4.054,4.139,1.859,1990
5.597,1.29,1.152,6.511,6.661,4.242,1991
4.53,1.223,1.561,3.783,8.923,4.004,1992
2.787,1.723,2.574,1.904,6.003,2.998,1993
2.443,1.468,6.506,5.314,5.884,4.323,1994
6.053,4.903,2.926,6.271,6.271,5.285,1995
5.123,5.29,3.71,4.228,6.858,5.042,1996
6.867,2.494,5.374,5.214,5.816,5.153,1997
5.44,1.165,3.148,2.864,3.561,3.236,1998
6.463,1.519,3.69,5.4,5.639,4.542,1999
2.533,1.842,0.313,3.169,7.842,3.14,2000
6.613,4.735,1.794,4.721,4.694,4.511,2001
5.107,3.816,6.49,3.464,6.397,5.055,2002
4.903,3.477,1.261,4.779,8.187,4.521,2003
5.16,4.681,3.797,5.924,6.719,5.256,2004
4.55,3.697,3.781,3.104,4.203,3.867,2005
5.883,2.465,-0.135,3.679,6.684,3.715,2006
6.147,2.697,2.506,3.264,4.713,3.865,2007
6.683,0.361,2.448,3.831,5.287,3.722,2008
3.937,1.397,5,5.139,4.787,4.052,2009
4.57,5.123,2.155,2.675,5.855,4.076,2010
3.663,0.952,0.984,4.279,5.016,2.979,2011
6.093,2.397,-0.197,2.003,6.006,3.26,2012
4.567,-0.684,2.023,5.189,6.861,3.591,2013
6.473,7.335,3.713,7.021,8.271,6.563,2014
3.233,3.719,5.855,NaN,NaN,NaN,2015
