November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
3.278,2.168,-2.76,1.954,6.308,2.19,1948
5.463,1.577,1.47,3.611,4.534,3.331,1949
9.185,7.061,3.584,4.405,4.122,5.671,1950
6.093,3.1,3.513,4.365,4.57,4.328,1951
3.333,5.143,6.308,3.065,4.534,4.477,1952
6.87,1.774,2.796,4.167,3.943,3.91,1953
4.704,2.634,0.627,0.833,3.351,2.43,1954
4.537,6.057,5.448,1.091,4.086,4.244,1955
2.87,0.215,0.771,7.184,6.774,3.563,1956
3.648,3.244,3.423,7.679,4.928,4.584,1957
5.204,2.975,4.857,4.008,6.505,4.71,1958
2.593,1.022,3.387,5.258,6.918,3.836,1959
5.759,2.545,2.616,5.096,5.072,4.218,1960
4.741,2.993,-0.161,4.98,4.57,3.425,1961
5.667,3.692,-0.806,8.254,4.391,4.24,1962
6.519,1.756,1.738,0.496,3.262,2.754,1963
5,6.505,4.05,3.391,6.254,5.04,1964
7.019,1.111,1.004,2.56,5.341,3.407,1965
7.815,5.609,3.459,4.067,5.323,5.255,1966
7.722,0.824,1.703,8.333,6.004,4.917,1967
6.981,1.38,3.62,4.559,4.283,4.165,1968
4.204,4.211,5.556,5.139,5.681,4.958,1969
7.963,4.785,3.047,3.115,5.179,4.818,1970
4.259,1.613,0.914,4.742,7.652,3.836,1971
6.111,2.222,3.423,6.992,5.466,4.843,1972
7.241,5.323,4.391,2.857,7.168,5.396,1973
4.759,2.832,1.147,4.504,5.627,3.774,1974
3.667,0.986,-0.52,4.425,3.656,2.443,1975
7.648,-0.269,2.814,4.751,4.892,3.967,1976
6.093,5.896,6.756,6.508,9.409,6.932,1977
4.481,0.789,3.315,4.881,7.563,4.206,1978
5.963,3.441,6.129,7.599,5.466,5.72,1979
4.519,2.312,4.892,5.326,5.878,4.585,1980
7.889,5.484,0.556,3.77,5.233,4.586,1981
4.944,2.168,3.548,6.706,7.796,5.032,1982
6.611,6.523,2.581,2.698,6.487,4.98,1983
5.889,2.24,1.667,2.184,2.688,2.934,1984
5.259,2.186,6.971,7.679,8.548,6.129,1985
5.611,3.477,2.186,4.444,6.254,4.394,1986
6.093,3.925,3.513,3.333,6.29,4.631,1987
7.296,2.294,0.681,3.161,8.208,4.328,1988
4.611,0.609,2.688,2.579,6.667,3.431,1989
4.704,-1.254,2.33,6.528,6.183,3.698,1990
7.093,2.634,2.796,7.619,8.817,5.792,1991
6.074,2.437,3.315,5.517,9.875,5.444,1992
4.926,2.975,2.688,4.087,7.437,4.423,1993
4.352,3.459,8.333,7.897,7.706,6.349,1994
8.444,6.434,5.771,8.175,7.473,7.259,1995
6.611,6.398,5.573,4.464,6.057,5.821,1996
8.111,2.115,5.591,5.913,6.29,5.604,1997
6.019,-0.197,3.1,3.631,4.427,3.396,1998
6.296,0.681,4.982,6.369,6.039,4.873,1999
3.056,2.401,1.201,3.87,6.882,3.482,2000
7.296,5.538,1.792,3.393,4.534,4.511,2001
5.426,4.167,6.022,3.036,5.824,4.895,2002
4.296,4.821,3.961,4.504,6.577,4.832,2003
5.185,4.176,4.785,6.188,7.168,5.5,2004
5.704,6.147,4.749,3.75,4.91,5.052,2005
6.593,2.796,-0.573,5.635,7.455,4.381,2006
5.852,2.133,3.423,3.333,4.642,3.877,2007
6.685,2.312,1.631,5.421,5.448,4.299,2008
4,2.76,5.233,6.488,5.125,4.721,2009
4.815,6.308,3.62,1.964,6.667,4.675,2010
4.685,-0.896,0.914,3.77,5.591,2.813,2011
6.333,3.978,0.179,1.686,6.685,3.772,2012
5.056,-0.753,1.523,5.873,7.652,3.87,2013
7.111,7.688,3.746,5.873,8.019,6.487,2014
3.944,2.939,5.538,4.802,7.832,5.011,2015
