November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,-0.412,3.276,7.616,NaN,1948
7.944,2.634,2.186,5.417,6.254,4.887,1949
10.204,8.441,4.409,5.893,6.685,7.126,1950
8.056,4.337,3.907,5.952,6.756,5.802,1951
6.037,6.147,7.384,5.843,6.505,6.383,1952
8.63,4.946,4.767,5.754,6.416,6.103,1953
7.167,3.835,2.706,4.365,6.398,4.894,1954
7.278,6.971,6.38,4.266,6.846,6.348,1955
6.37,2.115,2.634,8.123,8.262,5.501,1956
6.944,4.767,4.247,9.286,6.47,6.343,1957
8.463,6.147,6.487,5.992,8.692,7.156,1958
7.167,3.799,4.642,7.044,8.835,6.297,1959
7.407,4.122,2.849,7.433,7.832,5.929,1960
6.87,4.624,1.9,5.417,6.595,5.081,1961
6.611,3.728,-0.466,8.492,4.552,4.583,1962
6.185,2.115,1.935,2.857,5.125,3.643,1963
5.463,5.878,4.516,3.87,5.609,5.067,1964
8.333,1.882,2.706,3.433,5.968,4.464,1965
7.87,4.534,3.853,4.127,5.018,5.08,1966
7.741,0.609,0.358,8.373,7.204,4.857,1967
7.5,2.025,3.047,5.287,5.627,4.697,1968
4.204,5.018,5.914,5.496,6.72,5.47,1969
8.204,3.817,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
NaN,NaN,NaN,NaN,NaN,NaN,1992
NaN,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,4.511,7.54,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,2010
NaN,NaN,NaN,NaN,NaN,NaN,2011
7.44,4.959,1.151,3.333,6.801,4.737,2012
6.981,0.481,3,7.222,9.5,5.437,2013
8.022,8.929,4.659,7.407,8.889,7.581,2014
5.417,3.58,7.185,6.538,8.87,6.318,2015
