November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
13.688,9.277,9.003,9.593,12.999,10.912,1941
12.817,8.094,8.369,11.4,13.91,10.918,1942
13.434,9.343,8.719,9.288,12.969,10.751,1943
11.674,9.072,6.99,11.059,11.062,9.971,1944
12.224,9.584,6.767,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,11.118,9.909,12.001,NaN,1947
11.959,7.568,4.29,9.132,13.187,9.227,1948
15.47,7.596,6.914,12.354,13.132,11.093,1949
15.65,10.997,8.322,11.16,13.897,12.005,1950
13.728,8.037,7.748,11.041,10.798,10.27,1951
11.662,9.185,10.502,9.697,13.504,10.91,1952
13.546,7.945,8.834,10.663,12.406,10.679,1953
11.918,7.388,6.631,9.57,13.699,9.841,1954
11.678,10.955,10.154,8.343,13.512,10.928,1955
13.056,7.889,6.674,12.818,14.152,10.918,1956
11.943,8.359,8.537,13.533,11.532,10.781,1957
12.98,10.746,10.656,10.706,15.687,12.155,1958
13.873,9.196,9.097,10.604,15.115,11.577,1959
11.85,7.191,6.009,12.009,12.814,9.975,1960
11.927,7.255,5.434,9.343,11.639,9.12,1961
13.302,9.195,6.591,14.175,12.771,11.207,1962
12.258,4.898,7.717,10.426,12.261,9.512,1963
10.462,10.242,8.334,10.056,13.867,10.592,1964
13.836,5.959,8.034,9.209,14.114,10.23,1965
13.952,7.884,7.725,9.493,12.962,10.403,1966
15.817,7.219,8.654,14.386,15.329,12.281,1967
13.005,8.194,9.305,10.399,13.673,10.915,1968
14.331,10.272,11.888,12.977,14.92,12.878,1969
15.107,9.54,8.465,9.881,14.397,11.478,1970
11.708,7.393,5.069,12.306,17.032,10.702,1971
11.336,6.406,8.702,13.876,12.24,10.512,1972
13.559,9.934,10.614,11.265,15.147,12.104,1973
13.293,8.299,7.74,12.205,13.856,11.079,1974
12.168,8.405,9.315,12.864,13.858,11.322,1975
15.173,10.014,7.987,13.39,12.635,11.84,1976
15.189,13.727,12.605,13.184,16.516,14.244,1977
13.421,7.519,10.438,10.815,14.369,11.312,1978
14.419,12.013,11.288,12.927,12.721,12.674,1979
14.042,9.633,10.854,12.391,13.887,12.161,1980
14.985,10.74,7.546,12.967,14.258,12.099,1981
11.744,8.29,7.192,12.01,13.029,10.453,1982
14.059,10.264,8.55,10.114,13.881,11.374,1983
12.424,8.333,6.06,11.056,11.877,9.95,1984
11.372,6.072,11.241,12.205,14.641,11.106,1985
13.125,7.969,6.955,10.682,13.495,10.445,1986
11.638,8.064,8.626,11.924,14.589,10.968,1987
12.142,7.758,6.74,9.935,15.252,10.365,1988
12.578,6.265,7.858,9.152,14.497,10.07,1989
11.955,5.467,8.847,13.693,11.51,10.294,1990
12.987,8.624,6.122,13.336,14.394,11.093,1991
12.954,7.763,9.049,12.218,15.871,11.571,1992
13.115,7.795,8.837,10.874,15.388,11.202,1993
NaN,7.535,11.803,12.253,13.61,NaN,1994
15.087,10.925,8.804,12.536,14.094,12.289,1995
12.889,9.935,9.96,10.289,15.629,11.74,1996
13.732,7.702,9.933,10.369,12.73,10.893,1997
11.462,6.333,6.538,10.011,11.457,9.16,1998
13.635,8.53,10.417,12.565,12.981,11.626,1999
9.525,8.794,8.434,9.906,15.381,10.408,2000
13.982,9.115,7.097,11.488,13.438,11.024,2001
13.39,10.414,10.035,10.974,14.639,11.89,2002
12.386,11.07,9.395,11.858,18.155,12.573,2003
11.061,7.956,9.227,11.885,14.471,10.92,2004
14.114,10.906,9.656,11.955,11.045,11.535,2005
12.861,8.715,6.666,11.308,16.328,11.176,2006
14.054,7.866,9.585,11.011,14.495,11.402,2007
14.051,7.435,9.875,12.957,15.194,11.902,2008
12.861,8.77,9.465,11.731,13.442,11.254,2009
12.559,11.351,8.04,9.754,13.283,10.997,2010
11.752,7.119,10.804,12.715,13.944,11.267,2011
14.406,10.118,7.923,10.663,15.983,11.819,2012
14.22,8.238,11.992,13.638,16.6,12.938,2013
14.86,11.81,9.933,14.507,18.023,13.827,2014
11.679,8.526,10.802,13.18,15.82,12.001,2015
