November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,9.099,11.617,NaN,1941
11.879,7.852,7.392,10.721,12.924,10.154,1942
12.395,8.667,7.864,8.77,12.213,9.982,1943
10.699,8.503,6.401,10.241,10.225,9.214,1944
11.093,8.368,6.174,8.197,11.597,9.086,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,6.477,9.155,8.4,10.211,NaN,1947
11.105,6.217,3.408,8.117,11.686,8.107,1948
13.633,6.862,6.405,10.91,12.255,10.013,1949
14.31,10.464,7.889,9.719,11.996,10.876,1950
12.409,7.345,7.246,9.738,10.222,9.392,1951
10.392,8.638,10.202,9.635,12.026,10.179,1952
12.184,7.314,7.353,9.1,10.575,9.305,1953
10.718,6.735,5.316,8.196,11.861,8.565,1954
10.735,10.053,9.41,7.965,12.78,10.189,1955
11.565,6.729,5.785,11.74,13.207,9.805,1956
11.209,7.492,8.082,12.496,11.009,10.058,1957
12.291,9.626,9.65,9.626,14.197,11.078,1958
12.243,7.993,7.821,9.979,13.735,10.354,1959
10.269,6.315,5.261,10.899,12.272,9.003,1960
11.24,6.459,4.394,8.538,12.547,8.636,1961
11.504,7.2,4.443,13.061,10.718,9.385,1962
10.377,3.977,6.685,8.215,10.526,7.956,1963
9.792,9.688,7.838,8.797,11.755,9.574,1964
12.307,4.617,6.144,8.137,12.452,8.731,1965
12.57,7.06,7.563,8.967,11.362,9.504,1966
12.721,4.801,5.531,11.713,11.811,9.315,1967
10.642,5.963,7.068,8.593,11.256,8.704,1968
10.956,8.129,9.365,10.865,13.069,10.477,1969
12.639,8.324,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,7.559,10.913,11.478,NaN,1972
11.815,7.629,7.703,8.155,11.885,9.437,1973
9.956,6.231,5.059,10.35,10.361,8.391,1974
9.61,6.264,6.541,10.072,11.21,8.739,1975
12.224,6.373,5.636,10.203,10.635,9.014,1976
11.689,9.321,9.445,9.781,13.616,10.77,1977
10.279,4.134,6.715,8.389,11.658,8.235,1978
11.006,8.215,9.567,11.321,11.283,10.278,1979
12.362,7.23,8.46,9.711,11.085,9.77,1980
12.836,8.841,5.185,9.942,10.901,9.541,1981
10.042,7.129,6.747,10.969,12.36,9.449,1982
11.327,10.245,7.106,8.991,13.026,10.139,1983
10.588,7.008,5.272,9.474,11.022,8.673,1984
9.238,3.736,9.548,10.699,12.742,9.193,1985
11.401,6.602,5.917,9.63,11.493,9.009,1986
10.757,7.632,7.696,10.225,12.91,9.844,1987
12.045,6.101,5.199,8.375,13.632,9.07,1988
11.274,5.277,7.061,7.584,13.029,8.845,1989
NaN,NaN,7.473,12.016,10.406,NaN,1990
12.934,8.527,7.009,13.668,15.31,11.49,1991
11.69,6.477,7.474,10.43,14.697,10.154,1992
NaN,NaN,NaN,9.047,13.963,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
11.623,5.298,6.182,8.809,10.684,8.519,2008
10.408,7.339,8.594,10.915,12.009,9.853,2009
10.926,9.991,7.056,8.445,12.084,9.7,2010
10.374,5.298,7.422,9.691,11.839,8.925,2011
12.314,8.551,6.174,8.346,14.507,9.978,2012
11.701,5.86,NaN,12.609,14.25,NaN,2013
12.214,10.296,7.847,11.57,15.686,11.523,2014
9.896,7.03,10.206,11.707,14.093,10.586,2015
