November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,8.406,8.252,8.771,12.221,NaN,1941
11.93,7.949,7.965,11.259,13.734,10.567,1942
12.662,8.9,8.292,9.144,12.352,10.27,1943
10.681,8.421,6.334,10.416,10.185,9.207,1944
10.045,6.414,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
13.158,6.155,5.687,10.452,11.762,9.443,1949
13.848,10.325,7.157,9.331,11.747,10.482,1950
12.066,6.644,6.666,9.395,9.807,8.916,1951
10.4,7.982,9.624,8.586,11.879,9.694,1952
11.911,6.989,7.632,9.272,10.72,9.305,1953
10.814,6.433,5.092,7.914,11.911,8.433,1954
9.894,9.889,8.827,7.045,11.999,9.531,1955
10.661,6.189,5.357,11.521,12.76,9.298,1956
10.385,7.058,7.672,11.617,10.518,9.45,1957
11.513,8.796,9.076,9.325,13.765,10.495,1958
11.444,7.108,7.524,9.268,13.319,9.733,1959
10.485,6.062,5.09,10.423,11.681,8.748,1960
10.326,6.219,4.32,8.504,10.74,8.022,1961
12.125,7.722,4.776,12.906,11.327,9.771,1962
10.636,4.265,6.348,8.136,10.526,7.982,1963
10.129,9.674,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,4.419,10.66,15.535,NaN,1971
9.927,4.768,7.082,10.844,10.203,8.565,1972
11.335,7.971,8.458,9.003,13.132,9.98,1973
11.037,6.87,5.724,9.771,10.679,8.816,1974
9.215,5.82,6.233,9.509,10.987,8.353,1975
11.249,7.054,6.335,11.279,11.327,9.449,1976
12.171,10.581,10.62,11.116,15.306,11.959,1977
10.738,5.68,8.224,10.397,13.726,9.753,1978
11.65,7.636,9.386,11.672,12.002,10.469,1979
11.873,7.523,8.489,10.612,12.471,10.194,1980
12.568,8.657,5.285,10.091,10.778,9.476,1981
10.445,7.471,7.053,11.705,13.155,9.966,1982
12.464,10.617,8.659,10.336,14.681,11.351,1983
11.953,7.891,5.994,10.79,11.688,9.663,1984
11.103,6.144,11.505,12.759,15.62,11.426,1985
13.411,8.183,7.3,11.171,12.903,10.594,1986
10.881,6.602,7.556,10.434,13.629,9.82,1987
12.149,6.324,5.6,8.958,14.356,9.477,1988
11.865,5.819,6.987,8.619,13.825,9.423,1989
11.243,4.507,7.85,12.619,10.677,9.379,1990
12.672,7.798,5.545,12.644,14.697,10.671,1991
11.86,7.133,8.161,11.03,15.339,10.705,1992
11.689,7.126,7.834,9.829,14.784,10.252,1993
8.796,7.143,10.758,11.649,13.193,10.308,1994
14.21,10.004,9.033,12.326,13.789,11.872,1995
11.811,9.247,9.37,10.203,15.554,11.237,1996
13.568,6.665,9.254,10.132,12.887,10.501,1997
11.303,5.643,6.621,9.685,11.786,9.008,1998
13.263,7.73,9.834,12.062,13.181,11.214,1999
9.266,8.187,7.351,9.18,14.885,9.774,2000
13.232,8.34,6.965,10.867,12.69,10.419,2001
12.846,9.485,10.048,10.361,14.539,11.456,2002
10.876,9.528,7.955,10.174,16.529,11.012,2003
10.651,7.629,8.342,12.099,14.229,10.59,2004
13.695,10.294,8.914,10.957,9.912,10.754,2005
12.535,7.908,5.994,10.57,15.286,10.459,2006
13.617,7.188,8.317,10.236,13.848,10.641,2007
13.733,6.876,8.408,10.753,13.241,10.602,2008
11.792,8.12,8.869,10.949,13.101,10.566,2009
11.626,10.31,7.613,9.348,12.785,10.336,2010
11.445,6.809,9.219,11.217,13.16,10.37,2011
14.122,10.262,7.962,10.463,16.65,11.892,2012
14.12,8.046,11.151,13.409,16.533,12.652,2013
13.813,10.795,8.886,13.395,17.67,12.912,2014
10.631,7.394,9.767,12.449,14.749,10.998,2015
