November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
9.441,6.669,8.297,7.979,9.522,8.382,1947
10.646,5.66,3.169,7.477,11.43,7.676,1948
12.545,5.954,5.75,9.848,11.074,9.034,1949
13.87,10.039,7.386,9.346,11.809,10.49,1950
11.769,7.073,6.507,9.041,9.994,8.877,1951
9.793,8.193,10.223,9.654,11.353,9.843,1952
11.807,8.228,7.774,9.198,9.979,9.397,1953
10.473,6.465,5.285,8.329,11.663,8.443,1954
10.678,9.67,8.615,7.906,11.678,9.709,1955
11.259,6.315,5.898,10.924,12.433,9.366,1956
10.744,7.336,7.548,12.103,10.252,9.597,1957
12.412,9.915,9.465,9.466,13.929,11.037,1958
11.906,7.596,7.658,10.343,13.153,10.131,1959
11.252,7.246,5.495,10.753,11.097,9.169,1960
10.599,6.287,4.615,8.089,10.056,7.929,1961
11.984,7.312,4.42,12.952,10.29,9.392,1962
10.535,4.868,6.992,9.041,10.684,8.424,1963
9.909,9.887,7.383,9.439,11.232,9.57,1964
12.07,4.791,7.013,8.21,11.79,8.775,1965
12.144,7.55,7.446,8.627,10.233,9.2,1966
12.785,6.175,5.821,11.968,12.375,9.825,1967
10.878,6.188,6.548,8.247,11.289,8.63,1968
11.294,8.736,9.478,10.663,12.671,10.568,1969
12.609,7.764,7.115,8.427,11.107,9.404,1970
10.91,6.018,4.628,10.375,14.105,9.207,1971
9.55,4.741,7.013,11.486,10.521,8.662,1972
10.823,8.114,7.845,8.975,11.959,9.543,1973
11.208,7.824,5.858,9.397,9.935,8.844,1974
12.233,8.083,7.698,10.332,11.876,10.044,1975
13.334,7.368,6.346,10.559,10.532,9.628,1976
11.861,9.664,10.017,10.775,13.726,11.209,1977
9.451,4.99,7.154,8.971,12.074,8.528,1978
10.452,7.484,8.255,10.598,10.73,9.504,1979
11.304,7.196,7.952,9.846,10.768,9.413,1980
15.29,8.958,5.324,10.13,10.237,9.988,1981
8.178,5.979,6.003,11.076,11.616,8.57,1982
11.905,10.727,8.664,10.01,14.11,11.083,1983
11.895,7.103,5.478,10.416,10.322,9.043,1984
9.578,5.557,10.393,12.196,14.605,10.466,1985
12.413,7.27,6.964,10.335,11.998,9.796,1986
11.416,8.217,8.475,11.638,13.797,10.709,1987
11.737,7.395,6.209,8.015,12.82,9.235,1988
11.362,5.931,8.24,8.498,12.314,9.269,1989
10.935,4.583,7.854,12.155,10.175,9.14,1990
12.674,7.49,6.074,11.696,12.839,10.155,1991
11.347,6.74,7.178,9.458,14.062,9.757,1992
10.43,7.417,NaN,NaN,13.287,NaN,1993
8.253,6.361,10.415,10.921,11.496,9.489,1994
14.259,10.298,8.785,12.004,13.218,11.713,1995
12.195,10.196,9.02,11.112,14.236,11.352,1996
13.104,7.577,9.579,9.961,12.158,10.476,1997
11.16,5.604,6.694,8.894,10.155,8.501,1998
12.042,7.595,9.084,10.686,12.397,10.361,1999
8.767,7.794,7.071,9.061,13.676,9.274,2000
12.801,9.257,6.989,10.025,11.225,10.059,2001
11.745,9.458,10.19,9.882,13.135,10.882,2002
10.422,9.455,8.052,10.279,15.126,10.667,2003
10.472,7.902,7.438,11.263,13.21,10.057,2004
12.149,9.531,9.072,10.021,9.671,10.089,2005
11.543,7.527,6.257,10.093,13.802,9.844,2006
12.026,7.548,7.446,9.14,12.193,9.671,2007
12.369,6.817,7.979,10.293,12.374,9.966,2008
11.018,7.241,9.19,11.128,11.962,10.108,2009
10.97,10.099,7.517,8.947,11.709,9.848,2010
10.337,6.846,8.125,10.436,11.265,9.402,2011
12.298,8.426,6.212,9.166,13.705,9.961,2012
12.33,6.544,9.468,11.974,16.163,11.296,2013
12.842,11.674,9.229,12.832,15.917,12.499,2014
10.11,8.236,10.095,12.204,13.898,10.909,2015
