November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,13.455,NaN,1940
11.743,9.411,7.81,9.3,11.302,9.913,1941
11.584,8.01,7.147,10.373,12.689,9.961,1942
11.952,8.335,7.883,8.979,12.015,9.833,1943
10.417,7.673,6.463,10.273,10.02,8.969,1944
10.997,8.33,6.398,7.919,11.485,9.026,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,7.243,11.03,10.615,NaN,1972
11.68,8.522,8.045,8.868,12.57,9.937,1973
10.363,6.551,4.951,9.462,10.676,8.401,1974
10.164,6.578,6.641,10.09,10.577,8.81,1975
13.069,6.886,6.285,11.2,11.873,9.863,1976
12.472,9.881,10.03,10.714,14.445,11.508,1977
10.102,4.917,7.164,10.425,13.114,9.144,1978
11.38,8.108,9.478,11.829,11.834,10.526,1979
11.53,6.567,8.45,10.743,11.953,9.849,1980
13.04,9.62,NaN,NaN,NaN,NaN,1981
9.285,7.009,6.55,10.939,12.555,9.268,1982
11.086,10.256,6.981,8.962,13.665,10.19,1983
10.857,6.283,4.976,9.591,10.01,8.343,1984
10.066,5.02,10.138,11.837,14.12,10.236,1985
12.733,7.173,6.787,10.37,12.245,9.862,1986
11.307,8.102,7.918,10.587,13.91,10.365,1987
12.341,6.992,5.875,8.706,13.39,9.461,1988
11.648,5.039,7.604,8.369,12.916,9.115,1989
11.412,4.665,NaN,NaN,NaN,NaN,1990
NaN,NaN,5.398,12.279,13.665,NaN,1991
12.142,6.664,7.42,10.242,14.923,10.278,1992
11.158,6.662,7.043,9.207,14.029,9.62,1993
9.228,6.689,11.193,11.638,12.733,10.296,1994
14.92,10.252,9.024,12.103,13.511,11.962,1995
11.965,9.834,8.961,10.52,13.814,11.019,1996
12.822,6.623,9.012,9.756,11.94,10.031,1997
11.11,5.143,6.507,9.118,10.45,8.466,1998
12.213,7.217,9.382,10.941,12.276,10.406,1999
8.793,7.314,6.533,8.876,13.612,9.026,2000
12.519,8.932,6.468,9.862,11.239,9.804,2001
11.393,8.595,9.366,9.226,12.886,10.293,2002
9.94,9.067,7.762,9.533,14.345,10.129,2003
10.477,8.141,8.122,11.505,13.542,10.357,2004
12.993,10.324,9.482,10.388,10.179,10.673,2005
12.215,8.29,6.697,11.144,15.102,10.69,2006
12.963,7.585,7.595,9.59,12.333,10.013,2007
12.687,6.683,7.816,10.275,12.265,9.945,2008
11.053,7.223,8.609,10.899,11.761,9.909,2009
10.529,9.97,6.89,8.465,11.854,9.542,2010
10.165,5.827,7.753,10.269,11.464,9.096,2011
12.342,8.341,6.058,8.925,14.048,9.943,2012
11.993,6.282,9.281,11.49,14.307,10.671,2013
12.918,11.211,8.507,12.452,16.013,12.22,2014
10.135,7.937,9.749,11.975,13.971,10.753,2015
