November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
12.1,9.062,7.922,9.323,12.397,10.161,1943
10.717,7.919,6.819,10.823,9.967,9.249,1944
11.373,8.192,7.413,8.046,11.288,9.262,1945
10.905,7.571,5.391,9.938,12.787,9.318,1946
11.233,7.633,9.939,9.295,10.527,9.725,1947
12.111,6.097,4.251,7.982,11.775,8.443,1948
13.477,7.076,6.052,10.168,11.346,9.624,1949
14.633,10.606,7.615,9.652,12.16,10.933,1950
12.328,7.559,6.766,9.842,10.89,9.477,1951
11.149,8.66,10.665,10.772,11.655,10.58,1952
12.121,10.066,8.647,9.687,10.127,10.13,1953
11.069,6.631,5.874,9.244,11.924,8.948,1954
11.97,9.815,9.031,8.839,11.777,10.286,1955
12.633,7.704,6.989,11.306,12.364,10.199,1956
11.953,7.872,8.006,12.206,10.484,10.104,1957
13.87,11.302,10.089,10.264,14.455,11.996,1958
13.503,9.245,8.246,11.01,13.02,11.005,1959
11.393,7.874,5.534,11.85,11.633,9.657,1960
11.876,7.532,6.246,8.397,10.617,8.934,1961
12.016,7.178,4.41,12.636,9.941,9.236,1962
10.496,4.543,6.848,10.032,10.784,8.541,1963
9.709,9.621,7.341,9.262,10.328,9.252,1964
12.323,5.39,7.539,8.805,11.248,9.061,1965
12.073,7.442,7.676,8.591,9.843,9.125,1966
12.801,6.205,5.553,12.397,12.894,9.97,1967
11.579,5.935,6.388,8.48,11.367,8.75,1968
11.047,9.295,9.613,10.536,12.851,10.668,1969
13.187,7.247,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,7.505,11.678,11.6,NaN,1972
12.091,8.637,9.135,9.665,12.36,10.378,1973
10.45,7.141,6.137,9.392,10.677,8.759,1974
11.713,8.132,7.624,10.075,10.627,9.634,1975
13.838,8.162,6.256,10.717,11.381,10.071,1976
12.788,10.347,10.534,10.833,13.652,11.631,1977
11.507,5.876,8.051,10.338,13.433,9.841,1978
11.699,7.985,8.469,11.703,12.055,10.382,1979
13.454,8.754,8.186,10.408,10.976,10.356,1980
13.498,10.509,6.539,11.448,11.127,10.624,1981
9.615,8.217,6.693,10.433,11.22,9.236,1982
11.589,10.034,8.164,9.137,13.219,10.429,1983
11.192,7.398,5.366,10.643,10.372,8.994,1984
10.622,6.522,10.717,13.127,14.847,11.167,1985
13.745,8.055,7.749,10.554,12.385,10.498,1986
11.576,7.862,7.679,11.688,14.639,10.689,1987
12.697,8.652,6.742,8.05,12.246,9.677,1988
13.062,7.385,9.052,9.458,12.904,10.372,1989
11.585,4.942,8.115,12.048,9.795,9.297,1990
12.297,7.236,5.27,10.475,12.368,9.529,1991
14.045,7.09,7.062,9.893,14.185,10.455,1992
12.34,8.248,8.786,9.014,14.806,10.639,1993
9.214,6.709,10.916,11.255,12.253,10.069,1994
14.797,10.705,9.555,11.608,12.561,11.845,1995
14.91,12.033,9.133,11.4,14.168,12.329,1996
12.787,7.993,9.184,8.759,11.826,10.11,1997
11.854,7.164,7.657,9.968,11.604,9.649,1998
14.558,10.654,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,6.967,11.646,13.142,NaN,2004
13.613,10.405,10.043,9.857,9.21,10.626,2005
11.827,7.224,6.166,10.061,13.139,9.683,2006
12.294,7.611,7.052,9.458,11.895,9.662,2007
12.214,6.017,7.357,9.514,11.692,9.359,2008
10.663,6.816,8.465,10.618,11.28,9.568,2009
11.113,9.614,6.806,8.395,11.223,9.43,2010
10.056,7.01,8.124,10.13,10.49,9.162,2011
11.818,8.121,5.945,9.284,12.821,9.598,2012
12.393,6.335,9.515,11.563,13.986,10.758,2013
12.647,11.21,8.431,12.374,14.685,11.869,2014
10.065,8.194,9.804,11.476,13.154,10.539,2015
