year,meanFogStart
1943,8.9
1944,8.55555555555556
1945,8.46153846153846
1946,6.54901960784314
1947,7.46666666666667
1948,7.0625
1949,8.33333333333333
1950,7.96666666666667
1951,9.63636363636364
1952,8.64705882352941
1953,7.90909090909091
1954,6.57142857142857
1955,5.89473684210526
1956,7.47058823529412
1957,7.31034482758621
1958,6.88235294117647
1959,6.91666666666667
1960,7.33333333333333
1961,8.65853658536585
1962,8.11864406779661
1963,9.29090909090909
1964,8.19230769230769
1965,8.14705882352941
1966,6.72727272727273
1967,7.14705882352941
1968,8.03333333333333
1969,8.19354838709677
1970,10
1971,NaN
1972,7.8
1973,6.93548387096774
1974,7.68181818181818
1975,8.125
1976,8.21951219512195
1977,6.63636363636364
1978,8.23809523809524
1979,7.575
1980,7.94117647058824
1981,7.90909090909091
1982,7.53191489361702
1983,7.03846153846154
1984,9.58064516129032
1985,8.25
1986,7.07692307692308
1987,7
1988,8.07407407407407
1989,7.1
1990,8.95833333333333
1991,8.31034482758621
1992,9
1993,7.76923076923077
1994,8
1995,6.96153846153846
1996,6.42857142857143
1997,5.76190476190476
1998,8.8421052631579
1999,7.57142857142857
2000,NaN
2001,NaN
2002,NaN
2003,NaN
2004,7.25
2005,8
2006,7.61538461538461
2007,7.14285714285714
2008,8.05555555555556
2009,6.25
2010,9.47619047619048
2011,7.05
2012,6.90909090909091
2013,8
2014,7.11111111111111
2015,7.85714285714286
2016,NaN
