year,meanFogStart
1943,8.1
1944,9.02777777777778
1945,9.84615384615385
1946,10.3653846153846
1947,8.7741935483871
1948,8.0625
1949,7.83333333333333
1950,7.72727272727273
1951,10
1952,9
1953,10.875
1954,9.23076923076923
1955,8.3
1956,10.5882352941176
1957,7.70967741935484
1958,8.52941176470588
1959,5.66666666666667
1960,8.14516129032258
1961,10.4878048780488
1962,8.24590163934426
1963,10.0344827586207
1964,8.44827586206897
1965,7.69444444444444
1966,6.94117647058824
1967,6.8
1968,8.96774193548387
1969,7.61290322580645
1970,11.8571428571429
1971,NaN
1972,5.36363636363636
1973,8.16129032258065
1974,10.195652173913
1975,7.69767441860465
1976,8.81395348837209
1977,8.18181818181818
1978,5.68181818181818
1979,8.11363636363636
1980,8.55555555555556
1981,10.4347826086957
1982,8.92
1983,6.32142857142857
1984,8.17142857142857
1985,10.2916666666667
1986,8.07407407407407
1987,6.10526315789474
1988,7.78571428571429
1989,7.86666666666667
1990,9.625
1991,9.64516129032258
1992,7.41666666666667
1993,7.33333333333333
1994,8.60714285714286
1995,7.96551724137931
1996,9.13333333333333
1997,8.27272727272727
1998,10.4736842105263
1999,7.28571428571429
2000,NaN
2001,NaN
2002,NaN
2003,NaN
2004,7.83333333333333
2005,8.9
2006,6.69230769230769
2007,7
2008,8.65
2009,6.375
2010,9.38095238095238
2011,5.66666666666667
2012,7.54545454545455
2013,8
2014,7.10714285714286
2015,7.28571428571429
2016,NaN
