Year,FogHours,FogDays,FogPer
1940,NaN,NaN,NaN
1941,NaN,NaN,NaN
1942,NaN,NaN,NaN
1943,18,10,99.9177631578947
1944,139,30,84.575055187638
1945,79,22,100
1946,219,41,100
1947,107,24,99.9725877192982
1948,46,14,100.027593818985
1949,117,20,100
1950,130,29,100
1951,84,17,100
1952,105,15,100
1953,117,23,100
1954,147,29,100
1955,63,16,100
1956,84,16,100
1957,112,20,100
1958,84,16,100
1959,27,10,100
1960,239,44,100
1961,225,32,100
1962,341,41,100
1963,266,43,100
1964,127,23,100
1965,119,22,100
1966,116,23,100
1967,120,27,100
1968,99,22,100
1969,97,21,100
1970,17,6,40.1766004415011
1971,NaN,NaN,NaN
1972,34,7,59.7958057395143
1973,87,19,99.9724061810154
1974,254,31,95.5022075055188
1975,173,32,98.656798245614
1976,156,34,98.2064017660044
1977,123,26,99.6688741721854
1978,105,19,99.6136865342163
1979,167,34,99.8081140350877
1980,125,21,99.9724061810154
1981,102,20,99.8896247240618
1982,160,32,99.9724061810154
1983,95,25,98.4649122807018
1984,192,24,98.7306843267108
1985,309,38,98.841059602649
1986,114,23,99.0066225165563
1987,36,14,97.2861842105263
1988,112,23,98.5099337748344
1989,199,26,99.6412803532009
1990,104,17,100
1991,156,25,99.6162280701754
1992,51,10,97.9304635761589
1993,131,27,99.6412803532009
1994,73,20,99.7240618101545
1995,100,21,99.7258771929825
1996,46,13,97.1578366445916
1997,64,19,94.6192052980132
1998,84,16,96.4128035320088
1999,9,4,38.4046052631579
2000,NaN,NaN,NaN
2001,NaN,NaN,NaN
2002,NaN,NaN,NaN
2003,NaN,NaN,NaN
2004,27,11,59.2163355408388
2005,25,6,98.5099337748344
2006,49,11,98.841059602649
2007,8,7,96.875
2008,48,15,98.4823399558499
2009,45,18,99.448123620309
2010,47,16,99.3101545253863
2011,54,16,99.3421052631579
2012,28,10,97.7924944812362
2013,1,1,99.5309050772627
2014,45,23,99.1997792494481
2015,11,5,99.5888157894737
