November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,40.132,55.88,78.232,NaN,1948
30.226,46.736,122.936,56.896,32.766,289.56,1949
125.73,127,41.656,49.276,31.496,375.158,1950
102.108,132.334,206.248,36.576,68.834,546.1,1951
45.72,167.64,60.706,2.286,42.418,318.77,1952
50.546,9.652,73.152,63.754,73.66,270.764,1953
66.294,85.344,61.722,36.83,15.494,265.684,1954
44.958,301.498,163.83,27.94,6.604,544.83,1955
2.54,7.112,58.166,111.252,29.21,208.28,1956
5.588,89.154,110.998,168.91,132.842,507.492,1957
0.254,18.034,127,118.872,19.558,283.718,1958
0,45.72,85.598,97.536,51.562,280.416,1959
85.852,29.718,106.68,18.288,45.212,285.75,1960
49.784,61.214,22.606,211.074,61.214,405.892,1961
12.192,62.23,115.824,71.882,116.84,378.968,1962
93.218,11.176,78.486,0.762,40.64,224.282,1963
60.706,109.22,89.154,17.78,16.002,292.862,1964
85.344,65.786,74.168,48.514,3.302,277.114,1965
142.494,96.266,208.026,11.176,96.012,553.974,1966
26.162,36.322,100.838,54.356,39.624,257.302,1967
80.01,98.806,198.12,164.084,18.288,559.308,1968
7.874,144.526,218.694,40.386,29.21,440.69,1969
188.976,118.618,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
NaN,NaN,NaN,NaN,NaN,NaN,1992
NaN,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,2008
NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,2010
NaN,NaN,NaN,NaN,NaN,NaN,2011
15.494,NaN,14.986,6.35,8.636,NaN,2012
17.018,9.144,1.778,NaN,69.342,NaN,2013
NaN,167.64,0.508,NaN,3.81,NaN,2014
16.51,NaN,159.004,3.302,102.362,NaN,2015
