November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
4.931,2.936,1.889,NaN,NaN,NaN,1992
6.131,2.371,1.951,3.755,4.51,3.744,1993
4.754,2.653,2.998,4.173,6.959,4.307,1994
5.377,2.588,3.085,2.96,4.77,3.756,1995
2.882,2.243,2.129,2.689,7.081,3.405,1996
NaN,2.323,2.42,3.961,6.831,NaN,1997
4.013,3.071,2.138,2.756,3.963,3.188,1998
5.195,5.289,1.98,NaN,6.507,NaN,1999
NaN,2.774,3.486,3.874,5.71,NaN,2000
3.666,NaN,3.338,3.994,5.871,NaN,2001
NaN,2.709,NaN,NaN,NaN,NaN,2002
4.251,3.118,1.61,3.59,6.614,3.837,2003
3.144,2.026,2.271,3.711,5.975,3.425,2004
6.604,NaN,1.68,2.76,NaN,NaN,2005
4.755,4.582,NaN,4.832,NaN,NaN,2006
4.952,3.82,4.825,4.24,7.45,5.057,2007
4.219,3.431,3.587,4.041,7.88,4.632,2008
6.092,4.407,3.565,4.856,7.995,5.383,2009
4.267,3.476,4.066,4.159,7.464,4.686,2010
4.831,5.748,5.906,5.149,5.144,5.356,2011
5.224,3.398,5.617,7.552,7.85,5.928,2012
8.065,7.041,4.588,5.703,7.882,6.656,2013
5.733,4.469,8.086,6.245,8.912,6.689,2014
4.13,3.078,3.964,5.436,9.133,5.148,2015
NaN,NaN,2.155,3.573,5.4,NaN,2016
