November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
5.497,3.387,2.246,NaN,NaN,NaN,1992
3.914,3.685,5.445,6.254,9.669,5.793,1993
3.085,3.635,4.015,4.898,6.97,4.521,1994
7.369,6.863,7.024,7.84,8,7.419,1995
NaN,NaN,6.094,8.923,5.879,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
6.754,1.32,NaN,NaN,NaN,NaN,1999
NaN,3.741,5.64,7.593,6.996,NaN,2000
8.579,NaN,3.222,NaN,8.243,NaN,2001
NaN,5.712,NaN,NaN,NaN,NaN,2002
NaN,6.121,7.673,5.113,6.777,NaN,2003
6.339,4.737,NaN,6.49,9.96,NaN,2004
NaN,NaN,6.353,NaN,8.904,NaN,2005
6.884,2.454,NaN,5.219,NaN,NaN,2006
7.229,2.669,0.222,5.876,7.075,4.614,2007
8.388,2.924,4.216,5.498,4.639,5.133,2008
4.113,3.038,4.219,4.854,4.409,4.127,2009
5.174,6.318,4.293,6.287,4.643,5.343,2010
5.048,-0.475,1.299,2.992,6.858,3.144,2011
7.001,5.388,2.443,2.689,4.249,4.354,2012
4.062,-0.786,1.845,2.737,6.653,2.902,2013
6.763,5.638,1.475,5.49,5.961,5.065,2014
5.51,3.582,4.198,7.277,7.2,5.553,2015
NaN,NaN,7.006,7.822,8.647,NaN,2016
