November,December,January,February,March,year
100,100,100,100,100,1940
100,100,100,100,100,1941
100,100,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,100,100,100,1945
100,100,100,100,100,1946
100,100,100,100,100,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
80,100,93.5483870967742,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,93.5483870967742,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,0,100,100,100,1968
100,100,100,100,100,1969
100,100,100,100,100,1970
100,100,100,100,100,1971
100,100,100,100,100,1972
100,100,100,100,100,1973
100,100,100,100,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
0,100,93.5483870967742,100,100,1982
100,100,93.5483870967742,100,100,1983
100,96.7741935483871,100,100,100,1984
100,100,100,100,100,1985
96.6666666666667,100,96.7741935483871,100,100,1986
100,83.8709677419355,100,100,100,1987
100,96.7741935483871,100,100,100,1988
100,100,100,100,100,1989
100,100,100,100,100,1990
100,100,100,100,100,1991
100,100,100,100,100,1992
100,100,100,100,100,1993
100,100,100,100,100,1994
100,100,100,100,100,1995
100,100,100,100,100,1996
100,100,100,100,100,1997
100,100,100,100,100,1998
100,100,96.7741935483871,100,100,1999
100,100,100,100,100,2000
100,100,100,100,100,2001
100,100,100,100,100,2002
100,100,100,100,100,2003
86.6666666666667,93.5483870967742,100,100,100,2004
93.3333333333333,100,93.5483870967742,92.8571428571429,100,2005
100,87.0967741935484,93.5483870967742,100,96.7741935483871,2006
100,100,100,100,93.5483870967742,2007
100,100,100,82.7586206896552,100,2008
100,100,100,85.7142857142857,100,2009
93.3333333333333,100,93.5483870967742,92.8571428571429,93.5483870967742,2010
80,87.0967741935484,80.6451612903226,96.4285714285714,100,2011
66.6666666666667,93.5483870967742,87.0967741935484,96.551724137931,100,2012
80,70.9677419354839,80.6451612903226,89.2857142857143,90.3225806451613,2013
100,100,74.1935483870968,96.4285714285714,100,2014
93.3333333333333,90.3225806451613,100,100,96.7741935483871,2015
83.3333333333333,96.7741935483871,100,100,96.7741935483871,2016
