November,December,January,February,March,average,year
6.793,6.384,5.774,6.41,7.255,6.523,1940
7.2,5.994,6.048,6.339,7.013,6.519,1941
6.843,5.571,5.826,6.257,7.068,6.313,1942
7.213,5.984,5.916,6.611,6.797,6.504,1943
6.387,6.081,6.033,6.045,7.065,6.322,1944
6.783,5.8,5.342,6.429,6.394,6.15,1945
6.3,5.19,5.79,6.414,6.945,6.128,1946
6.477,5.606,5.158,6.296,7.239,6.155,1947
6.92,5.323,6.71,6.245,6.581,6.356,1948
7.659,5.873,5.187,5.925,6.519,6.233,1949
7.32,6.206,5.497,6.804,7.058,6.577,1950
7.047,5.745,5.555,6.532,7.216,6.419,1951
6.783,5.745,5.561,6.407,6.213,6.142,1952
6.847,5.897,6.187,6.554,7.052,6.507,1953
6.493,5.326,6.052,6.082,6.706,6.132,1954
6.733,5.845,5.181,6.229,7.194,6.236,1955
7.273,5.99,5.829,6.041,7.119,6.45,1956
6.646,5.532,5.334,6.307,6.91,6.146,1957
7.117,6.658,5.723,6.514,6.323,6.467,1958
7.397,6.287,6.097,6.25,7.494,6.705,1959
6.4,5.452,5.971,6.169,7.255,6.249,1960
6.69,5.2,5.255,6.629,6.819,6.119,1961
7.02,6.132,5.126,5.786,6.532,6.119,1962
6.417,4.594,5.739,6.8,6.761,6.062,1963
6.017,5.652,5.481,6.386,6.652,6.038,1964
6.53,4.69,5.248,5.982,6.661,5.822,1965
6.783,5.019,5.377,5.814,6.926,5.984,1966
6.843,5.168,5.39,5.721,6.581,5.941,1967
6.087,NaN,5.355,6.293,6.894,NaN,1968
6.773,5.774,5.152,5.557,6.552,5.962,1969
6.67,5.342,5.861,6.254,6.716,6.169,1970
6.467,5.216,5.181,5.718,6.694,5.855,1971
5.873,4.865,4.632,6.354,7.439,5.833,1972
6.393,5.406,5.461,6.189,6.084,5.907,1973
6.5,5.226,5.61,6.075,6.548,5.992,1974
6.37,5.555,5.187,6.054,6.365,5.906,1975
6.533,6.068,5.8,6.207,6.558,6.233,1976
6.673,6.006,4.823,6.471,6.452,6.085,1977
6.39,5.019,5.774,5.957,6.916,6.011,1978
6.623,6.106,5.39,5.939,6.571,6.126,1979
6.897,5.642,5.681,6.362,6.406,6.198,1980
6.74,5.703,5.781,6.164,6.503,6.178,1981
NaN,5.439,5.139,6.275,6.261,NaN,1982
6.467,5.645,4.997,6.236,6.571,5.983,1983
6.373,5.335,5.484,6.362,7.203,6.151,1984
6.097,4.894,4.897,6.229,6.471,5.718,1985
7.052,5.41,6.135,6.382,7.074,6.411,1986
6.077,5.41,5.319,6.254,6.703,5.953,1987
6.313,5.327,5.487,6.497,7.065,6.138,1988
6.667,5.213,5.187,5.782,6.8,5.93,1989
6.523,5.197,5.506,5.793,6.806,5.965,1990
6.573,5.555,5.57,6.922,6.077,6.139,1991
6.363,5.303,4.739,6.448,6.932,5.957,1992
6.417,5.277,5.442,6.1,6.961,6.039,1993
5.843,5.119,5.568,5.964,7.026,5.904,1994
7.033,5.865,5.848,6.086,6.5,6.266,1995
6.327,5.642,5.519,6.334,6.91,6.146,1996
6.613,5.106,5.665,6.075,7.248,6.141,1997
6.273,5.358,5.819,6.007,6.568,6.005,1998
6.73,5.997,5.177,5.871,6.493,6.054,1999
5.963,5.735,6.048,6.348,6.674,6.154,2000
6.693,5.481,5.735,5.85,6.935,6.139,2001
6.467,5.823,5.332,6.389,6.629,6.128,2002
6.167,5.797,5.835,6.139,6.926,6.173,2003
6.156,5.222,5.306,5.948,7.416,6.01,2004
6.959,6.042,5.454,6.345,6.763,6.313,2005
6.379,5.681,5.825,6.291,6.177,6.071,2006
6.731,5.406,5.47,6.092,7.212,6.182,2007
6.646,5.248,5.621,6.025,6.979,6.104,2008
6.58,5.597,5.574,6.073,6.64,6.093,2009
6.316,5.735,5.593,6.062,6.722,6.086,2010
6.446,5.633,5.16,5.993,6.355,5.917,2011
6.52,5.728,6.133,6.379,6.671,6.286,2012
6.596,5.755,5.472,5.932,6.971,6.145,2013
6.633,5.984,6.352,6.315,7.087,6.474,2014
6.257,5.514,5.481,6.679,7.45,6.276,2015
6.832,5.563,5.742,6.629,6.927,6.339,2016
