November,December,January,February,March,average,year
3.947,4.052,4.332,4.455,4.629,4.283,1940
4.2,4.048,4.216,4.6,4.661,4.345,1941
4.02,3.729,3.926,3.8,4.081,3.911,1942
4.023,3.758,3.523,4.057,4.723,4.017,1943
4.13,3.626,3.497,3.838,4.123,3.843,1944
4.083,3.897,3.419,4.082,3.932,3.883,1945
3.79,3.91,3.345,3.636,4.19,3.774,1946
3.727,3.513,3.158,4.114,4.597,3.822,1947
3.7,3.526,3.648,3.603,4.11,3.717,1948
4.447,3.52,2.881,3.561,4.397,3.761,1949
4.66,4.358,3.355,4.079,4.184,4.127,1950
4.407,3.823,3.761,3.861,4.003,3.971,1951
3.973,3.89,3.726,4.062,4.223,3.975,1952
4.15,3.248,4.068,3.682,4.058,3.841,1953
4.43,3.78,3.394,3.768,3.91,3.856,1954
3.89,4.261,3.5,3.725,4.2,3.915,1955
3.77,3.368,4.003,3.441,4.058,3.728,1956
4.163,3.868,3.341,4.586,4.439,4.079,1957
4.157,3.674,3.829,4.568,4.31,4.108,1958
3.923,3.473,4.035,3.946,4.465,3.968,1959
4.27,3.642,3.587,3.928,4.481,3.982,1960
3.99,3.752,3.548,4.264,4.361,3.983,1961
4.333,3.674,3.223,4.119,4.129,3.896,1962
4.397,3.5,3.097,4.757,4.297,4.01,1963
4.013,4.016,3.503,3.732,4.152,3.883,1964
4.44,3.49,3.729,3.843,4.448,3.99,1965
4.66,3.997,3.471,3.704,4.465,4.059,1966
4.843,3.287,3.726,3.982,4.448,4.057,1967
4.5,NaN,3.484,4.614,4.594,NaN,1968
4.157,3.558,3.942,4.014,4.395,4.013,1969
4.483,3.977,3.971,4.121,4.387,4.188,1970
3.97,3.565,3.739,3.671,4.158,3.821,1971
4.34,3.487,3.348,4.061,4.719,3.991,1972
4.323,3.874,3.755,4.471,4.213,4.127,1973
4.177,3.59,4,3.714,4.613,4.019,1974
3.907,3.445,3.397,4.132,4.258,3.828,1975
4.55,3.303,3.471,4.259,4.194,3.955,1976
4.117,4.171,3.619,4.054,4.044,4.001,1977
4.063,3.381,4.342,4.196,5.029,4.202,1978
4.21,3.884,3.858,3.989,4.639,4.116,1979
4.077,3.706,4.303,4.486,4.39,4.192,1980
4.56,4.013,4.055,4.35,4.71,4.338,1981
NaN,3.765,3.571,4.243,4.474,NaN,1982
4.52,4.313,3.887,4.418,4.752,4.378,1983
4.337,3.81,3.987,4.007,4.606,4.149,1984
4.083,3.545,3.574,4.032,4.339,3.915,1985
4,3.535,4.377,4.575,4.932,4.284,1986
4.457,3.806,3.403,4.036,4.323,4.005,1987
4.393,3.653,3.806,4.128,4.571,4.11,1988
4.24,3.284,3.3,4.018,4.697,3.908,1989
4.177,3.197,3.606,3.807,4.613,3.88,1990
4.457,3.635,3.677,4.296,4.281,4.069,1991
4.47,3.81,3.594,4.524,4.932,4.266,1992
4.267,3.845,3.987,4.354,4.99,4.289,1993
3.857,3.787,3.81,4.043,4.845,4.068,1994
4.783,4.3,4.387,4.525,4.787,4.556,1995
4.463,4.148,4.126,4.659,4.635,4.406,1996
4.833,3.758,4.281,4.204,4.765,4.368,1997
4.283,3.352,4.129,4.3,4.652,4.143,1998
4.481,3.532,3.583,3.925,4.259,3.956,1999
3.98,3.829,4.119,4.486,4.606,4.204,2000
4.653,4.013,3.606,4.096,4.845,4.243,2001
4.497,4.081,3.816,4.132,4.355,4.176,2002
4.21,4.097,4.148,4.171,4.652,4.256,2003
4.2,3.733,4.013,4.2,5.035,4.236,2004
4.266,4.071,4.242,4.54,4.819,4.388,2005
4.521,3.6,3.954,4.036,4.035,4.029,2006
4.61,3.519,3.35,4.081,4.7,4.052,2007
4.646,3.674,3.803,4.025,4.379,4.105,2008
4.328,3.777,3.939,4.069,4.42,4.107,2009
4.188,4.3,4.15,4.485,4.448,4.314,2010
4.233,3.33,3.968,3.83,4.484,3.969,2011
4.38,4.079,3.537,3.957,4.239,4.038,2012
4.388,3.427,3.316,3.74,4.682,3.911,2013
4.56,4.329,3.991,4.4,4.735,4.403,2014
4.089,3.582,3.916,4.65,4.96,4.239,2015
4.5,3.797,4.119,4.243,4.68,4.268,2016
