November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
NaN,NaN,NaN,NaN,NaN,NaN,1988
NaN,NaN,NaN,NaN,NaN,NaN,1989
NaN,NaN,NaN,NaN,NaN,NaN,1990
NaN,NaN,NaN,NaN,NaN,NaN,1991
10.492,6.355,3.963,NaN,NaN,NaN,1992
10.075,6.089,7.392,10.072,14.129,9.551,1993
7.947,6.24,6.977,9.082,13.884,8.826,1994
12.699,9.423,10.138,10.807,12.724,11.158,1995
NaN,NaN,8.28,11.677,13.014,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
11.811,6.612,NaN,NaN,NaN,NaN,1999
NaN,6.593,9.164,11.48,12.655,NaN,2000
12.35,NaN,6.636,NaN,14.007,NaN,2001
NaN,8.414,NaN,NaN,NaN,NaN,2002
NaN,9.335,9.324,8.868,13.479,NaN,2003
9.568,6.761,NaN,10.114,15.93,NaN,2004
NaN,NaN,8.06,NaN,12.939,NaN,2005
11.581,7.083,NaN,10.112,NaN,NaN,2006
12.164,6.491,5.049,10.108,14.598,9.682,2007
12.655,6.384,7.775,9.513,12.525,9.77,2008
10.208,7.497,7.816,9.785,12.418,9.545,2009
9.521,9.826,8.34,10.439,12.122,10.05,2010
9.9,5.384,7.236,8.127,11.992,8.528,2011
12.227,8.785,8.115,10.196,12.21,10.307,2012
12.124,6.348,6.467,8.484,14.567,9.598,2013
12.564,10.093,9.592,11.738,14.877,11.773,2014
9.732,6.758,8.178,12.728,16.35,10.749,2015
NaN,NaN,9.177,11.376,14.111,NaN,2016
