November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,0,0,0,1948
0,0,0,0,0,1949
0,0,0,0,0,1950
0,0,0,0,0,1951
0,0,0,0,0,1952
0,0,0,0,0,1953
0,0,0,0,0,1954
0,0,0,0,0,1955
0,0,0,0,0,1956
0,0,0,0,0,1957
0,0,0,0,0,1958
0,0,0,0,0,1959
0,0,0,0,0,1960
0,0,0,0,0,1961
0,0,0,0,0,1962
0,0,0,0,0,1963
0,0,0,0,0,1964
0,0,0,0,0,1965
0,0,0,0,0,1966
0,0,0,0,0,1967
0,0,0,0,0,1968
0,0,0,0,0,1969
0,0,0,0,0,1970
0,0,0,0,0,1971
0,0,0,0,0,1972
0,0,0,0,0,1973
0,0,0,0,0,1974
0,0,0,0,0,1975
0,0,0,0,0,1976
0,0,0,0,0,1977
0,0,0,0,0,1978
0,0,0,0,0,1979
0,0,0,0,0,1980
0,0,0,0,0,1981
0,0,0,0,0,1982
0,0,0,0,0,1983
0,0,0,0,0,1984
0,0,0,0,0,1985
0,0,0,0,0,1986
0,0,0,0,0,1987
0,0,0,0,0,1988
0,0,0,0,0,1989
0,0,0,0,0,1990
0,25.8064516129032,0,0,0,1991
100,100,77.4193548387097,24.1379310344828,29.0322580645161,1992
100,96.7741935483871,93.5483870967742,100,100,1993
100,100,83.8709677419355,75,100,1994
90,96.7741935483871,100,100,80.6451612903226,1995
23.3333333333333,54.8387096774194,100,100,93.5483870967742,1996
0,19.3548387096774,32.258064516129,35.7142857142857,25.8064516129032,1997
33.3333333333333,3.2258064516129,22.5806451612903,21.4285714285714,16.1290322580645,1998
90,70.9677419354839,6.45161290322581,0,0,1999
20,61.2903225806452,90.3225806451613,96.551724137931,100,2000
86.6666666666667,16.1290322580645,51.6129032258064,57.1428571428571,74.1935483870968,2001
60,70.9677419354839,3.2258064516129,0,3.2258064516129,2002
63.3333333333333,83.8709677419355,67.741935483871,71.4285714285714,90.3225806451613,2003
96.6666666666667,100,64.5161290322581,68.9655172413793,100,2004
63.3333333333333,29.0322580645161,96.7741935483871,64.2857142857143,74.1935483870968,2005
100,100,58.0645161290323,100,38.7096774193548,2006
100,100,100,100,93.5483870967742,2007
100,100,100,100,96.7741935483871,2008
90,100,100,100,96.7741935483871,2009
83.3333333333333,100,100,100,93.5483870967742,2010
100,93.5483870967742,100,85.7142857142857,93.5483870967742,2011
100,100,96.7741935483871,65.5172413793103,93.5483870967742,2012
100,100,100,100,96.7741935483871,2013
100,100,100,100,96.7741935483871,2014
100,93.5483870967742,100,100,96.7741935483871,2015
0,0,96.7741935483871,100,96.7741935483871,2016
