November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
12.498,11.981,12.752,14.674,14.043,13.19,1959
13.636,9.882,6.3,14.408,15.406,11.926,1960
13.67,10.379,10.608,11.85,15.739,12.449,1961
13.003,8.045,8.396,12.953,15.552,11.59,1962
11.742,4.429,11.446,14.718,15.616,11.59,1963
13.12,12.995,9.208,13.346,13.935,12.521,1964
13.842,9.934,12.547,14.632,14.176,13.026,1965
12.334,9.684,10.254,11.191,14.932,11.679,1966
11.664,13.97,10.819,12.242,15.199,12.779,1967
10.929,11.877,10.114,13.879,15.161,12.392,1968
13.855,10.601,12.953,12.709,15.332,13.09,1969
12.53,11.684,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,12.467,14.014,14.406,NaN,1972
13.927,9.947,11.957,14.754,13.44,12.805,1973
12.194,10.209,8.64,13.95,15.065,12.012,1974
13.935,9.813,11.941,14.916,15.034,13.128,1975
10.229,10.841,7.443,12.149,15.606,11.254,1976
14.214,8.78,11.141,12.896,14.327,12.272,1977
10.579,9.247,12.065,12.54,13.272,11.541,1978
13.491,10.888,9.547,12.525,15.539,12.398,1979
13.63,8.182,8.684,13.857,13.857,11.642,1980
12.745,8.834,10.782,13.447,14.055,11.973,1981
11.091,11.88,7.393,13.336,14.518,11.644,1982
13.601,11.148,9.373,13.421,15.503,12.609,1983
12.969,12.155,8.17,15.458,14.662,12.683,1984
12.518,6.608,10.202,13.373,13.513,11.243,1985
14.41,9.181,11.898,14.635,14.95,13.015,1986
12.852,12.456,12.094,14.411,15.094,13.381,1987
11.454,11.574,11.165,12.869,13.701,12.153,1988
13.219,7.338,12.116,14.173,14.33,12.235,1989
NaN,NaN,11.021,12.022,14.195,NaN,1990
15.043,11.288,6.465,13.535,14.795,12.225,1991
13.93,11.482,11.21,12.492,13.032,12.429,1992
14.017,10.573,10.266,13.917,15.155,12.786,1993
13.77,8.561,12.24,9.116,13.247,11.387,1994
13.963,8.88,9.951,12.279,15.232,12.061,1995
12.669,11.928,10.401,13.43,15.252,12.736,1996
13.187,10.507,9.546,12.359,14.007,11.921,1997
12.457,11.567,9.041,13.056,14.834,12.191,1998
13.529,NaN,11.196,12.667,14.671,NaN,1999
12.708,NaN,13.145,NaN,NaN,NaN,2000
13.694,11.881,11.435,14.214,15.046,13.254,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
13.832,13.996,13.915,15.371,15.652,14.553,2007
13.725,12.054,12.579,15.493,15.576,13.885,2008
12.712,13.208,12.861,14.746,15.518,13.809,2009
15.103,13.454,11.558,15.168,14.382,13.933,2010
12.343,13.563,14.611,15.539,14.769,14.165,2011
14.064,13.694,14.006,15.586,15.19,14.508,2012
13.396,14.855,14.6,14.548,15.334,14.547,2013
12.926,12.896,11.543,13.268,15.768,13.28,2014
14.049,14.623,14.426,15.489,14.878,14.693,2015
