November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
9.316,9.738,10.305,12.368,13.262,10.998,1943
11.335,7.971,8.333,13.477,NaN,NaN,1944
13.064,9.269,9.243,14.827,15.352,12.351,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,10.812,12.321,14.148,14.693,NaN,1947
15.072,11.606,13.671,13.465,14.671,13.697,1948
7.582,9.384,13.039,12.425,14.886,11.463,1949
10.227,7.604,10.951,12.162,14.681,11.125,1950
10.451,11.247,11.133,12.472,14.6,11.981,1951
9.044,10.402,8.225,10.997,14.129,10.559,1952
10.617,7.736,10.564,8.043,12.691,9.93,1953
7.118,8.159,7.857,12.73,14.68,10.109,1954
10.924,11.209,9.519,12.147,14.91,11.742,1955
10.382,6.595,9.037,9.651,14.364,10.006,1956
11.447,8.153,9.35,13.758,15.137,11.569,1957
11.207,5.129,10.775,13.806,14.441,11.072,1958
7.956,8.489,11.901,13.084,13.717,11.029,1959
9.022,6.927,4.393,11.344,14.887,9.315,1960
10.982,6.569,6.15,11.863,14.887,10.09,1961
11.287,5.393,6.425,9.285,14.565,9.391,1962
9.258,3.008,8.251,12.901,15.063,9.696,1963
11.152,10.575,8.897,11.635,13.315,11.115,1964
10.393,6.957,9.323,12.879,13.765,10.663,1965
10.638,6.499,7.975,8.424,14.465,9.6,1966
8.447,11.245,8.032,9.206,14.532,10.292,1967
9.504,10.892,10.333,14.117,14.542,11.878,1968
9.423,8.348,11.378,10.274,14.71,10.827,1969
10.209,9.972,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,10.266,12.188,14.365,NaN,1972
14.044,7.556,9.886,12.867,13.159,11.502,1973
8.182,7.511,6.622,13.819,14.846,10.196,1974
10.323,5.515,6.679,11.767,14.3,9.717,1975
6.667,4.914,5.059,8.274,15.013,7.985,1976
9.972,6.764,9.5,9.128,12.83,9.639,1977
7.785,5.78,7.978,10.837,10.375,8.551,1978
8.377,5.98,7.367,9.455,13.556,8.947,1979
9.545,4.985,6.712,9.156,13.167,8.713,1980
9.815,6.804,9.052,10.419,13.921,10.002,1981
8.959,7.502,7.727,12.453,14.883,10.305,1982
12.946,10.071,5.12,11.902,14.95,10.998,1983
11.056,8.231,4.139,10.652,13.398,9.495,1984
9.095,3.6,6.698,10.721,10.811,8.185,1985
11.337,4.389,8.975,13.05,14.348,10.42,1986
8.856,11.903,7.547,9.646,14.372,10.465,1987
11.139,5.894,6.49,11.692,14.807,10.004,1988
7.276,2.304,7.863,11.691,14.024,8.632,1989
NaN,NaN,5.973,9.218,14.774,NaN,1990
8.916,8.303,4.291,11.98,12.521,9.202,1991
9.898,9.768,9.567,12.033,12.604,10.774,1992
NaN,NaN,NaN,9.006,11.902,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
9.016,9.406,7.548,13.24,15.488,10.94,2008
12.388,9.133,9.259,11.694,14.963,11.487,2009
13.168,9.922,5.605,13.523,14.688,11.381,2010
11.681,7.933,10.286,13.938,15.246,11.817,2011
11.994,11.379,10.314,12.151,14.725,12.113,2012
11.334,10.336,NaN,NaN,15.11,NaN,2013
8.926,11.044,5.144,NaN,14.776,NaN,2014
11.643,10.48,10.899,10.751,14.018,11.558,2015
