November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
11.364,6.815,9.354,11.845,12.203,10.316,1942
10.304,8.863,10.945,13.573,14.128,11.563,1943
10.082,7.9,6.786,11.703,NaN,NaN,1944
12.985,7.507,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
8.569,10.947,12.874,12.452,15.158,12,1949
11.964,10.44,11.637,14.195,15.826,12.812,1950
12.844,13.437,13.082,14.162,15.697,13.844,1951
12.482,12.275,10.494,12.901,15.61,12.752,1952
12.172,10.525,12.375,9.397,14.107,11.715,1953
8.183,8.854,9.029,14.026,15.055,11.029,1954
11.967,11.836,9.271,11.465,15.142,11.936,1955
12.188,7.356,8.877,10.825,15.387,10.927,1956
10.823,8.998,9.249,13.768,15.465,11.661,1957
12.155,4.972,10.369,14.681,15.261,11.488,1958
9.119,9.052,13.897,13.529,13.657,11.851,1959
9.952,7.806,4.93,13.12,15.623,10.286,1960
11.61,5.598,6.008,11.404,15.268,9.978,1961
9.92,5.864,6.705,8.366,14.636,9.098,1962
9.431,2.563,8.332,12.493,15.303,9.624,1963
11.416,8.668,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,5.879,8.632,14.232,NaN,1971
9.198,7.083,10.797,12.598,14.23,10.781,1972
13.6,6.795,9.383,12.407,13.053,11.048,1973
8.886,8.144,6.796,14.585,14.837,10.65,1974
10.668,5.887,6.744,11.922,14.861,10.016,1975
6.8,5.312,4.909,9.294,15.156,8.294,1976
9.362,7.42,9.983,9.827,12.948,9.908,1977
7.817,7.257,9.765,11.62,12.079,9.708,1978
10.993,7.132,7.424,11.072,14.69,10.262,1979
6.812,3.613,7.838,9.581,14.046,8.378,1980
9.423,5.934,9.611,9.565,14.539,9.814,1981
8.821,7.478,7.546,13.166,14.887,10.38,1982
12.225,9.798,5.494,11.59,15.003,10.822,1983
12.097,8.668,4.204,11.348,14.505,10.164,1984
9.377,4.345,7.922,11.907,11.696,9.049,1985
10.712,4.042,8.631,13.177,14.329,10.178,1986
8.444,12.075,8.002,8.937,14.741,10.44,1987
11.58,5.641,5.788,10.44,13.688,9.427,1988
6.775,2.703,7.069,11.052,13.539,8.228,1989
10.877,6.317,6.815,9.673,14.584,9.653,1990
9.811,8.503,4.621,12.619,14.003,9.911,1991
9.612,9.622,8.884,13.358,13.187,10.933,1992
11.672,6.353,6.087,12.839,14.415,10.273,1993
11.266,6.777,12.492,6.077,13.823,10.087,1994
7.284,7.217,8.711,10.461,13.484,9.431,1995
7.955,9.117,9.781,10.326,13.429,10.122,1996
10.959,6.695,8.592,13.451,12.948,10.529,1997
10.202,7.274,6.411,11.746,15.313,10.189,1998
9.155,7.846,9.131,13.604,13.991,10.745,1999
8.889,5.455,8.462,12.78,14.052,9.928,2000
9.064,10.472,7.583,10.453,15.29,10.572,2001
7.531,10.805,5.59,12.135,14.881,10.188,2002
11.823,11.076,8.706,13.064,13.265,11.587,2003
9.314,7.263,9.073,10.693,12.166,9.702,2004
11.007,8.373,9.345,11.558,14.803,11.017,2005
10.037,10.208,9.028,12.003,15.16,11.287,2006
8.567,9.646,11.504,11.934,15.058,11.342,2007
9.362,8.312,6.981,14.448,15.537,10.928,2008
11.8,9.362,9.696,11.155,15.403,11.483,2009
11.836,9.766,6.531,13.647,15.171,11.39,2010
10.868,7.683,9.059,14.003,15.417,11.406,2011
11.412,10.745,10.561,13.503,15.523,12.349,2012
11.734,9.318,8.503,13.206,15.53,11.658,2013
9.646,11.803,5.495,10.278,15.607,10.566,2014
12.868,11.363,12.08,12.709,14.95,12.794,2015
