November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,15.342,15.174,15.62,NaN,1947
15.314,13.052,15.311,15.455,14.847,14.796,1948
14.871,14.711,11.98,14.995,15.645,14.44,1949
13.528,9.728,11.663,14.078,15.842,12.968,1950
13.584,13.065,12.063,14.991,15.174,13.775,1951
14.855,11.367,13.033,15.42,15.826,14.1,1952
13.891,14.837,13.676,11.926,14.809,13.828,1953
11.954,11.618,13.929,15.825,15.768,13.819,1954
14.518,12.507,12.403,15.732,15.881,14.208,1955
15.774,14.242,14.531,13.912,15.059,14.704,1956
15.5,11.57,11.977,13.471,15.434,13.59,1957
15.673,13.558,12.628,15.171,15.787,14.563,1958
15.393,14.479,12.98,14.615,14.403,14.374,1959
14.176,11.237,8.928,14.368,15.487,12.839,1960
14.628,11.75,13.73,13.178,15.529,13.763,1961
14.277,11.355,11.135,13.328,15.376,13.094,1962
12.514,7.37,11.222,15.302,15.723,12.426,1963
13.637,13.612,10.877,13.533,14.159,13.164,1964
12.533,10.603,12.625,14.738,14.592,13.018,1965
12.993,10.859,10.625,12.828,14.935,12.448,1966
12.298,14.042,11.566,11.736,14.97,12.922,1967
12.409,11.855,10.885,12.305,14.842,12.459,1968
14.742,11.09,12.206,13.406,15.102,13.309,1969
12.062,11.804,11.174,13.595,15.053,12.738,1970
12.918,13.193,11.981,14.443,15.474,13.602,1971
12.101,10.564,11.345,13.848,15.09,12.59,1972
13.039,10.636,13.161,14.943,13.788,13.113,1973
13.888,11.53,12.239,13.49,14.62,13.153,1974
14.541,11.872,14.203,14.846,15.424,14.177,1975
12.197,15.097,10.638,14.412,15.632,13.595,1976
14.569,11.622,11.348,12.16,14.306,12.801,1977
13.763,12.529,13.379,13.285,14.637,13.519,1978
13.714,12.367,12.062,13.369,15.449,13.392,1979
14.903,11.375,10.46,14.844,14.656,13.248,1980
13.501,10.986,12.568,14.685,14.427,13.233,1981
12.03,13.233,10.01,13.126,14.157,12.511,1982
13.547,11.189,12.639,14.538,15.742,13.531,1983
13.789,13.5,10.891,15.604,15.024,13.762,1984
14.763,9.699,11.194,14.526,14.919,13.02,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
12.992,13.327,12.828,14.667,13.684,13.5,1988
14.99,11.558,12.902,15.067,14.953,13.894,1989
15.796,14.041,11.912,13.607,14.194,13.91,1990
NaN,NaN,NaN,13.58,14.735,NaN,1991
15.778,11.094,11.973,13.728,15.321,13.579,1992
14.837,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
15.717,11.502,11.139,14.273,15.597,13.646,1995
13.9,13.32,13.097,15.334,15.793,14.289,1996
NaN,13.549,11.852,14.396,15.234,NaN,1997
14.433,14.195,11.768,14.793,15.294,14.097,1998
14.01,15.082,12.914,14.436,15.506,14.39,1999
13.639,13.658,14.544,15.177,15.462,14.496,2000
14.974,13.576,14.239,14.783,15.837,14.682,2001
14.31,12.999,10.888,14.943,14.46,13.52,2002
14.326,13.137,12.383,14.242,15.59,13.936,2003
13.188,12.396,11.667,14.311,15.461,13.405,2004
14.531,13.09,13.835,14.876,15.232,14.313,2005
13.627,13.558,14.886,13.91,15.82,14.36,2006
14.538,13.444,13.641,14.735,15.937,14.459,2007
14.9,12.791,14.046,14.615,15.977,14.466,2008
15.313,13.175,11.562,14.169,15.87,14.018,2009
15.453,12.907,12.254,15.693,15.133,14.288,2010
14.997,15.268,15.036,15.571,15.39,15.252,2011
15.007,14.605,14.955,15.866,15.87,15.261,2012
15.449,15.652,15.319,14.519,15.633,15.314,2013
14.294,13.645,14.263,14.548,15.937,14.537,2014
15.617,13.74,14.252,15.932,15.137,14.936,2015
