November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
12.975,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
14.712,12.019,12.232,14.198,14.157,13.464,1986
13.691,12.264,12.109,16,15.729,13.959,1987
12.916,13.083,12.619,14.756,13.345,13.344,1988
14.807,12.849,12.886,14.499,15.08,14.024,1989
15.697,14.696,12.313,13.999,14.452,14.231,1990
15.321,13.217,11.031,13.839,15.161,13.714,1991
15.444,12.259,13.032,14.227,15.442,14.081,1992
14.512,13.526,13.824,14.203,15.797,14.372,1993
14.22,10.815,11.562,12.58,13.812,12.598,1994
15.239,10.513,10.563,13.748,15.387,13.09,1995
13.749,12.498,12.881,15.152,15.675,13.991,1996
13.197,13.843,11.925,14.037,15.197,13.64,1997
14.058,13.721,12,14.446,15.132,13.871,1998
13.648,14.873,12.384,14.7,15.684,14.258,1999
13.087,13.743,13.924,14.814,15.5,14.214,2000
14.04,13.135,14.077,14.848,15.55,14.33,2001
14.83,12.694,10.913,15.085,15.642,13.833,2002
14.131,12.243,11.954,13.952,15.742,13.604,2003
12.656,11.478,11.462,14.598,15.461,13.131,2004
14.987,12.23,13.252,14.607,14.952,14.006,2005
13.249,13.575,15.052,14.336,15.857,14.414,2006
14.802,13.909,13.944,15.107,15.847,14.722,2007
15.167,12.696,14.337,14.544,15.973,14.543,2008
15.222,12.672,11.549,13.674,15.56,13.735,2009
15.28,12.258,13.071,15.072,14.9,14.116,2010
14.509,15.385,14.633,15.489,15.47,15.097,2011
14.793,13.864,14.812,15.841,15.653,14.993,2012
15.212,15.613,15.279,13.936,15.183,15.045,2013
14.203,12.615,14.465,14.526,15.933,14.348,2014
15.343,13.058,13.492,15.825,15.27,14.598,2015
