November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
12.058,8.879,10.856,13.698,14.74,12.046,1947
13.715,10.363,13.737,13.804,14.76,13.276,1948
8.352,10.267,13.375,13.408,14.839,12.048,1949
10.721,9.075,10.451,12.897,15.284,11.686,1950
11.569,12.11,11.579,12.496,14.839,12.519,1951
10.65,11.558,11.863,12.425,14.718,12.243,1952
11.305,10.642,12.705,9.334,14.092,11.616,1953
8.944,8.571,9.235,13.035,14.984,10.954,1954
12.336,11.392,10.32,13.239,14.938,12.445,1955
11.042,8.779,12.055,11.789,14.58,11.649,1956
13.167,9.045,9.751,13.056,15.297,12.063,1957
12.448,6.115,10.977,14.986,15.4,11.985,1958
9.171,9.199,11.632,14.613,14.468,11.817,1959
10.882,7.987,4.291,13.303,15.565,10.406,1960
12.399,7.932,7.536,11.585,14.755,10.841,1961
10.631,5.316,5.912,10.613,15.392,9.573,1962
10.017,4.208,10.499,13.375,15.748,10.769,1963
11.808,12.066,8.936,11.458,13.695,11.593,1964
12.49,8.499,11.13,12.999,14.397,11.903,1965
11.187,8.175,7.908,9.757,14.147,10.235,1966
8.958,11.643,8.947,10.018,13.974,10.708,1967
10.011,10.632,9.426,13.614,14.844,11.705,1968
10.567,8.283,11.875,11.002,14.973,11.34,1969
10.346,10.04,8.808,9.645,15.171,10.802,1970
12.643,10.24,7.379,12.046,15.265,11.515,1971
9.937,9.29,9.952,11.752,14.088,11.004,1972
13.226,7.8,9.724,13.163,12.801,11.343,1973
9.329,8.451,7.238,12.942,14.672,10.526,1974
11.085,7.016,8.763,13.661,14.502,11.005,1975
7.591,6.783,6.314,9.595,15.21,9.099,1976
13.241,7.254,9.537,11.891,14.038,11.192,1977
7.295,7.545,9.147,11.739,11.815,9.508,1978
10.521,5.781,7.561,10.073,14.981,9.783,1979
10.225,5.438,6.972,11.369,13.449,9.491,1980
10.468,7.272,8.726,10.803,14.132,10.28,1981
8.557,7.691,7.469,12.244,14.177,10.028,1982
12.069,10.554,6.373,11.514,14.942,11.09,1983
11.681,9.206,4.936,13.609,13.701,10.627,1984
10.966,4.666,7.982,11.932,13.143,9.738,1985
13.376,5.869,9.968,11.788,14.132,11.027,1986
9.804,11.062,8.649,11.522,14.905,11.188,1987
11.472,9.148,8.135,12.57,12.615,10.788,1988
8.638,3.367,9.089,12.085,13.846,9.405,1989
12.603,8.829,7.545,9.859,14.429,10.653,1990
11.419,8.855,5.368,12.443,14.533,10.524,1991
13.227,10.863,10.912,13.232,13.695,12.386,1992
13.245,10.314,NaN,NaN,15.304,NaN,1993
13.367,7.496,11.918,6.741,13.28,10.56,1994
12.808,8.427,9.048,10.943,15.403,11.326,1995
11.498,11.525,10.223,13.821,15.855,12.584,1996
13.009,9.116,9.196,12.81,14.69,11.764,1997
11.861,9.276,7.608,13.292,14.852,11.378,1998
10.657,10.536,10.348,12.966,15.229,11.947,1999
9.38,6.215,10.199,13.383,14.628,10.761,2000
11.661,11.651,8.827,11.967,14.899,11.801,2001
9.045,9.902,6.143,13.154,14.042,10.457,2002
10.861,11.16,8.079,13.261,14.945,11.661,2003
9.208,7.91,8.496,12.304,13.031,10.19,2004
13.642,8.751,11.534,13.287,14.755,12.394,2005
11.361,10.539,10.922,12.103,15.643,12.114,2006
12.408,12.244,11.814,12.934,15.67,13.014,2007
10.711,9.618,9.7,13.86,15.477,11.873,2008
13.223,9.258,9.704,12.565,15.11,11.972,2009
14.057,10.817,8.246,14.582,14.543,12.449,2010
12.43,10.859,12.588,14.95,15.33,13.231,2011
12.988,12.007,12.356,14.457,15.637,13.489,2012
14.445,13.288,14.423,14.438,15.583,14.435,2013
12.404,12.11,8.354,12.448,15.777,12.219,2014
14.101,13.326,13.188,14.314,15.25,14.036,2015
