November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
6.308,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
11.419,9.896,9.713,12.387,14.623,11.608,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,9.255,10.807,14.187,NaN,1972
13.728,7.562,9.899,13.155,13.653,11.599,1973
8.927,7.631,6.817,13.7,14.706,10.356,1974
11.839,6.833,7.92,12.393,14.9,10.777,1975
7.422,6.35,5.789,8.825,15.526,8.782,1976
12.315,6.622,9.327,10.366,13.211,10.368,1977
7.715,7.986,9.897,11.447,12.536,9.916,1978
10.13,6.544,8.859,10.334,14.972,10.168,1979
11.496,6.065,7.909,11.775,14.115,10.272,1980
10.832,8.707,NaN,NaN,NaN,NaN,1981
7.74,8.149,7.153,11.472,14.67,9.837,1982
11.937,10.903,6.233,11.513,15.471,11.211,1983
12.598,8.836,5.447,13.666,14.434,10.996,1984
11.105,4.431,7.772,12.88,13.078,9.853,1985
13.345,5.702,9.826,12.606,14.776,11.251,1986
9.841,12.373,8.548,11.317,14.9,11.396,1987
12.548,8.801,8.347,12.411,13.896,11.201,1988
9.17,2.972,9.226,13.311,14.602,9.856,1989
12.668,9.436,NaN,NaN,NaN,NaN,1990
NaN,NaN,3.628,12.723,14.006,NaN,1991
13.592,10.771,10.875,13.225,13.738,12.44,1992
12.473,7.714,5.682,12.834,14.958,10.732,1993
13.214,7.232,12.17,6.735,14.666,10.803,1994
13.046,9.282,9.379,11.286,15.29,11.657,1995
10.453,10.625,10.155,12.901,15.19,11.865,1996
11.526,8.25,7.881,13.106,13.961,10.945,1997
10.983,8.697,7.399,13.161,15.065,11.061,1998
9.769,9.19,9.457,12.19,15.077,11.137,1999
9.064,7.22,9.745,13.548,14.324,10.78,2000
10.609,10.422,8.592,11.392,15.152,11.233,2001
8.683,9.675,5.453,13.028,15.342,10.436,2002
10.985,10.22,7.209,13.752,15.004,11.434,2003
11.067,8.413,7.988,11.408,13.195,10.414,2004
13.689,8.838,11.146,11.946,14.645,12.053,2005
10.822,10.356,10.707,11.761,15.143,11.758,2006
12.416,12.507,11.172,12.955,15.693,12.949,2007
10.21,9.168,8.991,12.704,15.64,11.343,2008
13.846,9.085,9.127,12.143,15.127,11.866,2009
12.903,9.831,6.203,14.154,15.113,11.641,2010
11.521,10.15,11.716,14.357,15.51,12.651,2011
12.796,12.108,10.806,13.936,15.42,13.013,2012
8.854,10.524,12.517,14.213,15.51,12.324,2013
10.956,10.37,6.703,11.396,15.657,11.016,2014
12.572,12.178,11.403,12.897,15.077,12.825,2015
