November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
12.718,12.129,12.241,13.612,15.229,13.186,1943
11.803,9.385,9.505,14.326,NaN,NaN,1944
13.323,10.952,11.97,14.079,15.167,13.098,1945
11.818,9.381,9.014,8.792,13.776,10.556,1946
13.441,9.103,13.456,14.417,14.823,13.048,1947
14.933,11.761,15.059,13.619,15.461,14.167,1948
11.542,11.557,12.215,12.999,14.929,12.648,1949
10.714,8.16,10.34,13.107,15.246,11.513,1950
12.551,11.906,11.604,12.926,14.332,12.664,1951
11.216,10.264,10.359,12.716,14.979,11.907,1952
10.682,11.88,12.145,9.614,14.075,11.679,1953
9.933,8.816,9.193,13.872,14.944,11.352,1954
11.959,10.543,9.898,13.514,14.844,12.152,1955
12.757,9.313,12.475,11.202,14.3,12.009,1956
14.317,9.721,9.789,13.513,15.332,12.534,1957
13.812,8.358,11.15,14.941,15.503,12.753,1958
11.771,10.25,11.702,13.555,13.324,12.12,1959
11.892,7.749,3.622,13.266,15.129,10.332,1960
11.759,8.77,8.72,10.59,14.832,10.934,1961
12.1,6.035,5.88,10.76,15.182,9.991,1962
9.45,3.54,9.982,13.601,15.581,10.431,1963
12.075,12.192,8.575,12.254,13.462,11.712,1964
12.232,8.926,10.051,13.028,14.415,11.73,1965
11.373,8.621,8.541,10.141,14.144,10.564,1966
10.761,12.772,9.467,9.975,14.112,11.417,1967
10.454,11.205,9.816,13.102,14.878,11.891,1968
11.138,9.115,11.977,12.091,15.039,11.872,1969
13.396,11.24,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,10.728,12.537,15.178,NaN,1972
13.639,8.956,11.138,14.834,14.418,12.597,1973
12.375,8.538,7.905,13.069,14.889,11.355,1974
13.211,9.036,11.653,14.337,15.8,12.807,1975
9.713,9.587,7.452,11.131,15.83,10.743,1976
14.596,9.841,10.184,11.945,14.661,12.245,1977
11.71,11.012,11.941,13.629,13.568,12.372,1978
13.199,8.172,9.123,11.449,15.622,11.513,1979
14.369,7.597,8.85,13.813,14.536,11.833,1980
13.496,9.399,10.976,13.62,15.113,12.521,1981
10.482,11.135,7.685,13.295,14.871,11.494,1982
12.566,11.651,8.318,12.032,15.451,12.004,1983
13.279,10.819,5.771,14.787,15.179,11.967,1984
12.733,5.748,8.859,12.248,14.262,10.77,1985
15.076,8.338,10.634,13.439,15.12,12.521,1986
12.946,12.221,11.169,14.231,15.484,13.21,1987
13.43,10.834,10.171,14.116,13.986,12.507,1988
13.313,5.959,12.528,14.76,15.105,12.333,1989
15.52,12.737,9.719,11.385,14.323,12.737,1990
15.009,12.231,6.048,14.041,15.198,12.505,1991
15.316,11.562,11.854,14.869,15.055,13.731,1992
14.704,9.556,9.87,14.597,15.52,12.849,1993
14.423,9.468,11.985,8.226,14.369,11.694,1994
15.12,11.043,10.796,12.257,15.562,12.956,1995
13.824,12.374,11.625,14.791,15.877,13.698,1996
14.376,11.062,10.272,14.596,15.563,13.174,1997
14.875,11.433,9.144,14.318,15.627,13.079,1998
12.593,13.369,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,8.016,12.648,14.051,NaN,2004
15.289,10.885,13.243,14.573,14.794,13.757,2005
13.237,12.859,14.276,14.251,15.81,14.087,2006
14.828,13.942,13.746,15.25,15.724,14.698,2007
13.459,11.534,13.377,15.076,15.614,13.812,2008
15.24,12.66,10.241,13.936,15.803,13.576,2009
15.117,12.336,10.55,15.143,14.991,13.627,2010
12.828,13.855,14.436,15.582,15.296,14.399,2011
13.907,14.103,14.634,15.589,15.739,14.794,2012
15.231,15.597,15.887,15.012,15.817,15.509,2013
14.116,12.514,10.922,14.186,15.803,13.508,2014
15.333,14.217,14.025,15.088,15.245,14.782,2015
