November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
1.02,1.187,2.102,2.184,2.652,1.829,1941
2.25,2.252,2.441,2.722,2.695,2.472,1942
2.444,2.566,2.345,3.011,2.821,2.637,1943
2.525,2.447,1.996,2.76,2.915,2.529,1944
1.355,1.306,1.043,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,2.473,2.87,3.552,NaN,1947
2.421,2.705,2.526,2.605,3.355,2.722,1948
1.922,2.014,1.953,1.57,2.393,1.97,1949
1.446,1.457,1.6,2.341,2.213,1.811,1950
1.962,1.365,1.874,1.796,2.497,1.899,1951
1.309,1.67,1.248,1.816,2.238,1.656,1952
1.815,1.072,1.384,1.25,2.33,1.57,1953
1.919,1.893,2.027,2.333,2.724,2.179,1954
1.8,1.799,1.854,1.899,2.612,1.993,1955
1.88,1.434,1.918,1.624,2.463,1.864,1956
1.442,1.093,1.442,2.384,2.602,1.793,1957
2.165,1.915,2.422,2.837,3.027,2.473,1958
1.477,2.055,2.395,2.122,2.349,2.08,1959
2.124,2.073,1.757,2.552,2.869,2.275,1960
2.673,2.461,2.905,3.095,3.157,2.858,1961
2.573,2.699,2.773,2.817,3.613,2.895,1962
2.454,2.121,2.507,2.681,2.893,2.531,1963
3.074,3.08,2.712,3.008,3.601,3.095,1964
2.88,2.741,2.988,3.031,2.949,2.918,1965
2.377,2.188,2.553,2.437,3.178,2.547,1966
2.165,1.522,1.965,2.099,2.584,2.067,1967
1.006,1.221,1.888,2.408,2.481,1.801,1968
2.787,2.604,2.905,2.948,3.104,2.87,1969
3.297,2.864,2.303,2.733,3.381,2.916,1970
3.103,3.435,2.977,3.014,3.444,3.195,1971
3.076,2.784,3.129,3.797,3.555,3.268,1972
2.733,2.099,2.675,2.513,3.042,2.612,1973
2.124,2.548,2.349,2.496,3.383,2.58,1974
2.74,2.605,2.668,3.427,3.199,2.928,1975
2.438,2.694,2.533,3.23,3.537,2.886,1976
2.466,3.453,2.894,3.041,2.9,2.951,1977
2.239,1.932,2.92,2.498,2.571,2.432,1978
2.263,2.549,2.158,2.787,2.729,2.497,1979
1.792,1.546,2.035,2.138,2.034,1.909,1980
2.445,2.089,2.625,2.463,2.641,2.453,1981
2.125,2.375,2.394,2.781,2.981,2.531,1982
2.083,2.223,2.456,3.355,3.256,2.675,1983
3.216,2.935,2.567,2.867,3.41,2.999,1984
2.633,1.841,2.208,2.663,2.477,2.364,1985
2.242,1.895,2.31,2.348,3.209,2.401,1986
2.628,3.222,2.733,2.858,3.172,2.923,1987
2.662,2.396,2.08,3.177,3.024,2.668,1988
2.96,2.693,2.955,3.023,3.664,3.059,1989
2.648,2.633,2.469,3.057,3.843,2.93,1990
2.788,2.681,2.573,2.804,2.566,2.682,1991
2.403,2.567,2.733,3.243,2.696,2.728,1992
2.552,2.506,2.411,3.013,2.935,2.683,1993
NaN,2.32,3.267,2.266,2.916,NaN,1994
2.251,2.681,2.57,2.645,2.909,2.611,1995
1.93,2.103,2.272,2.113,2.441,2.172,1996
1.956,2.62,2.151,2.992,2.265,2.397,1997
2.245,2.374,2.157,2.476,3.058,2.462,1998
2.184,1.918,2.102,2.835,2.395,2.287,1999
1.964,1.768,2.369,2.509,2.796,2.281,2000
1.979,2.134,1.975,2.159,3.044,2.258,2001
1.887,2.338,1.743,2.532,2.687,2.237,2002
1.921,2.497,1.848,2.554,2.326,2.229,2003
2.04,2.392,1.958,2.172,2.433,2.199,2004
1.881,1.784,2.172,2.416,2.577,2.166,2005
1.959,2.151,1.948,2.379,2.491,2.186,2006
1.568,1.706,2.764,2.098,2.457,2.119,2007
1.646,1.762,1.432,2.342,2.34,1.904,2008
1.738,1.52,1.931,1.745,2.235,1.834,2009
1.854,1.84,1.565,2.041,2.141,1.888,2010
2.236,1.616,1.807,2.523,2.514,2.139,2011
1.637,1.698,1.44,1.79,2.039,1.721,2012
1.612,1.564,1.947,2.134,2.685,1.988,2013
1.823,2.077,1.539,1.986,2.124,1.91,2014
1.855,1.846,1.992,1.89,2.451,2.007,2015
