November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,2.47,2.683,NaN,1941
2.314,2.318,2.88,2.298,2.901,2.542,1942
2.422,2.9,2.924,4.189,4.185,3.324,1943
3.435,2.619,2.665,3.911,4.044,3.335,1944
2.555,2.968,2.636,3.11,4.678,3.189,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,2.776,2.19,3.54,3.603,NaN,1947
2.478,2.632,2.884,2.359,3.578,2.786,1948
1.266,2.76,3.205,3.537,3.304,2.814,1949
2.327,2.438,2.661,2.414,3.069,2.582,1950
2.504,2.92,2.901,2.03,3.34,2.739,1951
1.678,2.894,2.376,3.009,3.003,2.592,1952
2.049,1.472,3.481,2.983,3.91,2.779,1953
1.887,1.927,2.523,2.56,3.088,2.397,1954
2.919,4.905,3.786,4.025,4.4,4.007,1955
1.144,1.219,2.063,2.646,3.358,2.086,1956
1.677,1.32,2.148,2.349,2.786,2.056,1957
1.128,0.77,1.993,2.316,2.062,1.654,1958
0.861,1.138,1.822,1.972,2.261,1.611,1959
1.687,1.196,1.266,1.899,2.408,1.691,1960
1.928,1.215,1.406,2.9,2.156,1.921,1961
1.611,1.154,1.73,2.06,1.918,1.695,1962
1.729,1.041,2.217,1.581,2.312,1.776,1963
2.078,2.578,2.3,1.804,1.762,2.104,1964
1.93,1.565,1.622,1.963,2.284,1.873,1965
1.981,1.738,2.095,1.526,2.71,2.01,1966
1.476,2.077,1.783,1.102,2.313,1.75,1967
1.932,2.098,2.931,2.935,1.758,2.331,1968
1.041,2.042,2.679,1.86,2.414,2.007,1969
2.582,2.688,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,2.298,2.71,2.416,NaN,1972
2.776,1.864,2.086,1.902,2.407,2.207,1973
1.25,2.042,1.422,2.832,3.124,2.134,1974
1.431,0.768,0.417,1.607,2.342,1.313,1975
0.905,0.819,1.31,1.581,2.702,1.463,1976
1.433,1.993,3.165,2.496,2.573,2.332,1977
1.657,1.565,2.205,1.838,1.764,1.806,1978
1.217,1.558,1.919,2.3,2.077,1.814,1979
1.177,1.094,1.564,1.083,1.417,1.267,1980
1.352,1.357,2.014,1.533,2.129,1.677,1981
1.651,1.889,2.162,3.026,2.602,2.266,1982
1.972,2.019,1.118,1.591,2.268,1.794,1983
1.694,1.525,0.896,1.646,2.045,1.561,1984
1.579,1.144,1.793,2.876,2.09,1.896,1985
1.611,1.213,2.161,2.363,1.9,1.85,1986
1.344,2.699,1.839,1.402,2.239,1.905,1987
1.45,1.484,0.77,1.266,1.806,1.355,1988
0.82,0.693,1.574,2.198,1.786,1.414,1989
NaN,NaN,1.349,1.42,2.749,NaN,1990
1.77,1.417,1.684,2.78,1.757,1.882,1991
1.181,1.839,2.338,2.118,1.483,1.792,1992
NaN,NaN,NaN,1.657,1.945,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
NaN,NaN,NaN,NaN,NaN,NaN,1995
NaN,NaN,NaN,NaN,NaN,NaN,1996
NaN,NaN,NaN,NaN,NaN,NaN,1997
NaN,NaN,NaN,NaN,NaN,NaN,1998
NaN,NaN,NaN,NaN,NaN,NaN,1999
NaN,NaN,NaN,NaN,NaN,NaN,2000
NaN,NaN,NaN,NaN,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,2002
NaN,NaN,NaN,NaN,NaN,NaN,2003
NaN,NaN,NaN,NaN,NaN,NaN,2004
NaN,NaN,NaN,NaN,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,2006
NaN,NaN,NaN,NaN,NaN,NaN,2007
1.146,1,0.375,1.938,1.888,1.269,2008
1.871,1.723,2.792,2.236,2.497,2.224,2009
2.189,2.483,1.407,2.351,3.426,2.371,2010
2.174,1.36,1.567,1.308,2.677,1.817,2011
1.849,3.033,1.213,1.541,2.256,1.978,2012
1.579,0.966,NaN,2.926,2.468,NaN,2013
1.568,2.467,0.749,1.796,2.658,1.848,2014
1.272,1.611,2.04,1.4,2.288,1.722,2015
