November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,1.15,0.977,1.275,1.747,NaN,1941
2.547,2.376,2.81,2.507,3.008,2.65,1942
2.626,3.02,2.857,2.499,2.44,2.688,1943
2.29,1.896,1.954,3.059,3.215,2.483,1944
2.105,2.462,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
1.931,2.574,2.703,2.583,2.965,2.551,1949
2.151,2.185,2.599,2.786,3.084,2.561,1950
2.335,2.723,3.222,2.715,3.345,2.868,1951
1.958,2.617,2.344,2.712,3.099,2.546,1952
1.973,1.729,2.277,1.876,2.295,2.03,1953
1.992,2.194,2.242,2.478,2.652,2.312,1954
2.411,3.362,2.921,2.737,3.108,2.908,1955
1.528,1.739,2.095,2.021,2.818,2.04,1956
1.471,1.818,2.097,2.44,3.081,2.181,1957
2.035,1.69,2.486,2.965,2.85,2.405,1958
1.888,2.205,2.492,2.673,2.883,2.428,1959
2.63,2.251,2.121,2.826,3.358,2.637,1960
2.132,1.627,1.675,2.58,2.573,2.117,1961
2.233,2.037,2.428,2.614,3.211,2.505,1962
2.344,1.707,2.376,2.423,3.13,2.396,1963
2.486,2.776,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,2.453,2.408,3.09,NaN,1971
2.579,2.783,2.802,2.566,3.116,2.769,1972
2.385,2.299,2.233,2.578,3.19,2.537,1973
1.967,2.2,2.147,2.774,2.94,2.406,1974
1.852,1.491,1.498,2.304,2.975,2.024,1975
1.854,1.79,2.443,2.822,3.226,2.427,1976
1.986,2.517,2.848,2.705,2.94,2.599,1977
2.216,2.079,2.699,2.683,2.972,2.53,1978
2.14,2.213,2.949,3.228,3.344,2.775,1979
1.758,1.981,2.611,2.529,3.073,2.39,1980
2.617,2.274,2.551,2.334,3.206,2.596,1981
2.219,2.35,2.436,3.001,3.255,2.652,1982
2.731,2.53,1.551,2.308,2.822,2.388,1983
2.255,2.04,1.418,1.696,2.577,1.997,1984
2.47,1.633,1.996,3.319,2.708,2.425,1985
2.226,2.087,2.416,2.719,2.807,2.451,1986
1.753,2.483,2.533,1.783,2.683,2.247,1987
1.157,1.31,1.732,2.092,3.23,1.904,1988
1.683,1.415,2.041,2.736,2.369,2.049,1989
1.611,1.4,1.164,2.316,3.184,1.935,1990
2.235,2.196,1.848,3.101,2.907,2.457,1991
1.901,2.916,2.948,3.139,2.663,2.713,1992
2.433,2.332,2.197,2.682,3.061,2.541,1993
2.761,2.29,2.703,1.726,3.228,2.542,1994
1.445,1.683,2.225,2.222,2.283,1.972,1995
1.743,2.162,2.486,2.017,2.329,2.147,1996
1.913,1.36,2.119,3.267,2.465,2.225,1997
2.324,1.74,2.144,2.403,3.095,2.341,1998
1.725,1.479,1.924,2.8,2.516,2.089,1999
1.57,1.216,1.879,2.577,2.384,1.925,2000
1.818,2.175,1.785,1.749,2.693,2.044,2001
1.623,2.086,1.332,1.681,2.703,1.885,2002
1.649,2.234,1.729,2.442,2.19,2.049,2003
1.802,2.165,2.079,1.888,2.425,2.072,2004
1.801,2.115,1.836,1.761,2.556,2.014,2005
1.869,1.616,1.507,2.315,2.285,1.918,2006
1.184,1.651,2.091,1.794,2.637,1.871,2007
1.208,1.517,0.876,1.989,2.359,1.59,2008
1.28,1.64,1.904,1.583,2.358,1.753,2009
1.613,1.74,1.113,1.808,2.844,1.824,2010
1.443,0.997,1.325,1.754,2.574,1.619,2011
1.34,2.084,1.288,1.322,2.293,1.665,2012
1.162,1.06,1.1,2.147,2.697,1.633,2013
1.273,1.842,1.118,1.778,2.488,1.7,2014
1.569,1.879,2.047,1.433,2.534,1.892,2015
