November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
NaN,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,3.651,3.494,3.96,NaN,1947
3.401,3.127,3.995,3.649,4.043,3.643,1948
3.001,3.296,4.091,3.17,3.718,3.455,1949
3.804,2.655,3.797,3.29,4.777,3.665,1950
3.372,3.957,3.444,3.15,3.896,3.564,1951
3.587,4.312,4.695,4.076,5.128,4.36,1952
4.037,3.684,5.169,4.001,3.935,4.165,1953
3.754,4.052,3.765,4.454,4.518,4.109,1954
4.061,5.676,4.654,6.142,4.31,4.969,1955
3.474,3.284,4.14,4.739,4.699,4.067,1956
3.643,2.972,3.628,5.437,5.182,4.172,1957
3.652,3.472,4.969,5.402,5.014,4.502,1958
3.888,4.187,4.568,5.361,5.315,4.664,1959
5.005,4.523,3.689,4.953,4.873,4.609,1960
4.981,4.107,4.426,5.738,4.19,4.688,1961
3.499,3.297,3.972,3.627,5.15,3.909,1962
4.218,2.873,4.479,4.962,4.669,4.24,1963
3.807,5.378,3.56,3.833,3.295,3.975,1964
3.715,3.678,3.966,3.635,3.762,3.751,1965
4.493,3.963,3.965,3.28,4.646,4.069,1966
3.396,4.674,3.855,3.395,3.861,3.836,1967
3.4,3.9,4.62,4.845,3.808,4.115,1968
3.407,4.4,5.707,3.573,4.68,4.353,1969
4.561,4.218,4.787,3.812,4.6,4.396,1970
4.085,4.193,3.994,3.864,3.933,4.014,1971
3.513,3.982,3.68,4.307,4.561,4.009,1972
5.603,3.718,4.857,4.402,4.915,4.699,1973
3.512,3.767,3.686,4.854,5.966,4.357,1974
3.942,3.509,3.171,4.687,4.201,3.902,1975
2.766,3.267,3.253,3.392,4.755,3.487,1976
3.455,3.141,3.988,3.552,3.39,3.505,1977
3.292,3.169,3.524,3.551,3.3,3.367,1978
2.643,3.227,3.777,4.002,4.358,3.601,1979
2.911,3.336,3.257,3.588,3.856,3.39,1980
4.126,3.574,3.614,3.982,4.097,3.879,1981
3.618,4.298,3.294,4.896,5.068,4.235,1982
3.712,3.645,3.263,3.425,4.563,3.722,1983
4.185,3.289,2.609,4.361,3.942,3.677,1984
3.628,2.751,3.665,5.368,4.215,3.925,1985
NaN,NaN,NaN,NaN,NaN,NaN,1986
NaN,NaN,NaN,NaN,NaN,NaN,1987
4.045,3.603,2.891,3.009,3.656,3.441,1988
2.951,2.875,3.421,3.356,3.62,3.245,1989
3.208,3.302,2.807,2.989,5.023,3.466,1990
NaN,NaN,NaN,4.728,3.414,NaN,1991
3.163,4.32,3.831,3.808,3.769,3.778,1992
3.458,NaN,NaN,NaN,NaN,NaN,1993
NaN,NaN,NaN,NaN,NaN,NaN,1994
2.453,3.338,3.215,4.146,3.908,3.412,1995
3.578,5.854,3.899,3.748,3.587,4.133,1996
NaN,3.771,3.615,4.93,3.44,NaN,1997
3.72,3.231,3.986,4.196,3.794,3.785,1998
3.007,3.148,3.652,3.829,4.031,3.533,1999
2.91,2.864,3.334,4.635,3.695,3.488,2000
3.64,4.21,3.303,3.683,4.012,3.77,2001
3.098,4.808,2.428,3.492,3.693,3.504,2002
3.12,3.468,2.677,4.103,3.706,3.415,2003
3.387,4.075,3.08,3.067,3.604,3.443,2004
3.589,4.133,3.432,3.693,4.449,3.859,2005
2.838,3.574,3.322,3.899,2.925,3.312,2006
3.039,3.924,3.737,3.543,3.507,3.55,2007
2.944,2.666,3.185,4.508,4.632,3.587,2008
3.275,2.427,3.583,2.874,3.65,3.162,2009
3.425,3.245,2.38,4.383,5.043,3.695,2010
2.956,3.31,2.749,3.472,5.031,3.504,2011
3.276,3.831,2.464,3.473,3.389,3.287,2012
3.276,3.167,2.931,3.346,4.052,3.354,2013
2.446,3.765,2.461,4.144,3.046,3.172,2014
3.268,3.261,3.868,3.139,4.42,3.591,2015
