November,December,January,February,March,average,year
NaN,NaN,NaN,NaN,NaN,NaN,1940
NaN,NaN,NaN,NaN,NaN,NaN,1941
NaN,NaN,NaN,NaN,NaN,NaN,1942
NaN,NaN,NaN,NaN,NaN,NaN,1943
2.951,NaN,NaN,NaN,NaN,NaN,1944
NaN,NaN,NaN,NaN,NaN,NaN,1945
NaN,NaN,NaN,NaN,NaN,NaN,1946
NaN,NaN,NaN,NaN,NaN,NaN,1947
NaN,NaN,NaN,NaN,NaN,NaN,1948
NaN,NaN,NaN,NaN,NaN,NaN,1949
NaN,NaN,NaN,NaN,NaN,NaN,1950
NaN,NaN,NaN,NaN,NaN,NaN,1951
NaN,NaN,NaN,NaN,NaN,NaN,1952
NaN,NaN,NaN,NaN,NaN,NaN,1953
NaN,NaN,NaN,NaN,NaN,NaN,1954
NaN,NaN,NaN,NaN,NaN,NaN,1955
NaN,NaN,NaN,NaN,NaN,NaN,1956
NaN,NaN,NaN,NaN,NaN,NaN,1957
NaN,NaN,NaN,NaN,NaN,NaN,1958
NaN,NaN,NaN,NaN,NaN,NaN,1959
NaN,NaN,NaN,NaN,NaN,NaN,1960
NaN,NaN,NaN,NaN,NaN,NaN,1961
NaN,NaN,NaN,NaN,NaN,NaN,1962
NaN,NaN,NaN,NaN,NaN,NaN,1963
NaN,NaN,NaN,NaN,NaN,NaN,1964
NaN,NaN,NaN,NaN,NaN,NaN,1965
NaN,NaN,NaN,NaN,NaN,NaN,1966
NaN,NaN,NaN,NaN,NaN,NaN,1967
NaN,NaN,NaN,NaN,NaN,NaN,1968
NaN,NaN,NaN,NaN,NaN,NaN,1969
NaN,NaN,NaN,NaN,NaN,NaN,1970
NaN,NaN,NaN,NaN,NaN,NaN,1971
NaN,NaN,NaN,NaN,NaN,NaN,1972
NaN,NaN,NaN,NaN,NaN,NaN,1973
NaN,NaN,NaN,NaN,NaN,NaN,1974
NaN,NaN,NaN,NaN,NaN,NaN,1975
NaN,NaN,NaN,NaN,NaN,NaN,1976
NaN,NaN,NaN,NaN,NaN,NaN,1977
NaN,NaN,NaN,NaN,NaN,NaN,1978
NaN,NaN,NaN,NaN,NaN,NaN,1979
NaN,NaN,NaN,NaN,NaN,NaN,1980
NaN,NaN,NaN,NaN,NaN,NaN,1981
NaN,NaN,NaN,NaN,NaN,NaN,1982
NaN,NaN,NaN,NaN,NaN,NaN,1983
NaN,NaN,NaN,NaN,NaN,NaN,1984
NaN,NaN,NaN,NaN,NaN,NaN,1985
3.105,2.187,3.027,3.68,3.682,3.136,1986
2.807,4.922,2.883,3.38,3.885,3.575,1987
3.444,3.173,3.182,3.413,3.978,3.438,1988
2.573,2.304,2.52,2.375,2.849,2.524,1989
2.734,2.892,2.414,2.418,4.338,2.959,1990
2.835,2.552,2.483,3.918,2.817,2.921,1991
2.32,3.859,3.238,3.009,3.215,3.128,1992
3.043,3.163,2.945,2.833,3.07,3.011,1993
2.996,2.032,4.403,1.924,4.908,3.253,1994
1.61,2.741,2.462,3.855,3.531,2.84,1995
2.628,4.388,2.943,3.02,2.854,3.167,1996
2.18,2.723,2.281,3.607,2.584,2.675,1997
2.666,2.367,2.925,2.956,2.517,2.686,1998
1.657,1.989,2.556,3.381,2.908,2.498,1999
1.758,1.607,2.128,3.521,2.737,2.35,2000
2.488,2.824,2.105,2.649,3.044,2.622,2001
2.294,3.722,1.436,2.813,2.465,2.546,2002
2.029,2.131,1.738,3.453,2.817,2.434,2003
2.53,3.577,2.283,2.205,2.728,2.665,2004
2.097,2.737,2.454,2.701,3.511,2.7,2005
1.88,2.524,2.568,2.891,2.272,2.427,2006
2.048,2.959,3.153,2.517,2.503,2.636,2007
1.821,1.478,2.183,3.261,3.404,2.429,2008
1.79,1.479,2.57,1.793,2.695,2.065,2009
2.371,2.035,1.442,3.455,3.91,2.643,2010
1.537,2.754,1.52,2.532,3.745,2.418,2011
2.371,2.605,1.59,2.341,2.141,2.21,2012
2.118,2.099,1.78,2.365,2.928,2.258,2013
1.418,2.779,1.641,3.204,1.963,2.201,2014
1.776,2.143,2.638,2.165,3.216,2.388,2015
